code,name_raw,name,market,industry,isin,listed_date,cfi,yfinance_symbol,security_type_guess,parse_quality,source_section,source_line,source_col_pair
0050,元大台灣50,元大台灣50,上市,基金,,,,0050.TW,ETF/基金,wide_explicit_header,wide_table,4,12
0051,元大中型100,元大中型100,上市,基金,,,,0051.TW,ETF/基金,wide_explicit_header,wide_table,5,12
0052,FB科技,FB科技,上市,基金,,,,0052.TW,ETF/基金,wide_explicit_header,wide_table,6,12
0053,元大電子,元大電子,上市,基金,,,,0053.TW,ETF/基金,wide_explicit_header,wide_table,7,12
0054,元大台商50,元大台商50,上市,基金,,,,0054.TW,ETF/基金,wide_explicit_header,wide_table,8,12
0055,元大MSCI金融,元大MSCI金融,上市,基金,,,,0055.TW,ETF/基金,wide_explicit_header,wide_table,9,12
0056,元大高股息,元大高股息,上市,基金,,,,0056.TW,ETF/基金,wide_explicit_header,wide_table,10,12
0057,FB摩台,FB摩台,上市,基金,,,,0057.TW,ETF/基金,wide_explicit_header,wide_table,11,12
0058,FB發達,FB發達,上市,基金,,,,0058.TW,ETF/基金,wide_explicit_header,wide_table,12,12
0059,FB金融,FB金融,上市,基金,,,,0059.TW,ETF/基金,wide_explicit_header,wide_table,13,12
0061,元大寶滬深,元大寶滬深,上市,基金,,,,0061.TW,ETF/基金,wide_explicit_header,wide_table,14,12
01001T,土銀富邦R1,土銀富邦R1,上市,基金,,,,01001T.TW,ETF/基金,wide_explicit_header,wide_table,22,12
01002T,土銀國泰R1,土銀國泰R1,上市,基金,,,,01002T.TW,ETF/基金,wide_explicit_header,wide_table,23,12
01003T,兆豐新光R1,兆豐新光R1,上市,基金,,,,01003T.TW,ETF/基金,wide_explicit_header,wide_table,24,12
01004T,土銀富邦R2,土銀富邦R2,上市,基金,,,,01004T.TW,ETF/基金,wide_explicit_header,wide_table,25,12
01007T,兆豐國泰R2,兆豐國泰R2,上市,基金,,,,01007T.TW,ETF/基金,wide_explicit_header,wide_table,26,12
1101,台泥*,台泥,上市,水泥,,,,1101.TW,股票,wide_explicit_header,wide_table,2,1
1102,亞泥*,亞泥,上市,水泥,,,,1102.TW,股票,wide_explicit_header,wide_table,3,1
1103,嘉泥,嘉泥,上市,水泥,,,,1103.TW,股票,wide_explicit_header,wide_table,4,1
1104,環泥,環泥,上市,水泥,,,,1104.TW,股票,wide_explicit_header,wide_table,5,1
1108,幸福,幸福,上市,水泥,,,,1108.TW,股票,wide_explicit_header,wide_table,6,1
1109,信大,信大,上市,水泥,,,,1109.TW,股票,wide_explicit_header,wide_table,7,1
1110,東泥,東泥,上市,水泥,,,,1110.TW,股票,wide_explicit_header,wide_table,8,1
1201,味全,味全,上市,食品,,,,1201.TW,股票,wide_explicit_header,wide_table,10,1
1203,味王,味王,上市,食品,,,,1203.TW,股票,wide_explicit_header,wide_table,11,1
1210,大成,大成,上市,食品,,,,1210.TW,股票,wide_explicit_header,wide_table,12,1
1213,大飲,大飲,上市,食品,,,,1213.TW,股票,wide_explicit_header,wide_table,13,1
1215,卜蜂,卜蜂,上市,食品,,,,1215.TW,股票,wide_explicit_header,wide_table,14,1
1216,統一*,統一,上市,食品,,,,1216.TW,股票,wide_explicit_header,wide_table,15,1
1217,愛之味,愛之味,上市,食品,,,,1217.TW,股票,wide_explicit_header,wide_table,16,1
1218,泰山,泰山,上市,食品,,,,1218.TW,股票,wide_explicit_header,wide_table,17,1
1219,福壽,福壽,上市,食品,,,,1219.TW,股票,wide_explicit_header,wide_table,18,1
1220,台榮,台榮,上市,食品,,,,1220.TW,股票,wide_explicit_header,wide_table,19,1
1225,福懋油,福懋油,上市,食品,,,,1225.TW,股票,wide_explicit_header,wide_table,20,1
1227,佳格#,佳格,上市,食品,,,,1227.TW,股票,wide_explicit_header,wide_table,21,1
1229,聯華,聯華,上市,食品,,,,1229.TW,股票,wide_explicit_header,wide_table,22,1
1231,聯華食,聯華食,上市,食品,,,,1231.TW,股票,wide_explicit_header,wide_table,23,1
1232,大統益,大統益,上市,食品,,,,1232.TW,股票,wide_explicit_header,wide_table,24,1
1233,天仁,天仁,上市,食品,,,,1233.TW,股票,wide_explicit_header,wide_table,25,1
1234,黑松,黑松,上市,食品,,,,1234.TW,股票,wide_explicit_header,wide_table,26,1
1235,興泰,興泰,上市,食品,,,,1235.TW,股票,wide_explicit_header,wide_table,27,1
1236,宏亞,宏亞,上市,食品,,,,1236.TW,股票,wide_explicit_header,wide_table,28,1
1240,茂生農經,茂生農經,上櫃,農業科技業,TW0001240000,2018/08/08,ESVUFR,1240.TWO,股票,structured_isin,structured_isin,82,
1256,鮮活果汁-KY,鮮活果汁-KY,上市,食品,,,,1256.TW,股票,wide_explicit_header,wide_table,29,1
1258,其祥-KY,其祥-KY,上櫃,食品,,,,1258.TWO,股票,wide_explicit_header,wide_table,30,12
1259,安心,安心,上櫃,觀光餐旅,TW0001259000,2011/12/15,ESVUFR,1259.TWO,股票,structured_isin+wide_explicit_header,structured_isin+wide_table,"26,83",19
1262,綠悅-KY#,綠悅-KY,上市,其他,,,,1262.TW,股票,wide_explicit_header,wide_table,39,11
1264,德麥,德麥,上櫃,食品工業,TW0001264000,2015/04/09,ESVUFR,1264.TWO,股票,structured_isin,structured_isin,84,
