2330收盤價,2603收盤價,2881 收盤價,2359 收盤價
593,151,64.6,39.25
578,155,63.7,38.65
580,161,63.5,38.3
576,162.5,63.2,38
583,160.5,64.1,37.8
586,151.5,64,38.75
584,148,64,38.8
586,149,63.9,39.4
584,156.5,64.1,39.15
586,158.5,64.1,40.15
580,153.5,63.2,39.9
581,152.5,62.3,39.6
588,158,62.3,38.95
626,155,63,39.8
626,152.5,63.2,40.65
628,152.5,63.9,41.1
627,153.5,64.4,40.8
642,151.5,64.6,40.45
644,151,64.8,39.85
648,151.5,64.8,39.55
642,151.5,64.3,39.85
628,150.5,64.5,39.6
628,157,64.8,39.35
635,150,64.9,39.4
646,152,64.7,39.05
697,149,65.3,36
683,148,65.9,36.75
678,149,66.1,37
687,153.5,66.5,37
681,155,66.3,37.25
692,162.5,66.5,37.15
697,159.5,66.6,36.95
698,160,66.9,39.15
698,159.5,66.9,39.4
690,165.5,68,39.65
689,165,67.4,39.75
725,172,67.4,40.1
730,173.5,67.3,39.45
735,171.5,67.3,38.8
760,177.5,68.1,39.35
784,179.5,69.2,38.4
766,180,69.2,40.25
770,187.5,69.7,41.2
779,191,69.9,41.4
784,183.5,70.7,40.4
753,166.5,69.6,39.85
764,164.5,69.5,41.05
762,177,69.8,44.9
758,176,69.6,49.35
784,175,70.7,54.2
785,170,69.6,59.6
780,173.5,69,65.5
782,171.5,69.6,69.7
779,175.5,69.8,72.8
769,176,69.3,73.1
779,172,69.7,72.5
770,167.5,69.5,79.7
790,165.5,69.5,87.6
780,165,68.6,96.3
783,168,68.7,105.5
819,171,70,99
815,169,69.2,100.5
820,175,68.4,105.5
818,176.5,67.8,103.5
806,178,67.4,98.8
788,170.5,65.7,92
804,170.5,66,96.6
804,168,66.3,99
750,172.5,65,91.2
742,174,66.2,82.1
754,173.5,66.3,90.3
783,180,66.8,99.3
766,181,66.4,109
782,187,67.6,105.5
795,191.5,69.4,98.5
790,189.5,69.1,102
772,181.5,69,98
780,180,69,91.7
786,180.5,70,92.3
800,178,69.9,101.5
802,172.5,69.9,101.5
796,177.5,69.9,105
802,193.5,71.8,106
819,205.5,71.5,104.5
825,215,71.2,114.5
839,203.5,73.8,125.5
841,217,73.9,120
835,210.5,74.6,132
835,212.5,73.8,138
841,208,72.9,151.5
864,209,73.5,166.5
875,209,72.5,163
867,219.5,73.3,171.5
869,223,73.5,175.5
865,218.5,73.8,175
857,218,72.4,176.5
838,218.5,71.9,175.5
821,210.5,73.4,175
846,215.5,73.8,180
839,211,73.6,166
854,217,74,164
894,222,75.2,170
879,218,76,166.5
883,197.5,77.3,156
909,191.5,76,171.5
919,192.5,76.2,168
922,199,76.9,169.5
921,200,76,168
943,199,77,165.5
981,200.5,77.8,157
981,204.5,78,163
970,204,78.3,159.5
940,201,78.1,157
945,202,78.5,158.5
960,200,77.8,155.5
960,194.5,78.4,151
966,193,79.3,166
968,192,80.4,167
960,190.5,81,168.5
979,191,83.3,172
"1,005",188.5,83.7,175
"1,005",184,84.9,175.5
"1,035",175.5,86,165
"1,040",178,86,163
"1,045",177,89.1,166.5
"1,080",176,92.4,163
"1,040",173.5,91.9,164
"1,040",173.5,90.9,166.5
"1,055",171.5,91.7,170
"1,030",172,91,165
"1,005",173,89.9,161
970,167,86.1,157
939,162,82.6,163.5
979,167,85.5,163
924,165.5,84.9,163
944,162,87.2,149.5
940,167,86.5,149
934,170.5,88.2,144
960,175,88.2,158
903,171,86.9,159.5
815,160.5,79,144
880,165.5,80.7,138
920,177,82.6,151.5
896,172.5,83.1,152
934,173,86,167
940,180,86.8,159
941,178.5,87.5,159.5
948,181.5,89.3,160.5
943,185.5,89,163.5
969,186,92.4,172.5
973,187,90,169
973,188.5,88.8,166.5
958,187.5,89.2,160
951,189,88.1,161.5
949,189.5,89,162.5
950,189,91.9,157.5
942,183.5,92.2,166
964,183,92,162.5
943,184.5,91.3,163
944,188,91.9,158.5
948,182,94,157
940,182,93.7,158
889,178.5,90.5,152
902,181,92.3,148
918,180,92.5,149.5
899,179,86,152
904,177.5,86.4,146.5
901,182.5,85.5,144.5
940,184.5,85.8,148
947,186.5,86.7,149
947,184.5,86.8,154
941,187,87.1,151
960,190,89.3,154
973,189,90.8,153.5
977,195,91.9,151.5
987,204,92.6,150
"1,005",209.5,93.3,155
"1,015",206,93,153
"1,000",212,91.3,152
957,201,90.4,150
972,204.5,90.7,147
977,186,90.1,144
"1,005",188,91.1,144.5
"1,010",189,91.4,142
"1,020",183.5,90.6,141
"1,045",186,90.7,136
"1,045",187,90.5,140.5
"1,070",187.5,91.9,140.5
"1,045",189.5,90.3,147
"1,035",196.5,91.6,147.5
"1,085",196.5,93.2,153
"1,085",204,90.9,150.5
"1,075",206,93.3,148.5
"1,060",205.5,92.1,147.5
"1,060",205,91.3,145
"1,065",207.5,92.2,143
