Date,File,S0,ContractExpiryDate,Contract,Maturity,Rf
2021/01/04,optionsDaily_2021_01_04.csv,14902.03,2021/01/20,202101.0,16.0,0.0084
2021/01/05,optionsDaily_2021_01_05.csv,15000.03,2021/01/20,202101.0,15.0,0.0084
2021/01/06,optionsDaily_2021_01_06.csv,14983.13,2021/01/20,202101.0,14.0,0.0084
2021/01/07,optionsDaily_2021_01_07.csv,15214.0,2021/01/20,202101.0,13.0,0.0084
2021/01/08,optionsDaily_2021_01_08.csv,15463.95,2021/01/20,202101.0,12.0,0.0084
2021/01/11,optionsDaily_2021_01_11.csv,15557.3,2021/01/20,202101.0,9.0,0.0084
2021/01/12,optionsDaily_2021_01_12.csv,15500.7,2021/01/20,202101.0,8.0,0.0084
2021/01/13,optionsDaily_2021_01_13.csv,15769.98,2021/01/20,202101.0,7.0,0.0084
2021/01/14,optionsDaily_2021_01_14.csv,15707.19,2021/01/20,202101.0,6.0,0.0084
2021/01/15,optionsDaily_2021_01_15.csv,15616.39,2021/01/20,202101.0,5.0,0.0084
2021/01/18,optionsDaily_2021_01_18.csv,15612.0,2021/01/20,202101.0,2.0,0.0084
2021/01/19,optionsDaily_2021_01_19.csv,15877.37,2021/01/20,202101.0,1.0,0.0084
2021/01/20,optionsDaily_2021_01_20.csv,15806.18,2021/02/17,202102.0,28.0,0.0084
2021/01/21,optionsDaily_2021_01_21.csv,16153.77,2021/02/17,202102.0,27.0,0.0084
2021/01/22,optionsDaily_2021_01_22.csv,16019.03,2021/02/17,202102.0,26.0,0.0084
2021/01/25,optionsDaily_2021_01_25.csv,15946.54,2021/02/17,202102.0,23.0,0.0084
2021/01/26,optionsDaily_2021_01_26.csv,15658.85,2021/02/17,202102.0,22.0,0.0084
2021/01/27,optionsDaily_2021_01_27.csv,15701.45,2021/02/17,202102.0,21.0,0.0084
2021/01/28,optionsDaily_2021_01_28.csv,15415.88,2021/02/17,202102.0,20.0,0.0084
2021/01/29,optionsDaily_2021_01_29.csv,15138.31,2021/02/17,202102.0,19.0,0.0084
2021/02/01,optionsDaily_2021_02_01.csv,15410.09,2021/02/17,202102.0,16.0,0.0084
2021/02/02,optionsDaily_2021_02_02.csv,15760.05,2021/02/17,202102.0,15.0,0.0084
2021/02/03,optionsDaily_2021_02_03.csv,15771.32,2021/02/17,202102.0,14.0,0.0084
2021/02/04,optionsDaily_2021_02_04.csv,15706.22,2021/02/17,202102.0,13.0,0.0084
2021/02/05,optionsDaily_2021_02_05.csv,15802.4,2021/02/17,202102.0,12.0,0.0084
2021/02/17,optionsDaily_2021_02_17.csv,16362.29,2021/03/17,202103.0,28.0,0.0084
2021/02/18,optionsDaily_2021_02_18.csv,16424.51,2021/03/17,202103.0,27.0,0.0084
2021/02/19,optionsDaily_2021_02_19.csv,16341.38,2021/03/17,202103.0,26.0,0.0084
2021/02/22,optionsDaily_2021_02_22.csv,16410.16,2021/03/17,202103.0,23.0,0.0084
2021/02/23,optionsDaily_2021_02_23.csv,16443.4,2021/03/17,202103.0,22.0,0.0084
2021/02/24,optionsDaily_2021_02_24.csv,16212.53,2021/03/17,202103.0,21.0,0.0084
2021/02/25,optionsDaily_2021_02_25.csv,16452.18,2021/03/17,202103.0,20.0,0.0084
2021/02/26,optionsDaily_2021_02_26.csv,15953.8,2021/03/17,202103.0,19.0,0.0084
2021/03/02,optionsDaily_2021_03_02.csv,15946.88,2021/03/17,202103.0,15.0,0.0084
2021/03/03,optionsDaily_2021_03_03.csv,16211.73,2021/03/17,202103.0,14.0,0.0084
2021/03/04,optionsDaily_2021_03_04.csv,15906.41,2021/03/17,202103.0,13.0,0.0084
2021/03/05,optionsDaily_2021_03_05.csv,15855.23,2021/03/17,202103.0,12.0,0.0084
2021/03/08,optionsDaily_2021_03_08.csv,15820.11,2021/03/17,202103.0,9.0,0.0084
2021/03/09,optionsDaily_2021_03_09.csv,15853.09,2021/03/17,202103.0,8.0,0.0084
2021/03/10,optionsDaily_2021_03_10.csv,15911.67,2021/03/17,202103.0,7.0,0.0084
2021/03/11,optionsDaily_2021_03_11.csv,16179.56,2021/03/17,202103.0,6.0,0.0084
2021/03/12,optionsDaily_2021_03_12.csv,16255.18,2021/03/17,202103.0,5.0,0.0084
2021/03/15,optionsDaily_2021_03_15.csv,16249.33,2021/03/17,202103.0,2.0,0.0084
