Date,S0,File,Contract,ContractExpiryDate,Maturity,Rf
1/3/2022,"18,270.51",OptionsDaily_2022_01_03.csv,202201,1/19/2022,16,0.84
1/4/2022,"18,526.35",OptionsDaily_2022_01_04.csv,202201,1/19/2022,15,0.84
1/5/2022,"18,499.96",OptionsDaily_2022_01_05.csv,202201,1/19/2022,14,0.84
1/6/2022,"18,367.92",OptionsDaily_2022_01_06.csv,202201,1/19/2022,13,0.84
1/7/2022,"18,169.76",OptionsDaily_2022_01_07.csv,202201,1/19/2022,12,0.84
1/10/2022,"18,239.38",OptionsDaily_2022_01_10.csv,202201,1/19/2022,9,0.84
1/11/2022,"18,288.21",OptionsDaily_2022_01_11.csv,202201,1/19/2022,8,0.84
1/12/2022,"18,375.40",OptionsDaily_2022_01_12.csv,202201,1/19/2022,7,0.84
1/13/2022,"18,436.93",OptionsDaily_2022_01_13.csv,202201,1/19/2022,6,0.84
1/14/2022,"18,403.33",OptionsDaily_2022_01_14.csv,202201,1/19/2022,5,0.84
1/17/2022,"18,525.44",OptionsDaily_2022_01_17.csv,202201,1/19/2022,2,0.84
1/18/2022,"18,378.64",OptionsDaily_2022_01_18.csv,202201,1/19/2022,1,0.84
1/19/2022,"18,227.46",OptionsDaily_2022_01_19.csv,202202,2/16/2022,28,0.84
1/20/2022,"18,218.28",OptionsDaily_2022_01_20.csv,202202,2/16/2022,27,0.84
1/21/2022,"17,899.30",OptionsDaily_2022_01_21.csv,202202,2/16/2022,26,0.84
1/24/2022,"17,989.04",OptionsDaily_2022_01_24.csv,202202,2/16/2022,23,0.84
1/25/2022,"17,701.12",OptionsDaily_2022_01_25.csv,202202,2/16/2022,22,0.84
1/26/2022,"17,674.40",OptionsDaily_2022_01_26.csv,202202,2/16/2022,21,0.84
2/7/2022,"17,900.30",OptionsDaily_2022_02_07.csv,202202,2/16/2022,9,0.84
2/8/2022,"17,966.56",OptionsDaily_2022_02_08.csv,202202,2/16/2022,8,0.84
2/9/2022,"18,151.76",OptionsDaily_2022_02_09.csv,202202,2/16/2022,7,0.84
2/10/2022,"18,338.05",OptionsDaily_2022_02_10.csv,202202,2/16/2022,6,0.84
2/11/2022,"18,310.94",OptionsDaily_2022_02_11.csv,202202,2/16/2022,5,0.84
2/14/2022,"17,997.67",OptionsDaily_2022_02_14.csv,202202,2/16/2022,2,0.84
2/15/2022,"17,951.81",OptionsDaily_2022_02_15.csv,202202,2/16/2022,1,0.84
2/16/2022,"18,231.47",OptionsDaily_2022_02_16.csv,202203,3/16/2022,28,0.84
2/17/2022,"18,268.57",OptionsDaily_2022_02_17.csv,202203,3/16/2022,27,0.84
2/18/2022,"18,232.35",OptionsDaily_2022_02_18.csv,202203,3/16/2022,26,0.84
2/21/2022,"18,221.49",OptionsDaily_2022_02_21.csv,202203,3/16/2022,23,0.84
2/22/2022,"17,969.29",OptionsDaily_2022_02_22.csv,202203,3/16/2022,22,0.84
2/23/2022,"18,055.73",OptionsDaily_2022_02_23.csv,202203,3/16/2022,21,0.84
2/24/2022,"17,594.55",OptionsDaily_2022_02_24.csv,202203,3/16/2022,20,0.84
2/25/2022,"17,652.18",OptionsDaily_2022_02_25.csv,202203,3/16/2022,19,0.84
3/1/2022,"17,898.25",OptionsDaily_2022_03_01.csv,202203,3/16/2022,15,0.84
3/2/2022,"17,867.60",OptionsDaily_2022_03_02.csv,202203,3/16/2022,14,0.84
3/3/2022,"17,934.40",OptionsDaily_2022_03_03.csv,202203,3/16/2022,13,0.84
3/4/2022,"17,736.52",OptionsDaily_2022_03_04.csv,202203,3/16/2022,12,0.84
3/7/2022,"17,178.69",OptionsDaily_2022_03_07.csv,202203,3/16/2022,9,0.84
3/8/2022,"16,825.25",OptionsDaily_2022_03_08.csv,202203,3/16/2022,8,0.84
3/9/2022,"17,015.36",OptionsDaily_2022_03_09.csv,202203,3/16/2022,7,0.84
3/10/2022,"17,433.20",OptionsDaily_2022_03_10.csv,202203,3/16/2022,6,0.84
3/11/2022,"17,264.74",OptionsDaily_2022_03_11.csv,202203,3/16/2022,5,0.84
3/14/2022,"17,263.04",OptionsDaily_2022_03_14.csv,202203,3/16/2022,2,0.84
