年月日,收盤價(元),file (作業),Contract,ContractExpiryDate,Maturity,Rf
2021/1/4,"14,902.03",OptionsDaily_2021_01_04.csv,202101,2021/01/20,16,0.84
2021/1/5,"15,000.03",OptionsDaily_2021_01_05.csv,202101,2021/01/20,15,0.84
2021/1/6,"14,983.13",OptionsDaily_2021_01_06.csv,202101,2021/01/20,14,0.84
2021/1/7,"15,214",OptionsDaily_2021_01_07.csv,202101,2021/01/20,13,0.84
2021/1/8,"15,463.95",OptionsDaily_2021_01_08.csv,202101,2021/01/20,12,0.84
2021/1/11,"15,557.30",OptionsDaily_2021_01_11.csv,202101,2021/01/20,9,0.84
2021/1/12,"15,500.70",OptionsDaily_2021_01_12.csv,202101,2021/01/20,8,0.84
2021/1/13,"15,769.98",OptionsDaily_2021_01_13.csv,202101,2021/01/20,7,0.84
2021/1/14,"15,707.19",OptionsDaily_2021_01_14.csv,202101,2021/01/20,6,0.84
2021/1/15,"15,616.39",OptionsDaily_2021_01_15.csv,202101,2021/01/20,5,0.84
2021/1/18,"15,612",OptionsDaily_2021_01_18.csv,202101,2021/01/20,2,0.84
2021/1/19,"15,877.37",OptionsDaily_2021_01_19.csv,202101,2021/01/20,1,0.84
2021/1/20,"15,806.18",OptionsDaily_2021_01_20.csv,202102,2021/02/17,28,0.84
2021/1/21,"16,153.77",OptionsDaily_2021_01_21.csv,202102,2021/02/17,27,0.84
2021/1/22,"16,019.03",OptionsDaily_2021_01_22.csv,202102,2021/02/17,26,0.84
2021/1/25,"15,946.54",OptionsDaily_2021_01_25.csv,202102,2021/02/17,23,0.84
2021/1/26,"15,658.85",OptionsDaily_2021_01_26.csv,202102,2021/02/17,22,0.84
2021/1/27,"15,701.45",OptionsDaily_2021_01_27.csv,202102,2021/02/17,21,0.84
2021/1/28,"15,415.88",OptionsDaily_2021_01_28.csv,202102,2021/02/17,20,0.84
2021/1/29,"15,138.31",OptionsDaily_2021_01_29.csv,202102,2021/02/17,19,0.84
2021/2/1,"15,410.09",OptionsDaily_2021_02_01.csv,202102,2021/02/17,16,0.84
2021/2/2,"15,760.05",OptionsDaily_2021_02_02.csv,202102,2021/02/17,15,0.84
2021/2/3,"15,771.32",OptionsDaily_2021_02_03.csv,202102,2021/02/17,14,0.84
2021/2/4,"15,706.22",OptionsDaily_2021_02_04.csv,202102,2021/02/17,13,0.84
2021/2/5,"15,802.40",OptionsDaily_2021_02_05.csv,202102,2021/02/17,12,0.84
2021/2/17,"16,362.29",OptionsDaily_2021_02_17.csv,202103,2021/03/17,28,0.84
2021/2/18,"16,424.51",OptionsDaily_2021_02_18.csv,202103,2021/03/17,27,0.84
2021/2/19,"16,341.38",OptionsDaily_2021_02_19.csv,202103,2021/03/17,26,0.84
2021/2/22,"16,410.16",OptionsDaily_2021_02_22.csv,202103,2021/03/17,23,0.84
2021/2/23,"16,443.40",OptionsDaily_2021_02_23.csv,202103,2021/03/17,22,0.84
2021/2/24,"16,212.53",OptionsDaily_2021_02_24.csv,202103,2021/03/17,21,0.84
2021/2/25,"16,452.18",OptionsDaily_2021_02_25.csv,202103,2021/03/17,20,0.84
2021/2/26,"15,953.80",OptionsDaily_2021_02_26.csv,202103,2021/03/17,19,0.84
2021/3/2,"15,946.88",OptionsDaily_2021_03_02.csv,202103,2021/03/17,15,0.84
2021/3/3,"16,211.73",OptionsDaily_2021_03_03.csv,202103,2021/03/17,14,0.84
2021/3/4,"15,906.41",OptionsDaily_2021_03_04.csv,202103,2021/03/17,13,0.84
2021/3/5,"15,855.23",OptionsDaily_2021_03_05.csv,202103,2021/03/17,12,0.84
2021/3/8,"15,820.11",OptionsDaily_2021_03_08.csv,202103,2021/03/17,9,0.84
2021/3/9,"15,853.09",OptionsDaily_2021_03_09.csv,202103,2021/03/17,8,0.84
2021/3/10,"15,911.67",OptionsDaily_2021_03_10.csv,202103,2021/03/17,7,0.84
2021/3/11,"16,179.56",OptionsDaily_2021_03_11.csv,202103,2021/03/17,6,0.84
2021/3/12,"16,255.18",OptionsDaily_2021_03_12.csv,202103,2021/03/17,5,0.84
2021/3/15,"16,249.33",OptionsDaily_2021_03_15.csv,202103,2021/03/17,2,0.84
2021/3/16,"16,313.16",OptionsDaily_2021_03_16.csv,202103,2021/03/17,1,0.84
2021/3/17,"16,215.82",OptionsDaily_2021_03_17.csv,202104,2021/04/21,35,0.84
2021/3/18,"16,287.84",OptionsDaily_2021_03_18.csv,202104,2021/04/21,34,0.84
2021/3/19,"16,070.24",OptionsDaily_2021_03_19.csv,202104,2021/04/21,33,0.84
2021/3/22,"16,189.22",OptionsDaily_2021_03_22.csv,202104,2021/04/21,30,0.84
2021/3/23,"16,177.59",OptionsDaily_2021_03_23.csv,202104,2021/04/21,29,0.84
2021/3/24,"16,032.12",OptionsDaily_2021_03_24.csv,202104,2021/04/21,28,0.84
2021/3/25,"16,060.14",OptionsDaily_2021_03_25.csv,202104,2021/04/21,27,0.84
2021/3/26,"16,305.88",OptionsDaily_2021_03_26.csv,202104,2021/04/21,26,0.84
2021/3/29,"16,475.97",OptionsDaily_2021_03_29.csv,202104,2021/04/21,23,0.84
2021/3/30,"16,554.90",OptionsDaily_2021_03_30.csv,202104,2021/04/21,22,0.84
2021/3/31,"16,431.13",OptionsDaily_2021_03_31.csv,202104,2021/04/21,21,0.84
2021/4/1,"16,571.28",OptionsDaily_2021_04_01.csv,202104,2021/04/21,20,0.84
2021/4/6,"16,739.87",OptionsDaily_2021_04_06.csv,202104,2021/04/21,15,0.84
2021/4/7,"16,815.36",OptionsDaily_2021_04_07.csv,202104,2021/04/21,14,0.84
2021/4/8,"16,926.44",OptionsDaily_2021_04_08.csv,202104,2021/04/21,13,0.84
2021/4/9,"16,854.10",OptionsDaily_2021_04_09.csv,202104,2021/04/21,12,0.84
2021/4/12,"16,859.70",OptionsDaily_2021_04_12.csv,202104,2021/04/21,9,0.84
2021/4/13,"16,824.91",OptionsDaily_2021_04_13.csv,202104,2021/04/21,8,0.84
2021/4/14,"16,865.97",OptionsDaily_2021_04_14.csv,202104,2021/04/21,7,0.84
2021/4/15,"17,076.73",OptionsDaily_2021_04_15.csv,202104,2021/04/21,6,0.84
2021/4/16,"17,158.81",OptionsDaily_2021_04_16.csv,202104,2021/04/21,5,0.84
2021/4/19,"17,263.28",OptionsDaily_2021_04_19.csv,202104,2021/04/21,2,0.84
2021/4/20,"17,323.87",OptionsDaily_2021_04_20.csv,202104,2021/04/21,1,0.84
2021/4/21,"17,202.11",OptionsDaily_2021_04_21.csv,202105,2021/05/19,28,0.84
2021/4/22,"17,096.97",OptionsDaily_2021_04_22.csv,202105,2021/05/19,27,0.84
2021/4/23,"17,300.27",OptionsDaily_2021_04_23.csv,202105,2021/05/19,26,0.84
2021/4/26,"17,572.29",OptionsDaily_2021_04_26.csv,202105,2021/05/19,23,0.84
2021/4/27,"17,595.90",OptionsDaily_2021_04_27.csv,202105,2021/05/19,22,0.84
2021/4/28,"17,567.53",OptionsDaily_2021_04_28.csv,202105,2021/05/19,21,0.84
2021/4/29,"17,566.66",OptionsDaily_2021_04_29.csv,202105,2021/05/19,20,0.84
2021/5/3,"17,222.35",OptionsDaily_2021_05_03.csv,202105,2021/05/19,16,0.84
2021/5/4,"16,933.78",OptionsDaily_2021_05_04.csv,202105,2021/05/19,15,0.84
2021/5/5,"16,843.44",OptionsDaily_2021_05_05.csv,202105,2021/05/19,14,0.84
2021/5/6,"16,994.36",OptionsDaily_2021_05_06.csv,202105,2021/05/19,13,0.84
2021/5/7,"17,285",OptionsDaily_2021_05_07.csv,202105,2021/05/19,12,0.84
2021/5/10,"17,235.61",OptionsDaily_2021_05_10.csv,202105,2021/05/19,9,0.84
2021/5/11,"16,583.13",OptionsDaily_2021_05_11.csv,202105,2021/05/19,8,0.84
2021/5/12,"15,902.37",OptionsDaily_2021_05_12.csv,202105,2021/05/19,7,0.84
2021/5/13,"15,670.10",OptionsDaily_2021_05_13.csv,202105,2021/05/19,6,0.84
2021/5/14,"15,827.09",OptionsDaily_2021_05_14.csv,202105,2021/05/19,5,0.84
2021/5/17,"15,353.89",OptionsDaily_2021_05_17.csv,202105,2021/05/19,2,0.84
2021/5/18,"16,145.98",OptionsDaily_2021_05_18.csv,202105,2021/05/19,1,0.84
2021/5/19,"16,132.66",OptionsDaily_2021_05_19.csv,202106,2021/06/16,28,0.84
2021/5/20,"16,042.36",OptionsDaily_2021_05_20.csv,202106,2021/06/16,27,0.84
2021/5/21,"16,302.06",OptionsDaily_2021_05_21.csv,202106,2021/06/16,26,0.84
2021/5/24,"16,338.29",OptionsDaily_2021_05_24.csv,202106,2021/06/16,23,0.84
2021/5/25,"16,595.67",OptionsDaily_2021_05_25.csv,202106,2021/06/16,22,0.84
2021/5/26,"16,643.69",OptionsDaily_2021_05_26.csv,202106,2021/06/16,21,0.84
2021/5/27,"16,601.61",OptionsDaily_2021_05_27.csv,202106,2021/06/16,20,0.84
2021/5/28,"16,870.86",OptionsDaily_2021_05_28.csv,202106,2021/06/16,19,0.84
2021/5/31,"17,068.43",OptionsDaily_2021_05_31.csv,202106,2021/06/16,16,0.84
2021/6/1,"17,162.38",OptionsDaily_2021_06_01.csv,202106,2021/06/16,15,0.84
2021/6/2,"17,165.04",OptionsDaily_2021_06_02.csv,202106,2021/06/16,14,0.84
2021/6/3,"17,246.16",OptionsDaily_2021_06_03.csv,202106,2021/06/16,13,0.84
2021/6/4,"17,147.41",OptionsDaily_2021_06_04.csv,202106,2021/06/16,12,0.84
2021/6/7,"17,083.91",OptionsDaily_2021_06_07.csv,202106,2021/06/16,9,0.84
2021/6/8,"17,076.21",OptionsDaily_2021_06_08.csv,202106,2021/06/16,8,0.84
2021/6/9,"16,966.22",OptionsDaily_2021_06_09.csv,202106,2021/06/16,7,0.84
2021/6/10,"17,159.22",OptionsDaily_2021_06_10.csv,202106,2021/06/16,6,0.84
2021/6/11,"17,213.52",OptionsDaily_2021_06_11.csv,202106,2021/06/16,5,0.84
2021/6/15,"17,371.29",OptionsDaily_2021_06_15.csv,202106,2021/06/16,1,0.84
2021/6/16,"17,307.86",OptionsDaily_2021_06_16.csv,202107,2021/07/21,35,0.84
2021/6/17,"17,390.61",OptionsDaily_2021_06_17.csv,202107,2021/07/21,34,0.84
2021/6/18,"17,318.54",OptionsDaily_2021_06_18.csv,202107,2021/07/21,33,0.84
2021/6/21,"17,062.98",OptionsDaily_2021_06_21.csv,202107,2021/07/21,30,0.84
2021/6/22,"17,075.55",OptionsDaily_2021_06_22.csv,202107,2021/07/21,29,0.84
2021/6/23,"17,336.71",OptionsDaily_2021_06_23.csv,202107,2021/07/21,28,0.84
