Date,File,S0,Contract,ContractExpiry Date,Maturity,Rf
2022/1/3,OptionsDaily_2022_01_03.csv,18270.50977,202201,2022/1/19,16,0.0079
2022/1/4,OptionsDaily_2022_01_04.csv,18526.34961,202201,2022/1/19,15,0.0079
2022/1/5,OptionsDaily_2022_01_05.csv,18499.96094,202201,2022/1/19,14,0.0079
2022/1/6,OptionsDaily_2022_01_06.csv,18367.91992,202201,2022/1/19,13,0.0079
2022/1/7,OptionsDaily_2022_01_07.csv,18169.75977,202201,2022/1/19,12,0.0079
2022/1/10,OptionsDaily_2022_01_10.csv,18239.38086,202201,2022/1/19,9,0.0079
2022/1/11,OptionsDaily_2022_01_11.csv,18288.21094,202201,2022/1/19,8,0.0079
2022/1/12,OptionsDaily_2022_01_12.csv,18375.40039,202201,2022/1/19,7,0.0079
2022/1/13,OptionsDaily_2022_01_13.csv,18436.92969,202201,2022/1/19,6,0.0079
2022/1/14,OptionsDaily_2022_01_14.csv,18403.33008,202201,2022/1/19,5,0.0079
2022/1/17,OptionsDaily_2022_01_17.csv,18525.43945,202201,2022/1/19,2,0.0079
2022/1/18,OptionsDaily_2022_01_18.csv,18378.64063,202201,2022/1/19,1,0.0079
2022/1/19,OptionsDaily_2022_01_19.csv,18227.46094,202201,2022/1/19,0,0.0079
2022/1/20,OptionsDaily_2022_01_20.csv,18218.2793,202202,2022/2/16,27,0.0079
2022/1/21,OptionsDaily_2022_01_21.csv,17899.30078,202202,2022/2/16,26,0.0079
2022/1/24,OptionsDaily_2022_01_24.csv,17989.03906,202202,2022/2/16,23,0.0079
2022/1/25,OptionsDaily_2022_01_25.csv,17701.11914,202202,2022/2/16,22,0.0079
2022/1/26,OptionsDaily_2022_01_26.csv,17674.40039,202202,2022/2/16,21,0.0079
2022/2/7,OptionsDaily_2022_02_07.csv,17900.30078,202202,2022/2/16,9,0.0079
2022/2/8,OptionsDaily_2022_02_08.csv,17966.56055,202202,2022/2/16,8,0.0079
2022/2/9,OptionsDaily_2022_02_09.csv,18151.75977,202202,2022/2/16,7,0.0079
2022/2/10,OptionsDaily_2022_02_10.csv,18338.05078,202202,2022/2/16,6,0.0079
2022/2/11,OptionsDaily_2022_02_11.csv,18310.93945,202202,2022/2/16,5,0.0079
2022/2/14,OptionsDaily_2022_02_14.csv,17997.66992,202202,2022/2/16,2,0.0079
2022/2/15,OptionsDaily_2022_02_15.csv,17951.81055,202202,2022/2/16,1,0.0079
2022/2/16,OptionsDaily_2022_02_16.csv,18231.4707,202202,2022/2/16,0,0.0079
2022/2/17,OptionsDaily_2022_02_17.csv,18268.57031,202203,2022/3/16,27,0.0079
2022/2/18,OptionsDaily_2022_02_18.csv,18232.34961,202203,2022/3/16,26,0.0079
2022/2/21,OptionsDaily_2022_02_21.csv,18221.49023,202203,2022/3/16,23,0.0079
2022/2/22,OptionsDaily_2022_02_22.csv,17969.28906,202203,2022/3/16,22,0.0079
2022/2/23,OptionsDaily_2022_02_23.csv,18055.73047,202203,2022/3/16,21,0.0079
2022/2/24,OptionsDaily_2022_02_24.csv,17594.55078,202203,2022/3/16,20,0.0079
2022/2/25,OptionsDaily_2022_02_25.csv,17652.17969,202203,2022/3/16,19,0.0079
2022/3/1,OptionsDaily_2022_03_01.csv,17898.25,202203,2022/3/16,15,0.0079
2022/3/2,OptionsDaily_2022_03_02.csv,17867.59961,202203,2022/3/16,14,0.0079
2022/3/3,OptionsDaily_2022_03_03.csv,17934.40039,202203,2022/3/16,13,0.0079
2022/3/4,OptionsDaily_2022_03_04.csv,17736.51953,202203,2022/3/16,12,0.0079
2022/3/7,OptionsDaily_2022_03_07.csv,17178.68945,202203,2022/3/16,9,0.0079
2022/3/8,OptionsDaily_2022_03_08.csv,16825.25,202203,2022/3/16,8,0.0079
2022/3/9,OptionsDaily_2022_03_09.csv,17015.35938,202203,2022/3/16,7,0.0079
2022/3/10,OptionsDaily_2022_03_10.csv,17433.19922,202203,2022/3/16,6,0.0079
2022/3/11,OptionsDaily_2022_03_11.csv,17264.74023,202203,2022/3/16,5,0.0079
2022/3/14,OptionsDaily_2022_03_14.csv,17263.03906,202203,2022/3/16,2,0.0079
2022/3/15,OptionsDaily_2022_03_15.csv,16926.06055,202203,2022/3/16,1,0.0079
2022/3/16,OptionsDaily_2022_03_16.csv,16940.83008,202203,2022/3/16,0,0.0079
2022/3/17,OptionsDaily_2022_03_17.csv,17448.2207,202204,2022/4/20,34,0.0079
2022/3/18,OptionsDaily_2022_03_18.csv,17456.51953,202204,2022/4/20,33,0.0079
2022/3/21,OptionsDaily_2022_03_21.csv,17560.35938,202204,2022/4/20,30,0.0107
2022/3/22,OptionsDaily_2022_03_22.csv,17559.71094,202204,2022/4/20,29,0.0107
2022/3/23,OptionsDaily_2022_03_23.csv,17731.36914,202204,2022/4/20,28,0.0107
2022/3/24,OptionsDaily_2022_03_24.csv,17699.06055,202204,2022/4/20,27,0.0107
2022/3/25,OptionsDaily_2022_03_25.csv,17676.94922,202204,2022/4/20,26,0.0107
2022/3/28,OptionsDaily_2022_03_28.csv,17520.00977,202204,2022/4/20,23,0.0107
2022/3/29,OptionsDaily_2022_03_29.csv,17548.66016,202204,2022/4/20,22,0.0107
2022/3/30,OptionsDaily_2022_03_30.csv,17740.56055,202204,2022/4/20,21,0.0107
2022/3/31,OptionsDaily_2022_03_31.csv,17693.4707,202204,2022/4/20,20,0.0107
2022/4/1,OptionsDaily_2022_04_01.csv,17625.58984,202204,2022/4/20,19,0.0107
2022/4/6,OptionsDaily_2022_04_06.csv,17522.5,202204,2022/4/20,14,0.0107
2022/4/7,OptionsDaily_2022_04_07.csv,17178.63086,202204,2022/4/20,13,0.0107
2022/4/8,OptionsDaily_2022_04_08.csv,17284.53906,202204,2022/4/20,12,0.0107
2022/4/11,OptionsDaily_2022_04_11.csv,17048.36914,202204,2022/4/20,9,0.0107
2022/4/12,OptionsDaily_2022_04_12.csv,16990.91016,202204,2022/4/20,8,0.0107
2022/4/13,OptionsDaily_2022_04_13.csv,17301.65039,202204,2022/4/20,7,0.0107
2022/4/14,OptionsDaily_2022_04_14.csv,17245.65039,202204,2022/4/20,6,0.0107
2022/4/15,OptionsDaily_2022_04_15.csv,17004.17969,202204,2022/4/20,5,0.0107
2022/4/18,OptionsDaily_2022_04_18.csv,16898.86914,202204,2022/4/20,2,0.0107
2022/4/19,OptionsDaily_2022_04_19.csv,16993.40039,202204,2022/4/20,1,0.0107
2022/4/20,OptionsDaily_2022_04_20.csv,17148.88086,202204,2022/4/20,0,0.0107
2022/4/21,OptionsDaily_2022_04_21.csv,17127.94922,202205,2022/5/18,27,0.0107
2022/4/22,OptionsDaily_2022_04_22.csv,17025.08984,202205,2022/5/18,26,0.0107
2022/4/25,OptionsDaily_2022_04_25.csv,16620.90039,202205,2022/5/18,23,0.0107
2022/4/26,OptionsDaily_2022_04_26.csv,16644.78906,202205,2022/5/18,22,0.0107
2022/4/27,OptionsDaily_2022_04_27.csv,16303.34961,202205,2022/5/18,21,0.0107
2022/4/28,OptionsDaily_2022_04_28.csv,16419.38086,202205,2022/5/18,20,0.0107
2022/4/29,OptionsDaily_2022_04_29.csv,16592.17969,202205,2022/5/18,19,0.0107
2022/5/3,OptionsDaily_2022_05_03.csv,16498.90039,202205,2022/5/18,15,0.0107
2022/5/4,OptionsDaily_2022_05_04.csv,16565.83008,202205,2022/5/18,14,0.0107
2022/5/5,OptionsDaily_2022_05_05.csv,16696.11914,202205,2022/5/18,13,0.0107
2022/5/6,OptionsDaily_2022_05_06.csv,16408.19922,202205,2022/5/18,12,0.0107
2022/5/9,OptionsDaily_2022_05_09.csv,16048.91992,202205,2022/5/18,9,0.0107
2022/5/10,OptionsDaily_2022_05_10.csv,16061.7002,202205,2022/5/18,8,0.0107
2022/5/11,OptionsDaily_2022_05_11.csv,16006.25,202205,2022/5/18,7,0.0107
2022/5/12,OptionsDaily_2022_05_12.csv,15616.67969,202205,2022/5/18,6,0.0107
2022/5/13,OptionsDaily_2022_05_13.csv,15832.54004,202205,2022/5/18,5,0.0107
