Date,File,S0,Maturity,Contract,ContractExpiryDate,Rf
2022/01/03,OptionsDaily_2022/01/03.csv,18270.51,352,202212,2022-12-21,0.01465
2022/01/04,OptionsDaily_2022/01/04.csv,18526.35,351,202212,2022-12-21,0.01465
2022/01/05,OptionsDaily_2022/01/05.csv,18499.96,350,202212,2022-12-21,0.01465
2022/01/06,OptionsDaily_2022/01/06.csv,18367.92,349,202212,2022-12-21,0.01465
2022/01/07,OptionsDaily_2022/01/07.csv,18169.76,348,202212,2022-12-21,0.01465
2022/01/10,OptionsDaily_2022/01/10.csv,18239.38,345,202212,2022-12-21,0.01465
2022/01/11,OptionsDaily_2022/01/11.csv,18288.21,344,202212,2022-12-21,0.01465
2022/01/12,OptionsDaily_2022/01/12.csv,18375.4,343,202212,2022-12-21,0.01465
2022/01/13,OptionsDaily_2022/01/13.csv,18436.93,342,202212,2022-12-21,0.01465
2022/01/14,OptionsDaily_2022/01/14.csv,18403.33,341,202212,2022-12-21,0.01465
2022/01/17,OptionsDaily_2022/01/17.csv,18525.44,338,202212,2022-12-21,0.01465
2022/01/18,OptionsDaily_2022/01/18.csv,18378.64,337,202212,2022-12-21,0.01465
2022/01/19,OptionsDaily_2022/01/19.csv,18227.46,336,202212,2022-12-21,0.01465
2022/01/20,OptionsDaily_2022/01/20.csv,18218.28,335,202212,2022-12-21,0.01465
2022/01/21,OptionsDaily_2022/01/21.csv,17899.3,334,202212,2022-12-21,0.01465
2022/01/24,OptionsDaily_2022/01/24.csv,17989.04,331,202212,2022-12-21,0.01465
2022/01/25,OptionsDaily_2022/01/25.csv,17701.12,330,202212,2022-12-21,0.01465
2022/01/26,OptionsDaily_2022/01/26.csv,17674.4,329,202212,2022-12-21,0.01465
2022/02/07,OptionsDaily_2022/02/07.csv,17900.3,317,202212,2022-12-21,0.01465
2022/02/08,OptionsDaily_2022/02/08.csv,17966.56,316,202212,2022-12-21,0.01465
2022/02/09,OptionsDaily_2022/02/09.csv,18151.76,315,202212,2022-12-21,0.01465
2022/02/10,OptionsDaily_2022/02/10.csv,18338.05,314,202212,2022-12-21,0.01465
2022/02/11,OptionsDaily_2022/02/11.csv,18310.94,313,202212,2022-12-21,0.01465
2022/02/14,OptionsDaily_2022/02/14.csv,17997.67,310,202212,2022-12-21,0.01465
2022/02/15,OptionsDaily_2022/02/15.csv,17951.81,309,202212,2022-12-21,0.01465
2022/02/16,OptionsDaily_2022/02/16.csv,18231.47,308,202212,2022-12-21,0.01465
2022/02/17,OptionsDaily_2022/02/17.csv,18268.57,307,202212,2022-12-21,0.01465
2022/02/18,OptionsDaily_2022/02/18.csv,18232.35,306,202212,2022-12-21,0.01465
2022/02/21,OptionsDaily_2022/02/21.csv,18221.49,303,202212,2022-12-21,0.01465
2022/02/22,OptionsDaily_2022/02/22.csv,17969.29,302,202212,2022-12-21,0.01465
2022/02/23,OptionsDaily_2022/02/23.csv,18055.73,301,202212,2022-12-21,0.01465
2022/02/24,OptionsDaily_2022/02/24.csv,17594.55,300,202212,2022-12-21,0.01465
