Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2023/1/3,OptionsDaily_2023_01_03.csv,14224.12,202301,2023/1/30,27,0.01465
2023/1/4,OptionsDaily_2023_01_04.csv,14199.13,202301,2023/1/30,26,0.01465
2023/1/5,OptionsDaily_2023_01_05.csv,14301.05,202301,2023/1/30,25,0.01465
2023/1/6,OptionsDaily_2023_01_06.csv,14373.34,202301,2023/1/30,24,0.01465
2023/1/9,OptionsDaily_2023_01_09.csv,14752.21,202301,2023/1/30,21,0.01465
2023/1/10,OptionsDaily_2023_01_10.csv,14802.96,202301,2023/1/30,20,0.01465
2023/1/11,OptionsDaily_2023_01_11.csv,14751.44,202301,2023/1/30,19,0.01465
2023/1/12,OptionsDaily_2023_01_12.csv,14731.64,202301,2023/1/30,18,0.01465
2023/1/13,OptionsDaily_2023_01_13.csv,14824.13,202301,2023/1/30,17,0.01465
2023/1/16,OptionsDaily_2023_01_16.csv,14927.01,202301,2023/1/30,14,0.01465
2023/1/17,OptionsDaily_2023_01_17.csv,14932.93,202301,2023/1/30,13,0.01465
2023/1/30,OptionsDaily_2023_01_30.csv,15493.82,202302,2023/2/15,16,0.01465
2023/1/31,OptionsDaily_2023_01_31.csv,15265.2,202302,2023/2/15,15,0.01465
2023/2/1,OptionsDaily_2023_02_01.csv,15420.13,202302,2023/2/15,14,0.01465
2023/2/2,OptionsDaily_2023_02_02.csv,15595.16,202302,2023/2/15,13,0.01465
2023/2/3,OptionsDaily_2023_02_03.csv,15602.66,202302,2023/2/15,12,0.01465
2023/2/6,OptionsDaily_2023_02_06.csv,15392.82,202302,2023/2/15,9,0.01465
2023/2/7,OptionsDaily_2023_02_07.csv,15400.91,202302,2023/2/15,8,0.01465
2023/2/8,OptionsDaily_2023_02_08.csv,15618.17,202302,2023/2/15,7,0.01465
2023/2/9,OptionsDaily_2023_02_09.csv,15598.71,202302,2023/2/15,6,0.01465
2023/2/10,OptionsDaily_2023_02_10.csv,15586.65,202302,2023/2/15,5,0.01465
2023/2/13,OptionsDaily_2023_02_13.csv,15544.28,202302,2023/2/15,2,0.01465
2023/2/14,OptionsDaily_2023_02_14.csv,15654.48,202303,2023/3/15,29,0.01465
2023/2/15,OptionsDaily_2023_02_15.csv,15432.89,202303,2023/3/15,28,0.01465
2023/2/16,OptionsDaily_2023_02_16.csv,15550.5,202303,2023/3/15,27,0.01465
2023/2/17,OptionsDaily_2023_02_17.csv,15479.7,202303,2023/3/15,26,0.01465
2023/2/20,OptionsDaily_2023_02_20.csv,15551.23,202303,2023/3/15,23,0.01465
2023/2/21,OptionsDaily_2023_02_21.csv,15563,202303,2023/3/15,22,0.01465
2023/2/22,OptionsDaily_2023_02_22.csv,15418.77,202303,2023/3/15,21,0.01465
2023/2/23,OptionsDaily_2023_02_23.csv,15615.41,202303,2023/3/15,20,0.01465
2023/2/24,OptionsDaily_2023_02_24.csv,15503.79,202303,2023/3/15,19,0.01465
2023/3/1,OptionsDaily_2023_03_01.csv,15598.49,202303,2023/3/15,14,0.01465
2023/3/2,OptionsDaily_2023_03_02.csv,15598.72,202303,2023/3/15,13,0.01465
2023/3/3,OptionsDaily_2023_03_03.csv,15608.42,202303,2023/3/15,12,0.01465
2023/3/6,OptionsDaily_2023_03_06.csv,15763.51,202303,2023/3/15,9,0.01465
2023/3/7,OptionsDaily_2023_03_07.csv,15857.89,202303,2023/3/15,8,0.01465
2023/3/8,OptionsDaily_2023_03_08.csv,15818.2,202303,2023/3/15,7,0.01465
2023/3/9,OptionsDaily_2023_03_09.csv,15770.66,202303,2023/3/15,6,0.01465
2023/3/10,OptionsDaily_2023_03_10.csv,15526.2,202303,2023/3/15,5,0.01465
2023/3/13,OptionsDaily_2023_03_13.csv,15560.49,202303,2023/3/15,2,0.01465
2023/3/14,OptionsDaily_2023_03_14.csv,15360.42,202304,2023/4/19,36,0.01465
2023/3/15,OptionsDaily_2023_03_15.csv,15387.59,202304,2023/4/19,35,0.01465
2023/3/16,OptionsDaily_2023_03_16.csv,15221.12,202304,2023/4/19,34,0.01465
2023/3/17,OptionsDaily_2023_03_17.csv,15452.96,202304,2023/4/19,33,0.01465
2023/3/20,OptionsDaily_2023_03_20.csv,15419.97,202304,2023/4/19,30,0.01465
2023/3/21,OptionsDaily_2023_03_21.csv,15513.45,202304,2023/4/19,29,0.01465
2023/3/22,OptionsDaily_2023_03_22.csv,15760.46,202304,2023/4/19,28,0.01465
2023/3/23,OptionsDaily_2023_03_23.csv,15863.95,202304,2023/4/19,27,0.01465
2023/3/24,OptionsDaily_2023_03_24.csv,15914.7,202304,2023/4/19,26,0.01465
2023/3/27,OptionsDaily_2023_03_27.csv,15830.31,202304,2023/4/19,23,0.0159
2023/3/28,OptionsDaily_2023_03_28.csv,15701.48,202304,2023/4/19,22,0.0159
2023/3/29,OptionsDaily_2023_03_29.csv,15769.76,202304,2023/4/19,21,0.0159
2023/3/30,OptionsDaily_2023_03_30.csv,15849.43,202304,2023/4/19,20,0.0159
2023/3/31,OptionsDaily_2023_03_31.csv,15868.06,202304,2023/4/19,19,0.0159
2023/4/6,OptionsDaily_2023_04_06.csv,15810.77,202304,2023/4/19,13,0.0159
2023/4/7,OptionsDaily_2023_04_07.csv,15836.5,202304,2023/4/19,12,0.0159
2023/4/10,OptionsDaily_2023_04_10.csv,15876.17,202304,2023/4/19,9,0.0159
2023/4/11,OptionsDaily_2023_04_11.csv,15913.88,202304,2023/4/19,8,0.0159
2023/4/12,OptionsDaily_2023_04_12.csv,15932.97,202304,2023/4/19,7,0.0159
2023/4/13,OptionsDaily_2023_04_13.csv,15804.76,202304,2023/4/19,6,0.0159
2023/4/14,OptionsDaily_2023_04_14.csv,15929.43,202304,2023/4/19,5,0.0159
2023/4/17,OptionsDaily_2023_04_17.csv,15963.55,202304,2023/4/19,2,0.0159
2023/4/18,OptionsDaily_2023_04_18.csv,15869.44,202305,2023/5/17,29,0.0159
