Date,File,SO,Contract,ContractExpiry Date,Maturity,Rf
2023/12/29,2023 (4).xlsx,17930.81,202401,2024/1/17,19,0.012
2023/12/28,2023 (4).xlsx,17910.37,202401,2024/1/17,20,0.012
2023/12/27,2023 (4).xlsx,17891.5,202401,2024/1/17,21,0.012
2023/12/26,2023 (4).xlsx,17751.73,202401,2024/1/17,22,0.012
2023/12/25,2023 (4).xlsx,17604.84,202401,2024/1/17,23,0.012
2023/12/22,2023 (4).xlsx,17596.63,202401,2024/1/17,26,0.012
2023/12/21,2023 (4).xlsx,17543.74,202401,2024/1/17,27,0.012
2023/12/20,2023 (4).xlsx,17635.2,202312,2023/12/20,0,0.012
2023/12/19,2023 (4).xlsx,17576.55,202312,2023/12/20,1,0.012
2023/12/18,2023 (4).xlsx,17652.03,202312,2023/12/20,2,0.012
2023/12/15,2023 (4).xlsx,17673.87,202312,2023/12/20,5,0.012
2023/12/14,2023 (4).xlsx,17653.11,202312,2023/12/20,6,0.012
2023/12/13,2023 (4).xlsx,17468.93,202312,2023/12/20,7,0.012
2023/12/12,2023 (4).xlsx,17450.63,202312,2023/12/20,8,0.012
2023/12/11,2023 (4).xlsx,17418.34,202312,2023/12/20,9,0.012
2023/12/8,2023 (4).xlsx,17383.99,202312,2023/12/20,12,0.012
2023/12/7,2023 (4).xlsx,17278.74,202312,2023/12/20,13,0.012
2023/12/6,2023 (4).xlsx,17360.72,202312,2023/12/20,14,0.012
2023/12/5,2023 (4).xlsx,17328.01,202312,2023/12/20,15,0.012
2023/12/4,2023 (4).xlsx,17421.48,202312,2023/12/20,16,0.012
2023/12/1,2023 (4).xlsx,17438.35,202312,2023/12/20,19,0.012
2023/11/30,2023 (4).xlsx,17433.85,202312,2023/12/20,20,0.012
2023/11/29,2023 (4).xlsx,17370.56,202312,2023/12/20,21,0.012
2023/11/28,2023 (4).xlsx,17341.25,202312,2023/12/20,22,0.012
2023/11/27,2023 (4).xlsx,17137.42,202312,2023/12/20,23,0.012
2023/11/24,2023 (4).xlsx,17287.42,202312,2023/12/20,26,0.012
2023/11/23,2023 (4).xlsx,17294.55,202312,2023/12/20,27,0.012
2023/11/22,2023 (4).xlsx,17310.26,202312,2023/12/20,28,0.012
