Date,File,S0,Maturity,Contract,ContractExpiryDate,Rf
2021/1/4,OptionsDaily_2021_01_04.csv,14902.03,16,202101,2021/1/20,0.00845
2021/1/5,OptionsDaily_2021_01_05.csv,15000.03,15,202101,2021/1/20,0.00845
2021/1/6,OptionsDaily_2021_01_06.csv,14983.13,14,202101,2021/1/20,0.00845
2021/1/7,OptionsDaily_2021_01_07.csv,15214.0,13,202101,2021/1/20,0.00845
2021/1/8,OptionsDaily_2021_01_08.csv,15463.95,12,202101,2021/1/20,0.00845
2021/1/11,OptionsDaily_2021_01_11.csv,15557.3,9,202101,2021/1/20,0.00845
2021/1/12,OptionsDaily_2021_01_12.csv,15500.7,8,202101,2021/1/20,0.00845
2021/1/13,OptionsDaily_2021_01_13.csv,15769.98,7,202101,2021/1/20,0.00845
2021/1/14,OptionsDaily_2021_01_14.csv,15707.19,6,202101,2021/1/20,0.00845
2021/1/15,OptionsDaily_2021_01_15.csv,15616.39,5,202101,2021/1/20,0.00845
2021/1/18,OptionsDaily_2021_01_18.csv,15612.0,2,202101,2021/1/20,0.00845
2021/1/19,OptionsDaily_2021_01_19.csv,15877.37,1,202101,2021/1/20,0.00845
2021/1/20,OptionsDaily_2021_01_20.csv,15806.18,0,202101,2021/1/20,0.00845
2021/1/21,OptionsDaily_2021_01_21.csv,16153.77,27,202102,2021/2/17,0.00845
2021/1/22,OptionsDaily_2021_01_22.csv,16019.03,26,202102,2021/2/17,0.00845
2021/1/25,OptionsDaily_2021_01_25.csv,15946.54,23,202102,2021/2/17,0.00845
2021/1/26,OptionsDaily_2021_01_26.csv,15658.85,22,202102,2021/2/17,0.00845
2021/1/27,OptionsDaily_2021_01_27.csv,15701.45,21,202102,2021/2/17,0.00845
2021/1/28,OptionsDaily_2021_01_28.csv,15415.88,20,202102,2021/2/17,0.00845
2021/1/29,OptionsDaily_2021_01_29.csv,15138.31,19,202102,2021/2/17,0.00845
2021/2/1,OptionsDaily_2021_02_01.csv,15410.09,16,202102,2021/2/17,0.00845
2021/2/2,OptionsDaily_2021_02_02.csv,15760.05,15,202102,2021/2/17,0.00845
2021/2/3,OptionsDaily_2021_02_03.csv,15771.32,14,202102,2021/2/17,0.00845
2021/2/4,OptionsDaily_2021_02_04.csv,15706.22,13,202102,2021/2/17,0.00845
2021/2/5,OptionsDaily_2021_02_05.csv,15802.4,12,202102,2021/2/17,0.00845
2021/2/17,OptionsDaily_2021_02_17.csv,16362.29,0,202102,2021/2/17,0.00845
2021/2/18,OptionsDaily_2021_02_18.csv,16424.51,27,202103,2021/3/17,0.00845
2021/2/19,OptionsDaily_2021_02_19.csv,16341.38,26,202103,2021/3/17,0.00845
2021/2/22,OptionsDaily_2021_02_22.csv,16410.16,23,202103,2021/3/17,0.00845
2021/2/23,OptionsDaily_2021_02_23.csv,16443.4,22,202103,2021/3/17,0.00845
2021/2/24,OptionsDaily_2021_02_24.csv,16212.53,21,202103,2021/3/17,0.00845
2021/2/25,OptionsDaily_2021_02_25.csv,16452.18,20,202103,2021/3/17,0.00845
2021/2/26,OptionsDaily_2021_02_26.csv,15953.8,19,202103,2021/3/17,0.00845
2021/3/2,OptionsDaily_2021_03_02.csv,15946.88,15,202103,2021/3/17,0.00845
