Date,PCR,Call_IV_Mean,Call_IV_Std,Put_IV_Mean,Put_IV_Std
20221231,0.99311554,0.020061914,0.060196181,0.808296751,0.245221403
20230103,1.007141249,0.019782652,0.057754778,0.767273175,0.273668964
20230105,0.981562145,0.033468429,0.077571506,0.792333128,0.268212819
20230106,1.085678266,0.031775852,0.07601756,0.771091301,0.274269658
20230106,1.238620117,0.028280713,0.071989218,0.945100248,0.520247655
20230109,1.020123252,0.049311119,0.093337963,0.674608267,0.262651648
20230110,0.995480228,0.050915632,0.09444271,0.650246553,0.262949282
20230111,0.895838012,0.042833122,0.085854966,0.677868026,0.213123693
20230112,0.863836114,0.034022869,0.079918416,0.663109136,0.215931047
20230113,0.977780894,0.046107871,0.090960879,0.633441875,0.205811656
20230117,0.96115769,0.038406854,0.082912316,0.677293441,0.263744489
20230117,0.851395263,0.034611742,0.081978601,0.581624371,0.243066995
20230130,0.827023647,0.051524783,0.091256502,0.590260901,0.245901265
20230131,0.901478078,0.059736296,0.099376187,0.583861034,0.239646361
20230201,1.095101304,0.065909363,0.10880193,0.567365997,0.249410467
20230202,0.99764243,0.05941132,0.103823235,0.561210226,0.283377293
20230206,0.865083947,0.056342272,0.098714291,0.56697973,0.265569958
20230206,0.992847767,0.052526872,0.099141626,0.552501684,0.232261381
20230208,1.130508861,0.06171696,0.101223097,0.51086229,0.218790365
20230208,0.99284257,0.067800869,0.109873566,0.560274202,0.241695748
20230209,0.928607022,0.056681723,0.105489113,0.531965622,0.231729093
20230210,0.847902457,0.057259369,0.094493864,0.543364833,0.231248295
20230213,1.116034892,0.06340072,0.10406937,0.540439224,0.241524191
20230214,0.949135979,0.05381442,0.094865834,0.592592165,0.307087002
20230216,1.155803524,0.069029613,0.108784238,0.606986296,0.261965905
20230216,0.944074982,0.066123257,0.106390518,0.567428868,0.224564834
20230217,1.172817139,0.063279762,0.095591244,0.583908871,0.256911172
20230220,1.046179463,0.055450717,0.091259877,0.515406393,0.237326238
20230221,0.969781165,0.067810214,0.104418029,0.586714378,0.267623518
20230223,1.162172366,0.064065803,0.101977893,0.580357439,0.277403766
20230223,1.035255131,0.070599335,0.10163157,0.561919172,0.266719834
20230224,1.06347448,0.062565226,0.098072709,0.574503138,0.253175698
20230301,0.98022904,0.071071317,0.104955364,0.576267191,0.264827557
20230302,1.115632425,0.062136008,0.098503996,0.560980146,0.249312087
20230304,1.221979968,0.07124753,0.105638476,0.506947394,0.26182295
20230307,1.278185839,0.068823772,0.097873439,0.494908976,0.264051188
20230308,0.861276891,0.060439568,0.098457949,0.491088898,0.265494313
20230308,0.923926267,0.070996234,0.106616053,0.507428538,0.259691924
20230309,0.766565287,0.063772518,0.099204529,0.61618767,0.305401054
20230313,0.925693247,0.057073205,0.10168371,0.652829729,0.297084161
20230314,0.857103808,0.05335542,0.095708795,0.704096882,0.309915109
20230315,1.092904584,0.047811411,0.09469507,0.660408824,0.306847208
20230315,1.013761171,0.053722973,0.097353094,0.755245173,0.308998074
20230317,1.192490341,0.047835523,0.093531406,0.687952495,0.359009811
20230317,1.198305274,0.059587571,0.105037918,0.63096028,0.298370931
20230320,1.378993351,0.065045649,0.112751712,0.597965488,0.28707092
20230321,1.308283875,0.074302167,0.118132078,0.572086022,0.341761835
20230322,1.259051574,0.075223817,0.111601062,0.533285664,0.307753142
20230323,1.198199809,0.076910661,0.12398812,0.510333602,0.295513069
20230324,1.014366406,0.072958848,0.112479753,0.508517157,0.293919032
20230327,0.801244228,0.071235963,0.105704795,0.505700398,0.291570548
20230328,1.107711661,0.077211804,0.112733942,0.471282089,0.254191964
20230329,1.27666616,0.077334062,0.11932729,0.518467045,0.288810367
20230330,1.107183825,0.084358193,0.116988168,0.482860218,0.287386676
20230331,1.12133708,0.068100269,0.097644182,0.477775172,0.276699938
20230406,1.150451635,0.076739416,0.108839088,0.501194041,0.275239399
20230407,1.223451301,0.072295303,0.108683916,0.487897308,0.281768315
20230410,1.07818193,0.071311863,0.106431543,0.500937218,0.278313822
20230412,1.041814696,0.077410225,0.119658574,0.451594195,0.257678841
20230412,0.861805365,0.066449944,0.099806474,0.487822703,0.253955209
20230413,1.10797085,0.083426054,0.115505859,0.486659666,0.268411935
20230414,0.96436071,0.07446266,0.119850585,0.473524303,0.258277907
20230418,0.941088037,0.055736203,0.092893928,0.571006278,0.291029253
20230418,0.970604351,0.051209083,0.09392126,0.492366278,0.260634158
20230419,0.857717071,0.067602898,0.098611453,0.514516052,0.215873741
20230420,0.813144308,0.069634947,0.107271692,0.534254133,0.244809674
20230424,0.923760627,0.060360026,0.092767427,0.526385223,0.227379767
20230424,0.873160786,0.064810926,0.103180459,0.555739904,0.223100347
20230425,0.891021609,0.050865818,0.089514807,0.617304447,0.251264391
20230427,0.988728443,0.065643972,0.101078651,0.565187606,0.224034599
20230427,1.140647014,0.060305163,0.095485777,0.521126409,0.226673169
20230428,1.288905905,0.06709945,0.105816716,0.516220645,0.247143994
20230502,0.964085752,0.057635079,0.092182656,0.508346399,0.233416589
20230504,1.166771748,0.055984589,0.094530041,0.50939962,0.22952074
20230504,1.081661802,0.056273583,0.090341485,0.494287975,0.207642855
20230505,1.260605144,0.067459219,0.1063099,0.476637507,0.223516641
20230508,0.990439336,0.057718646,0.093524878,0.477645755,0.220632578
20230510,0.804272316,0.067876294,0.107753569,0.511197138,0.255166723
20230511,0.957613251,0.054787673,0.089026265,0.526389328,0.229755461
20230511,0.987981141,0.055725781,0.091774395,0.537652658,0.208276879
20230512,1.042852104,0.04377565,0.075746322,0.516983441,0.190265165
20230515,1.134232074,0.050935849,0.086637753,0.51435049,0.253504399
20230516,0.96068877,0.062655135,0.098191702,0.455099539,0.235196978
20230518,1.024278517,0.07569301,0.104899219,0.421541214,0.208919076
20230518,0.893140191,0.0772737,0.112986333,0.388907125,0.214756887
20230522,1.015011743,0.08853847,0.11827003,0.385078478,0.229085549
20230522,1.098407903,0.097895791,0.128398212,0.40465911,0.260784056
20230524,0.952758208,0.07593449,0.111399045,0.400953596,0.236067828
20230524,0.997898032,0.102063629,0.13052475,0.408622991,0.226391438
20230525,1.051643312,0.09460271,0.120036726,0.362699194,0.236260851
20230526,0.999991043,0.274145502,0.179869767,0.306394633,0.286191746
20230530,0.969309131,0.206938146,0.114143944,0.288934145,0.270584046
20230530,0.938357081,0.235572936,0.195808042,0.292019943,0.275088201
20230531,0.963076033,0.142853183,0.116665465,0.298651683,0.234943278
20230601,1.118589694,0.224754437,0.116389616,0.271618835,0.251663146
20230605,0.880898631,0.290936055,0.127084469,0.2753829,0.255265039
20230606,1.014664744,0.251849826,0.108733016,0.258932719,0.251752217
20230606,1.075728396,0.362053114,0.205690915,0.243011857,0.266552477
20230608,0.835370406,0.303291449,0.171951531,0.245190197,0.26653676
20230609,1.031778822,0.285719899,0.108401569,0.281035642,0.286127072
20230609,1.062826114,0.36228894,0.174813337,0.273090004,0.267468328
20230613,0.97496803,0.582244637,0.406478971,0.225310111,0.259627456
20230614,0.8905164,0.512898275,0.292264048,0.231859929,0.266411309
20230614,0.948143553,0.572373784,0.405133456,0.20713749,0.242699418
20230615,0.869841903,0.559590973,0.353845019,0.177556973,0.236259968
20230619,0.929884915,0.528730817,0.443786099,0.206813809,0.250891321
20230620,0.90304179,0.484474947,0.335228506,0.218129462,0.276079498
20230621,1.022222956,0.669858782,0.52660476,0.195944215,0.254194964
20230626,0.966111992,0.448816827,0.29978288,0.239423871,0.272333181
20230626,1.016311789,0.328859375,0.173988287,0.229534948,0.268165517
20230628,0.976146113,0.327545528,0.194320392,0.226072113,0.283438094
20230628,0.942348847,0.324320598,0.156894389,0.234768092,0.268046322
20230630,1.099805942,0.27758551,0.138922117,0.251405891,0.271950326
