Date,Total_Call_Volume,Call_IV_Count,Call_IV_Mean,Call_IV_Std,Total_Put_Volume,Put_IV_Count,Put_IV_Mean,Put_IV_Std,PCR
2023/1/3,12026,271,0.127288101,0.014255965,12543,292,0.216073005,0.019976104,1.042990188
2023/1/4,7001,182,0.15956462,0.025043926,3932,102,0.191318815,0.018374501,0.561634052
2023/1/5,8159,196,0.137799395,0.012243892,11827,283,0.194610917,0.01526986,1.449564898
2023/1/6,16077,320,0.130345184,0.009999674,22885,510,0.187961631,0.013299579,1.423462089
2023/1/9,38517,762,0.125618383,0.037902918,36441,780,0.213393984,0.022790637,0.946101721
2023/1/10,16584,373,0.147040008,0.014684084,27393,587,0.193870334,0.037407673,1.651772793
2023/1/11,23916,510,0.149419426,0.011777059,33381,757,0.162211239,0.022230826,1.395760161
2023/1/30,13254,242,0.134668819,0.022799792,9930,211,0.274270125,0.075255922,0.749207786
2023/1/31,12355,269,0.188439084,0.02144157,10666,235,0.188464129,0.053399688,0.863294213
2023/2/1,17321,311,0.14180885,0.015258588,7752,158,0.217199849,0.029672289,0.447549218
2023/2/2,25653,471,0.129730702,0.01622214,22602,497,0.209172675,0.029010641,0.881066542
2023/2/3,15306,327,0.141200676,0.01503156,15988,343,0.205826123,0.026465443,1.04455769
2023/2/6,23594,481,0.178931402,0.023546508,16246,329,0.177969141,0.031561241,0.688564889
2023/2/7,23783,415,0.158982467,0.010298317,19244,394,0.188542624,0.028814609,0.809149392
2023/2/8,52563,936,0.142626565,0.024062837,56785,1141,0.20227565,0.031328828,1.08032266
2023/2/9,55607,1060,0.15094711,0.015184658,62967,1231,0.179032922,0.014820455,1.132357437
2023/2/10,115053,2096,0.177523946,0.036095421,86656,1672,0.166143675,0.03579869,0.753183316
2023/2/13,137156,2573,0.229489438,0.050585903,97516,1888,0.263306711,0.032168549,0.710986031
2023/2/14,84913,1592,0.24972123,0.062947672,111580,2117,0.332571498,0.044187894,1.314050852
2023/2/15,10602,210,0.175862985,0.039844975,15000,242,0.253174704,0.129024363,1.414827391
2023/2/16,13986,274,0.143010377,0.0190866,13541,285,0.205274649,0.039549276,0.968182468
2023/2/17,8376,172,0.146154897,0.019622181,9589,167,0.257752666,0.108089802,1.144818529
2023/2/20,9494,181,0.131887477,0.00740689,15876,305,0.20388988,0.04189216,1.67221403
2023/2/21,3958,86,0.131618013,0.021137767,10376,196,0.240682643,0.116703226,2.621526023
2023/2/22,16791,321,0.157216644,0.050844565,12260,259,0.186574633,0.027709685,0.730153058
2023/2/23,20746,378,0.127662279,0.027524653,17458,360,0.195144873,0.024603491,0.841511617
2023/2/24,20031,334,0.170678507,0.043114184,12681,239,0.158970095,0.018478845,0.633068743
2023/3/1,15198,266,0.133546645,0.030581528,17463,348,0.254413941,0.101143951,1.149032767
2023/3/2,9576,205,0.13532747,0.01094743,14842,318,0.215683912,0.05557517,1.549916458
2023/3/3,14369,269,0.169957317,0.095267585,11749,239,0.187179688,0.036353788,0.817663025
2023/3/6,25495,513,0.149429289,0.020342896,24924,489,0.198329772,0.031328013,0.977603452
2023/3/7,13058,268,0.141149703,0.021578804,29640,533,0.189696043,0.031884176,2.269872875
2023/3/8,43919,760,0.135374894,0.018688789,41562,743,0.189003711,0.025950945,0.946333022
2023/3/9,59709,1090,0.152740687,0.017230869,59057,1076,0.154726797,0.023388083,0.989080373
2023/3/10,186720,3245,0.177700915,0.041630815,103528,1709,0.168366151,0.052728023,0.55445587
2023/3/13,164834,2890,0.168582688,0.039122037,106671,2000,0.328480576,0.055069522,0.647141973
2023/3/14,204102,3664,0.32741954,0.080760315,120898,2295,0.307803276,0.066134746,0.592341084
2023/3/15,8958,152,0.152370115,0.013578414,3922,90,0.217317695,0.02889848,0.437820942
2023/3/16,17529,327,0.159233691,0.024906271,13695,301,0.229034874,0.037393075,0.781276741
2023/3/17,7090,138,0.143357742,0.031601708,5827,135,0.231236916,0.023174182,0.821861777
2023/3/20,4368,97,0.153884068,0.01463171,7238,136,0.224040656,0.028094503,1.657051282
2023/3/21,3951,86,0.128722316,0.013574023,7001,145,0.227576524,0.027488436,1.771956467
2023/3/22,12242,262,0.11266324,0.019067253,15399,288,0.23170941,0.028346864,1.257882699
2023/3/23,11410,214,0.12461427,0.019149946,16578,252,0.225960479,0.036824752,1.452936021
2023/3/24,9234,184,0.137257568,0.015732764,12602,229,0.190693467,0.024922915,1.364739008
2023/3/27,8510,189,0.141596645,0.006367166,4640,106,0.191878837,0.029140774,0.545240893
2023/3/28,7849,160,0.146087242,0.014768757,6072,138,0.176043996,0.014060362,0.773601733
2023/3/29,7542,139,0.127844082,0.021940167,7512,160,0.196865046,0.031558915,0.996022275
2023/3/30,3481,65,0.124542994,0.004661952,16313,269,0.189035342,0.036014977,4.686297041
2023/3/31,14603,282,0.143743176,0.015793852,12609,230,0.185103529,0.046107405,0.863452715
2023/4/6,14187,289,0.144338723,0.029014841,8472,146,0.207121272,0.050509695,0.59716642
2023/4/7,8983,163,0.125466629,0.007575081,12035,189,0.184030319,0.045368309,1.339752867
2023/4/10,12869,235,0.141661273,0.019801861,19398,339,0.175716933,0.036541087,1.507343228
2023/4/11,16963,318,0.119649551,0.02373715,27852,521,0.18217348,0.04085574,1.641926546
2023/4/12,20808,411,0.127475439,0.010134627,42203,674,0.175121447,0.032096514,2.028210304
2023/4/13,93785,1696,0.151728576,0.028531536,66559,1188,0.110068038,0.031475468,0.709697713
2023/4/14,84581,1449,0.09958136,0.025171909,104427,1929,0.134671463,0.037301088,1.234638985
2023/4/17,76783,1365,0.116358448,0.032090926,82421,1591,0.175104249,0.032285359,1.073427712
2023/4/18,102543,1875,0.203427857,0.107869973,100997,1600,0.130145254,0.052771719,0.984923398
2023/4/19,7178,148,0.129863248,0.009074673,5280,92,0.161476093,0.01533692,0.735580942
2023/4/20,6428,137,0.125005343,0.005323633,5849,127,0.165862173,0.033863564,0.909925327
2023/4/21,9200,175,0.133651551,0.020555868,8535,173,0.163431375,0.028340721,0.927717391
2023/4/24,6940,131,0.126089401,0.021646967,4985,104,0.17548076,0.027265769,0.718299712
2023/4/25,13193,236,0.147245999,0.014320524,15730,264,0.149179624,0.038163201,1.192298946
2023/4/26,8810,170,0.131267413,0.005269216,6956,150,0.179213104,0.037784842,0.789557321
2023/4/27,9457,185,0.127382029,0.015957408,9404,171,0.178323403,0.017253448,0.994395686
2023/4/28,11639,227,0.113881728,0.026056399,15157,281,0.17429869,0.033186743,1.302259644
2023/5/2,10716,197,0.122390947,0.015894691,17571,313,0.16727079,0.01955475,1.639697648
2023/5/3,7687,161,0.135233507,0.018012454,11201,211,0.15580178,0.01887618,1.457135423
2023/5/4,11093,226,0.118547349,0.01605018,17574,361,0.174324277,0.019835499,1.584242315
2023/5/5,14750,285,0.120838421,0.012284976,21417,409,0.159691607,0.026455966,1.452
2023/5/8,12925,268,0.127957768,0.013489025,28692,539,0.159240406,0.031162609,2.219883946
2023/5/9,13432,246,0.107407947,0.017059356,12344,235,0.149597921,0.028286067,0.918999404
2023/5/10,36146,655,0.114955551,0.01736142,29336,561,0.147229766,0.031599612,0.811597411
2023/5/11,123196,2221,0.134644229,0.022272035,100448,1734,0.103180429,0.033545873,0.815351148
2023/5/12,106669,2059,0.099000862,0.019574719,93227,1780,0.13020353,0.030100647,0.873984007
2023/5/15,92528,1846,0.134077793,0.024549015,76390,1520,0.151884905,0.0375888,0.82558793
2023/5/16,105942,1573,0.129427989,0.04090011,144874,2660,0.210037508,0.083627699,1.367484095
2023/5/17,11734,220,0.092532036,0.026520682,6310,130,0.187056126,0.065661693,0.537753537
2023/5/18,22406,434,0.11975093,0.022460612,11032,226,0.19994091,0.069723368,0.492368116
2023/5/19,9454,148,0.121439099,0.008344089,5077,106,0.179788916,0.017844184,0.537021367
2023/5/22,3632,78,0.119451238,0.00457415,3604,58,0.205578637,0.075719594,0.992290749
2023/5/23,5788,118,0.116652118,0.008335174,8023,116,0.202274696,0.076647324,1.386143746
2023/5/24,6567,121,0.104629065,0.008248249,8821,144,0.187368185,0.065191507,1.343231308
2023/5/25,16554,304,0.095913685,0.019894584,16665,310,0.194704979,0.020241893,1.006705328
2023/5/26,21722,419,0.115102667,0.026266576,26402,441,0.215381082,0.06514704,1.215449774
2023/5/29,20097,378,0.129338336,0.019635514,12141,246,0.206290162,0.037716301,0.604120018
2023/5/30,5318,106,0.128658058,0.01966367,12111,183,0.184963809,0.023106599,2.27735991
2023/5/31,18536,382,0.136311442,0.017970021,15946,339,0.17121465,0.049709524,0.860271903
2023/6/1,8740,182,0.130453058,0.014301773,4061,90,0.178948491,0.037813433,0.464645309
2023/6/2,19186,387,0.129712798,0.019242452,31479,591,0.213093051,0.07772976,1.640727614
2023/6/5,15310,305,0.148996885,0.015160271,12397,224,0.24134708,0.171787713,0.809732201
2023/6/6,10692,202,0.127364109,0.012211815,7060,140,0.167900242,0.026772863,0.660306771
2023/6/7,24459,431,0.10942623,0.01140581,23910,431,0.192584829,0.062768097,0.977554275
2023/6/8,38280,647,0.140478167,0.02730498,22030,400,0.134764025,0.038934922,0.575496343
2023/6/9,27951,473,0.117604802,0.014345787,18527,384,0.201686424,0.07118001,0.662838539
2023/6/12,15690,330,0.141478415,0.01791916,35769,631,0.209067052,0.102598249,2.279732314
2023/6/13,34839,533,0.134843562,0.028806628,55777,963,0.21690125,0.069906287,1.60099314
2023/6/14,50186,910,0.147316199,0.02697664,51414,917,0.185541194,0.041099181,1.024468975
2023/6/15,105487,1813,0.120393214,0.035448285,91361,1706,0.176287122,0.029623168,0.866087764
2023/6/16,109490,2044,0.130015799,0.023456559,85544,1665,0.143402444,0.040898184,0.781295095
2023/6/19,131491,2313,0.141193134,0.037526488,104717,1960,0.187999271,0.057171124,0.796381501
2023/6/20,172423,2856,0.152849091,0.052541706,121585,2194,0.171199545,0.059204255,0.705155345
2023/6/21,3420,79,0.099627109,0.014056713,4151,68,0.212546962,0.052273843,1.21374269
2023/6/26,14999,296,0.124089332,0.017801879,9839,202,0.213756093,0.027545568,0.655977065
2023/6/27,17844,339,0.131367562,0.024821336,7194,131,0.200388175,0.039389337,0.403160726
2023/6/28,5670,89,0.100139596,0.014526587,8292,142,0.1951173,0.011598686,1.462433862
2023/6/29,9068,179,0.113623286,0.012333679,6958,151,0.178549292,0.030456844,0.76731363
2023/6/30,14979,272,0.104328615,0.01706594,18979,343,0.184322773,0.014954975,1.267040523
2023/7/3,13364,241,0.113616868,0.013434022,12501,230,0.185577521,0.029931966,0.935423526
2023/7/4,7899,147,0.110431224,0.009398354,10527,214,0.16577565,0.018761412,1.332700342
2023/7/5,11015,190,0.129066722,0.023497346,22398,358,0.153575005,0.013335676,2.033408988
2023/7/6,36656,684,0.148447369,0.018274472,20416,433,0.137167763,0.036682588,0.556962025
2023/7/7,22634,455,0.129871145,0.012462807,12920,286,0.179135636,0.020828496,0.570822656
2023/7/10,18591,355,0.148083072,0.027312085,14656,296,0.172558993,0.028505972,0.788338443
2023/7/11,20405,370,0.105139265,0.037466797,19362,403,0.200320904,0.030498125,0.948885077
2023/7/12,39932,742,0.117413994,0.022408202,48296,893,0.201653454,0.035625124,1.209456075
2023/7/13,180960,3153,0.155669379,0.038784571,198267,3472,0.147157972,0.045907365,1.09563992
2023/7/14,113571,1891,0.100530778,0.023990173,146387,2706,0.180642416,0.0362363,1.288947002
2023/7/17,88848,1633,0.140205856,0.033604193,111259,2217,0.213887665,0.046892304,1.25223978
2023/7/18,182650,3388,0.213629239,0.062479333,145925,2508,0.177537978,0.071925471,0.798932384
2023/7/19,5407,115,0.139776808,0.012837373,3920,95,0.182464331,0.043234383,0.724986129
2023/7/20,4760,107,0.125074661,0.006585661,5682,126,0.175290599,0.014161491,1.193697479
2023/7/21,16495,310,0.12706842,0.01960972,8332,146,0.207378716,0.040489305,0.505122764
2023/7/24,5459,97,0.132371248,0.021260123,2451,53,0.183568524,0.017668252,0.44898333
2023/7/25,11850,245,0.132480471,0.024581021,7809,148,0.175765384,0.018854927,0.658987342
2023/7/26,11472,199,0.133059803,0.019335941,7675,157,0.158080032,0.013635376,0.669020223
2023/7/27,14193,214,0.120462912,0.01957724,10404,206,0.170525016,0.020768522,0.733037413
