Date,File,Maturity,Contract,ContractExpiryDate,Rf,S0
2024/01/02,OptionsDaily_2024_01_02.csv,0.0410958904109589,202401  ,2024/01/17,0.011,17853.76
2024/01/02,OptionsDaily_2024_01_02.csv,0.0027397260273972603,202401W1  ,2024/01/03,0.011,17853.76
2024/01/02,OptionsDaily_2024_01_02.csv,0.021917808219178082,202401W2  ,2024/01/10,0.011,17853.76
2024/01/02,OptionsDaily_2024_01_02.csv,0.136986301369863,202402  ,2024/02/21,0.011,17853.76
2024/01/02,OptionsDaily_2024_01_02.csv,0.2136986301369863,202403  ,2024/03/20,0.011,17853.76
2024/01/03,OptionsDaily_2024_01_03.csv,0.038356164383561646,202401  ,2024/01/17,0.011,17559.31
2024/01/03,OptionsDaily_2024_01_03.csv,0.0027397260273972603,202401W1  ,2024/01/03,0.011,17559.31
2024/01/03,OptionsDaily_2024_01_03.csv,0.019178082191780823,202401W2  ,2024/01/10,0.011,17559.31
2024/01/03,OptionsDaily_2024_01_03.csv,0.13424657534246576,202402  ,2024/02/21,0.011,17559.31
2024/01/03,OptionsDaily_2024_01_03.csv,0.4602739726027397,202406  ,2024/06/19,0.011,17559.31
2024/01/04,OptionsDaily_2024_01_04.csv,0.03561643835616438,202401  ,2024/01/17,0.011,17549.65
2024/01/04,OptionsDaily_2024_01_04.csv,0.01643835616438356,202401W2  ,2024/01/10,0.011,17549.65
2024/01/04,OptionsDaily_2024_01_04.csv,0.13150684931506848,202402  ,2024/02/21,0.011,17549.65
2024/01/04,OptionsDaily_2024_01_04.csv,0.20821917808219179,202403  ,2024/03/20,0.011,17549.65
2024/01/05,OptionsDaily_2024_01_05.csv,0.03287671232876712,202401  ,2024/01/17,0.011,17519.14
2024/01/05,OptionsDaily_2024_01_05.csv,0.0136986301369863,202401W2  ,2024/01/10,0.011,17519.14
2024/01/05,OptionsDaily_2024_01_05.csv,0.12876712328767123,202402  ,2024/02/21,0.011,17519.14
2024/01/05,OptionsDaily_2024_01_05.csv,0.2054794520547945,202403  ,2024/03/20,0.011,17519.14
2024/01/08,OptionsDaily_2024_01_08.csv,0.024657534246575342,202401  ,2024/01/17,0.011,17572.66
2024/01/08,OptionsDaily_2024_01_08.csv,0.005479452054794521,202401W2  ,2024/01/10,0.011,17572.66
2024/01/08,OptionsDaily_2024_01_08.csv,0.12054794520547946,202402  ,2024/02/21,0.011,17572.66
2024/01/08,OptionsDaily_2024_01_08.csv,0.19726027397260273,202403  ,2024/03/20,0.011,17572.66
2024/01/09,OptionsDaily_2024_01_09.csv,0.021917808219178082,202401  ,2024/01/17,0.011,17535.49
2024/01/09,OptionsDaily_2024_01_09.csv,0.0027397260273972603,202401W2  ,2024/01/10,0.011,17535.49
2024/01/09,OptionsDaily_2024_01_09.csv,0.1178082191780822,202402  ,2024/02/21,0.011,17535.49
2024/01/09,OptionsDaily_2024_01_09.csv,0.19452054794520549,202403  ,2024/03/20,0.011,17535.49
2024/01/10,OptionsDaily_2024_01_10.csv,0.019178082191780823,202401  ,2024/01/17,0.011,17465.63
2024/01/10,OptionsDaily_2024_01_10.csv,0.0027397260273972603,202401W2  ,2024/01/10,0.011,17465.63
2024/01/10,OptionsDaily_2024_01_10.csv,0.038356164383561646,202401W4  ,2024/01/24,0.011,17465.63
2024/01/10,OptionsDaily_2024_01_10.csv,0.11506849315068493,202402  ,2024/02/21,0.011,17465.63
2024/01/10,OptionsDaily_2024_01_10.csv,0.1917808219178082,202403  ,2024/03/20,0.011,17465.63
2024/01/10,OptionsDaily_2024_01_10.csv,0.4410958904109589,202406  ,2024/06/19,0.011,17465.63
2024/01/11,OptionsDaily_2024_01_11.csv,0.01643835616438356,202401  ,2024/01/17,0.011,17545.32
2024/01/11,OptionsDaily_2024_01_11.csv,0.03561643835616438,202401W4  ,2024/01/24,0.011,17545.32
2024/01/11,OptionsDaily_2024_01_11.csv,0.11232876712328767,202402  ,2024/02/21,0.011,17545.32
2024/01/11,OptionsDaily_2024_01_11.csv,0.18904109589041096,202403  ,2024/03/20,0.011,17545.32
2024/01/12,OptionsDaily_2024_01_12.csv,0.0136986301369863,202401  ,2024/01/17,0.011,17512.83
2024/01/12,OptionsDaily_2024_01_12.csv,0.03287671232876712,202401W4  ,2024/01/24,0.011,17512.83
2024/01/12,OptionsDaily_2024_01_12.csv,0.1095890410958904,202402  ,2024/02/21,0.011,17512.83
2024/01/12,OptionsDaily_2024_01_12.csv,0.1863013698630137,202403  ,2024/03/20,0.011,17512.83
2024/01/12,OptionsDaily_2024_01_12.csv,0.684931506849315,202409  ,2024/09/18,0.011,17512.83
2024/01/15,OptionsDaily_2024_01_15.csv,0.005479452054794521,202401  ,2024/01/17,0.011,17546.82
2024/01/15,OptionsDaily_2024_01_15.csv,0.024657534246575342,202401W4  ,2024/01/24,0.011,17546.82
2024/01/15,OptionsDaily_2024_01_15.csv,0.10136986301369863,202402  ,2024/02/21,0.011,17546.82
2024/01/15,OptionsDaily_2024_01_15.csv,0.1780821917808219,202403  ,2024/03/20,0.011,17546.82
2024/01/16,OptionsDaily_2024_01_16.csv,0.0027397260273972603,202401  ,2024/01/17,0.011,17346.87
2024/01/16,OptionsDaily_2024_01_16.csv,0.021917808219178082,202401W4  ,2024/01/24,0.011,17346.87
2024/01/16,OptionsDaily_2024_01_16.csv,0.09863013698630137,202402  ,2024/02/21,0.011,17346.87
2024/01/16,OptionsDaily_2024_01_16.csv,0.17534246575342466,202403  ,2024/03/20,0.011,17346.87
2024/01/17,OptionsDaily_2024_01_17.csv,0.0027397260273972603,202401  ,2024/01/17,0.011,17161.79
2024/01/17,OptionsDaily_2024_01_17.csv,0.019178082191780823,202401W4  ,2024/01/24,0.011,17161.79
2024/01/17,OptionsDaily_2024_01_17.csv,0.038356164383561646,202401W5  ,2024/01/31,0.011,17161.79
2024/01/17,OptionsDaily_2024_01_17.csv,0.0958904109589041,202402  ,2024/02/21,0.011,17161.79
2024/01/17,OptionsDaily_2024_01_17.csv,0.1726027397260274,202403  ,2024/03/20,0.011,17161.79
2024/01/17,OptionsDaily_2024_01_17.csv,0.42191780821917807,202406  ,2024/06/19,0.011,17161.79
2024/01/18,OptionsDaily_2024_01_18.csv,0.01643835616438356,202401W4  ,2024/01/24,0.011,17227.79
2024/01/18,OptionsDaily_2024_01_18.csv,0.03561643835616438,202401W5  ,2024/01/31,0.011,17227.79
2024/01/18,OptionsDaily_2024_01_18.csv,0.09315068493150686,202402  ,2024/02/21,0.011,17227.79
2024/01/18,OptionsDaily_2024_01_18.csv,0.16986301369863013,202403  ,2024/03/20,0.011,17227.79
2024/01/18,OptionsDaily_2024_01_18.csv,0.4191780821917808,202406  ,2024/06/19,0.011,17227.79
2024/01/18,OptionsDaily_2024_01_18.csv,0.6684931506849315,202409  ,2024/09/18,0.011,17227.79
2024/01/19,OptionsDaily_2024_01_19.csv,0.0136986301369863,202401W4  ,2024/01/24,0.011,17681.52
2024/01/19,OptionsDaily_2024_01_19.csv,0.03287671232876712,202401W5  ,2024/01/31,0.011,17681.52
2024/01/19,OptionsDaily_2024_01_19.csv,0.09041095890410959,202402  ,2024/02/21,0.011,17681.52
2024/01/19,OptionsDaily_2024_01_19.csv,0.16712328767123288,202403  ,2024/03/20,0.011,17681.52
2024/01/22,OptionsDaily_2024_01_22.csv,0.005479452054794521,202401W4  ,2024/01/24,0.011,17815.1
2024/01/22,OptionsDaily_2024_01_22.csv,0.024657534246575342,202401W5  ,2024/01/31,0.011,17815.1
2024/01/22,OptionsDaily_2024_01_22.csv,0.0821917808219178,202402  ,2024/02/21,0.011,17815.1
2024/01/22,OptionsDaily_2024_01_22.csv,0.1589041095890411,202403  ,2024/03/20,0.011,17815.1
2024/01/22,OptionsDaily_2024_01_22.csv,0.6575342465753424,202409  ,2024/09/18,0.011,17815.1
2024/01/23,OptionsDaily_2024_01_23.csv,0.0027397260273972603,202401W4  ,2024/01/24,0.011,17874.59
2024/01/23,OptionsDaily_2024_01_23.csv,0.021917808219178082,202401W5  ,2024/01/31,0.011,17874.59
2024/01/23,OptionsDaily_2024_01_23.csv,0.07945205479452055,202402  ,2024/02/21,0.011,17874.59
2024/01/23,OptionsDaily_2024_01_23.csv,0.15616438356164383,202403  ,2024/03/20,0.011,17874.59
2024/01/24,OptionsDaily_2024_01_24.csv,0.0027397260273972603,202401W4  ,2024/01/24,0.011,17875.83
2024/01/24,OptionsDaily_2024_01_24.csv,0.019178082191780823,202401W5  ,2024/01/31,0.011,17875.83
2024/01/24,OptionsDaily_2024_01_24.csv,0.07671232876712329,202402  ,2024/02/21,0.011,17875.83
2024/01/24,OptionsDaily_2024_01_24.csv,0.038356164383561646,202402W1  ,2024/02/07,0.011,17875.83
2024/01/24,OptionsDaily_2024_01_24.csv,0.15342465753424658,202403  ,2024/03/20,0.011,17875.83
2024/01/24,OptionsDaily_2024_01_24.csv,0.6520547945205479,202409  ,2024/09/18,0.011,17875.83
2024/01/25,OptionsDaily_2024_01_25.csv,0.01643835616438356,202401W5  ,2024/01/31,0.011,18002.62
2024/01/25,OptionsDaily_2024_01_25.csv,0.07397260273972603,202402  ,2024/02/21,0.011,18002.62
2024/01/25,OptionsDaily_2024_01_25.csv,0.03561643835616438,202402W1  ,2024/02/07,0.011,18002.62
2024/01/25,OptionsDaily_2024_01_25.csv,0.1506849315068493,202403  ,2024/03/20,0.011,18002.62
2024/01/25,OptionsDaily_2024_01_25.csv,0.4,202406  ,2024/06/19,0.011,18002.62
2024/01/26,OptionsDaily_2024_01_26.csv,0.0136986301369863,202401W5  ,2024/01/31,0.011,17995.03
2024/01/26,OptionsDaily_2024_01_26.csv,0.07123287671232877,202402  ,2024/02/21,0.011,17995.03
2024/01/26,OptionsDaily_2024_01_26.csv,0.03287671232876712,202402W1  ,2024/02/07,0.011,17995.03
2024/01/26,OptionsDaily_2024_01_26.csv,0.14794520547945206,202403  ,2024/03/20,0.011,17995.03
2024/01/29,OptionsDaily_2024_01_29.csv,0.005479452054794521,202401W5  ,2024/01/31,0.011,18119.63
2024/01/29,OptionsDaily_2024_01_29.csv,0.06301369863013699,202402  ,2024/02/21,0.011,18119.63
2024/01/29,OptionsDaily_2024_01_29.csv,0.024657534246575342,202402W1  ,2024/02/07,0.011,18119.63
2024/01/29,OptionsDaily_2024_01_29.csv,0.13972602739726028,202403  ,2024/03/20,0.011,18119.63
2024/01/29,OptionsDaily_2024_01_29.csv,0.38904109589041097,202406  ,2024/06/19,0.011,18119.63
2024/01/30,OptionsDaily_2024_01_30.csv,0.0027397260273972603,202401W5  ,2024/01/31,0.011,18034.63
2024/01/30,OptionsDaily_2024_01_30.csv,0.06027397260273973,202402  ,2024/02/21,0.011,18034.63
2024/01/30,OptionsDaily_2024_01_30.csv,0.021917808219178082,202402W1  ,2024/02/07,0.011,18034.63
2024/01/30,OptionsDaily_2024_01_30.csv,0.136986301369863,202403  ,2024/03/20,0.011,18034.63
2024/01/30,OptionsDaily_2024_01_30.csv,0.6356164383561644,202409  ,2024/09/18,0.011,18034.63
2024/01/31,OptionsDaily_2024_01_31.csv,0.0027397260273972603,202401W5  ,2024/01/31,0.011,17889.56
2024/01/31,OptionsDaily_2024_01_31.csv,0.057534246575342465,202402  ,2024/02/21,0.011,17889.56
2024/01/31,OptionsDaily_2024_01_31.csv,0.019178082191780823,202402W1  ,2024/02/07,0.011,17889.56
2024/01/31,OptionsDaily_2024_01_31.csv,0.13424657534246576,202403  ,2024/03/20,0.011,17889.56
2024/01/31,OptionsDaily_2024_01_31.csv,0.21095890410958903,202404  ,2024/04/17,0.011,17889.56
2024/01/31,OptionsDaily_2024_01_31.csv,0.3835616438356164,202406  ,2024/06/19,0.011,17889.56
2024/01/31,OptionsDaily_2024_01_31.csv,0.6328767123287671,202409  ,2024/09/18,0.011,17889.56
2024/02/01,OptionsDaily_2024_02_01.csv,0.0547945205479452,202402  ,2024/02/21,0.011,17968.11
2024/02/01,OptionsDaily_2024_02_01.csv,0.01643835616438356,202402W1  ,2024/02/07,0.011,17968.11
2024/02/01,OptionsDaily_2024_02_01.csv,0.13150684931506848,202403  ,2024/03/20,0.011,17968.11
2024/02/01,OptionsDaily_2024_02_01.csv,0.20821917808219179,202404  ,2024/04/17,0.011,17968.11
2024/02/02,OptionsDaily_2024_02_02.csv,0.052054794520547946,202402  ,2024/02/21,0.011,18059.93
2024/02/02,OptionsDaily_2024_02_02.csv,0.0136986301369863,202402W1  ,2024/02/07,0.011,18059.93
2024/02/02,OptionsDaily_2024_02_02.csv,0.12876712328767123,202403  ,2024/03/20,0.011,18059.93
2024/02/02,OptionsDaily_2024_02_02.csv,0.6273972602739726,202409  ,2024/09/18,0.011,18059.93
2024/02/05,OptionsDaily_2024_02_05.csv,0.043835616438356165,202402  ,2024/02/21,0.011,18096.07
2024/02/05,OptionsDaily_2024_02_05.csv,0.005479452054794521,202402W1  ,2024/02/07,0.011,18096.07
2024/02/05,OptionsDaily_2024_02_05.csv,0.12054794520547946,202403  ,2024/03/20,0.011,18096.07
2024/02/15,OptionsDaily_2024_02_15.csv,0.01643835616438356,202402  ,2024/02/21,0.011,18644.57
2024/02/15,OptionsDaily_2024_02_15.csv,0.0027397260273972603,202402W1  ,2024/02/07,0.011,18644.57
2024/02/15,OptionsDaily_2024_02_15.csv,0.03561643835616438,202402W4  ,2024/02/28,0.011,18644.57
2024/02/15,OptionsDaily_2024_02_15.csv,0.09315068493150686,202403  ,2024/03/20,0.011,18644.57
