Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2020/01/02,OptionsDaily_2020_01_02.csv,"12,100.48",202001,2020/1/15,13,0.0109
2020/01/03,OptionsDaily_2020_01_03.csv,"12,110.43",202001,2020/1/15,12,0.0109
2020/01/06,OptionsDaily_2020_01_06.csv,"11,953.36",202001,2020/1/15,9,0.0109
2020/01/07,OptionsDaily_2020_01_07.csv,"11,880.32",202001,2020/1/15,8,0.0109
2020/01/08,OptionsDaily_2020_01_08.csv,"11,817.10",202001,2020/1/15,7,0.0109
2020/01/09,OptionsDaily_2020_01_09.csv,"11,970.63",202001,2020/1/15,6,0.0109
2020/01/10,OptionsDaily_2020_01_10.csv,"12,024.65",202001,2020/1/15,5,0.0109
2020/01/13,OptionsDaily_2020_01_13.csv,"12,113.42",202001,2020/1/15,2,0.0109
2020/01/14,OptionsDaily_2020_01_14.csv,"12,179.81",202001,2020/1/15,1,0.0109
2020/01/15,OptionsDaily_2020_01_15.csv,"12,091.88",202002,2020/2/19,35,0.0109
2020/01/16,OptionsDaily_2020_01_16.csv,"12,066.93",202002,2020/2/19,34,0.0109
2020/01/17,OptionsDaily_2020_01_17.csv,"12,090.29",202002,2020/2/19,33,0.0109
2020/01/20,OptionsDaily_2020_01_20.csv,"12,118.71",202002,2020/2/19,30,0.0109
2020/01/30,OptionsDaily_2020_01_30.csv,"11,421.74",202002,2020/2/19,20,0.0109
2020/01/31,OptionsDaily_2020_01_31.csv,"11,495.10",202002,2020/2/19,19,0.0109
2020/02/03,OptionsDaily_2020_02_03.csv,"11,354.92",202002,2020/2/19,16,0.0109
2020/02/04,OptionsDaily_2020_02_04.csv,"11,555.92",202002,2020/2/19,15,0.0109
2020/02/05,OptionsDaily_2020_02_05.csv,"11,573.62",202002,2020/2/19,14,0.0109
2020/02/06,OptionsDaily_2020_02_06.csv,"11,749.68",202002,2020/2/19,13,0.0109
2020/02/07,OptionsDaily_2020_02_07.csv,"11,612.81",202002,2020/2/19,12,0.0109
2020/02/10,OptionsDaily_2020_02_10.csv,"11,574.07",202002,2020/2/19,9,0.0109
2020/02/11,OptionsDaily_2020_02_11.csv,"11,664.04",202002,2020/2/19,8,0.0109
2020/02/12,OptionsDaily_2020_02_12.csv,"11,774.19",202002,2020/2/19,7,0.0109
2020/02/13,OptionsDaily_2020_02_13.csv,"11,791.78",202002,2020/2/19,6,0.0109
2020/02/14,OptionsDaily_2020_02_14.csv,"11,815.70",202002,2020/2/19,5,0.0109
2020/02/17,OptionsDaily_2020_02_17.csv,"11,763.51",202002,2020/2/19,2,0.0109
2020/02/18,OptionsDaily_2020_02_18.csv,"11,648.98",202002,2020/2/19,1,0.0109
2020/02/19,OptionsDaily_2020_02_19.csv,"11,758.84",202003,2020/3/18,28,0.0109
2020/02/20,OptionsDaily_2020_02_20.csv,"11,725.09",202003,2020/3/18,27,0.0109
2020/02/21,OptionsDaily_2020_02_21.csv,"11,686.35",202003,2020/3/18,26,0.0109
2020/02/24,OptionsDaily_2020_02_24.csv,"11,534.87",202003,2020/3/18,23,0.0109
2020/02/25,OptionsDaily_2020_02_25.csv,"11,540.23",202003,2020/3/18,22,0.0109
2020/02/26,OptionsDaily_2020_02_26.csv,"11,433.62",202003,2020/3/18,21,0.0109
2020/02/27,OptionsDaily_2020_02_27.csv,"11,292.17",202003,2020/3/18,20,0.0109
2020/03/02,OptionsDaily_2020_03_02.csv,"11,170.46",202003,2020/3/18,16,0.0109
2020/03/03,OptionsDaily_2020_03_03.csv,"11,327.72",202003,2020/3/18,15,0.0109
2020/03/04,OptionsDaily_2020_03_04.csv,"11,392.35",202003,2020/3/18,14,0.0109
2020/03/05,OptionsDaily_2020_03_05.csv,"11,514.82",202003,2020/3/18,13,0.0109
2020/03/06,OptionsDaily_2020_03_06.csv,"11,321.81",202003,2020/3/18,12,0.0109
2020/03/09,OptionsDaily_2020_03_09.csv,"10,977.64",202003,2020/3/18,9,0.0109
2020/03/10,OptionsDaily_2020_03_10.csv,"11,003.54",202003,2020/3/18,8,0.0109
2020/03/11,OptionsDaily_2020_03_11.csv,"10,893.75",202003,2020/3/18,7,0.0109
2020/03/12,OptionsDaily_2020_03_12.csv,"10,422.32",202003,2020/3/18,6,0.0109
2020/03/13,OptionsDaily_2020_03_13.csv,"10,128.87",202003,2020/3/18,5,0.0109
2020/03/16,OptionsDaily_2020_03_16.csv,"9,717.77",202003,2020/3/18,2,0.0109
2020/03/17,OptionsDaily_2020_03_17.csv,"9,439.63",202003,2020/3/18,1,0.0109
2020/03/18,OptionsDaily_2020_03_18.csv,"9,218.67",202004,2020/4/15,28,0.0109
2020/03/19,OptionsDaily_2020_03_19.csv,"8,681.34",202004,2020/4/15,27,0.0109
2020/03/20,OptionsDaily_2020_03_20.csv,"9,234.09",202004,2020/4/15,26,0.0109
2020/03/23,OptionsDaily_2020_03_23.csv,"8,890.03",202004,2020/4/15,23,0.0084
