年月日,收盤價(元),FILE,contract,contractExpirydate,maturity,RF
20220103,18270.51,OptionsDaily_2022_01_03.csv,202201,2022/01/19,16,0.0084
20220104,18526.35,OptionsDaily_2022_01_04.csv,202201,2022/01/19,15,0.0084
20220105,18499.96,OptionsDaily_2022_01_05.csv,202201,2022/01/19,14,0.0084
20220106,18367.92,OptionsDaily_2022_01_06.csv,202201,2022/01/19,13,0.0084
20220107,18169.76,OptionsDaily_2022_01_07.csv,202201,2022/01/19,12,0.0084
20220110,18239.38,OptionsDaily_2022_01_10.csv,202201,2022/01/19,9,0.0084
20220111,18288.21,OptionsDaily_2022_01_11.csv,202201,2022/01/19,8,0.0084
20220112,18375.4,OptionsDaily_2022_01_12.csv,202201,2022/01/19,7,0.0084
20220113,18436.93,OptionsDaily_2022_01_13.csv,202201,2022/01/19,6,0.0084
20220114,18403.33,OptionsDaily_2022_01_14.csv,202201,2022/01/19,5,0.0084
20220117,18525.44,OptionsDaily_2022_01_17.csv,202201,2022/01/19,2,0.0084
20220118,18378.64,OptionsDaily_2022_01_18.csv,202201,2022/01/19,1,0.0084
20220119,18227.46,OptionsDaily_2022_01_19.csv,202202,2022/02/16,28,0.0084
20220120,18218.28,OptionsDaily_2022_01_20.csv,202202,2022/02/16,27,0.0084
20220121,17899.3,OptionsDaily_2022_01_21.csv,202202,2022/02/16,26,0.0084
20220124,17989.04,OptionsDaily_2022_01_24.csv,202202,2022/02/16,23,0.0084
20220125,17701.12,OptionsDaily_2022_01_25.csv,202202,2022/02/16,22,0.0084
20220126,17674.4,OptionsDaily_2022_01_26.csv,202202,2022/02/16,21,0.0084
20220207,17900.3,OptionsDaily_2022_02_07.csv,202202,2022/02/16,9,0.0084
20220208,17966.56,OptionsDaily_2022_02_08.csv,202202,2022/02/16,8,0.0084
20220209,18151.76,OptionsDaily_2022_02_09.csv,202202,2022/02/16,7,0.0084
20220210,18338.05,OptionsDaily_2022_02_10.csv,202202,2022/02/16,6,0.0084
20220211,18310.94,OptionsDaily_2022_02_11.csv,202202,2022/02/16,5,0.0084
20220214,17997.67,OptionsDaily_2022_02_14.csv,202202,2022/02/16,2,0.0084
20220215,17951.81,OptionsDaily_2022_02_15.csv,202202,2022/02/16,1,0.0084
20220216,18231.47,OptionsDaily_2022_02_16.csv,202203,2022/03/16,28,0.0084
20220217,18268.57,OptionsDaily_2022_02_17.csv,202203,2022/03/16,27,0.0084
20220218,18232.35,OptionsDaily_2022_02_18.csv,202203,2022/03/16,26,0.0084
20220221,18221.49,OptionsDaily_2022_02_21.csv,202203,2022/03/16,23,0.0084
20220222,17969.29,OptionsDaily_2022_02_22.csv,202203,2022/03/16,22,0.0084
20220223,18055.73,OptionsDaily_2022_02_23.csv,202203,2022/03/16,21,0.0084
20220224,17594.55,OptionsDaily_2022_02_24.csv,202203,2022/03/16,20,0.0084
20220225,17652.18,OptionsDaily_2022_02_25.csv,202203,2022/03/16,19,0.0084
20220301,17898.25,OptionsDaily_2022_03_01.csv,202203,2022/03/16,15,0.0084
20220302,17867.6,OptionsDaily_2022_03_02.csv,202203,2022/03/16,14,0.0084
20220303,17934.4,OptionsDaily_2022_03_03.csv,202203,2022/03/16,13,0.0084
20220304,17736.52,OptionsDaily_2022_03_04.csv,202203,2022/03/16,12,0.0084
20220307,17178.69,OptionsDaily_2022_03_07.csv,202203,2022/03/16,9,0.0084
20220308,16825.25,OptionsDaily_2022_03_08.csv,202203,2022/03/16,8,0.0084
20220309,17015.36,OptionsDaily_2022_03_09.csv,202203,2022/03/16,7,0.0084
20220310,17433.2,OptionsDaily_2022_03_10.csv,202203,2022/03/16,6,0.0084
20220311,17264.74,OptionsDaily_2022_03_11.csv,202203,2022/03/16,5,0.0084
20220314,17263.04,OptionsDaily_2022_03_14.csv,202203,2022/03/16,2,0.0084
20220315,16926.06,OptionsDaily_2022_03_15.csv,202203,2022/03/16,1,0.0084
20220316,16940.83,OptionsDaily_2022_03_16.csv,202204,2022/04/20,35,0.0084
20220317,17448.22,OptionsDaily_2022_03_17.csv,202204,2022/04/20,34,0.0084
20220318,17456.52,OptionsDaily_2022_03_18.csv,202204,2022/04/20,33,0.0084
20220321,17560.36,OptionsDaily_2022_03_21.csv,202204,2022/04/20,30,0.0109
20220322,17559.71,OptionsDaily_2022_03_22.csv,202204,2022/04/20,29,0.0109
20220323,17731.37,OptionsDaily_2022_03_23.csv,202204,2022/04/20,28,0.0109
20220324,17699.06,OptionsDaily_2022_03_24.csv,202204,2022/04/20,27,0.0109
20220325,17676.95,OptionsDaily_2022_03_25.csv,202204,2022/04/20,26,0.0109
20220328,17520.01,OptionsDaily_2022_03_28.csv,202204,2022/04/20,23,0.0109
20220329,17548.66,OptionsDaily_2022_03_29.csv,202204,2022/04/20,22,0.0109
20220330,17740.56,OptionsDaily_2022_03_30.csv,202204,2022/04/20,21,0.0109
20220331,17693.47,OptionsDaily_2022_03_31.csv,202204,2022/04/20,20,0.0109
20220401,17625.59,OptionsDaily_2022_04_01.csv,202204,2022/04/20,19,0.0109
20220406,17522.5,OptionsDaily_2022_04_06.csv,202204,2022/04/20,14,0.0109
20220407,17178.63,OptionsDaily_2022_04_07.csv,202204,2022/04/20,13,0.0109
20220408,17284.54,OptionsDaily_2022_04_08.csv,202204,2022/04/20,12,0.0109
20220411,17048.37,OptionsDaily_2022_04_11.csv,202204,2022/04/20,9,0.0109
20220412,16990.91,OptionsDaily_2022_04_12.csv,202204,2022/04/20,8,0.0109
20220413,17301.65,OptionsDaily_2022_04_13.csv,202204,2022/04/20,7,0.0109
20220414,17245.65,OptionsDaily_2022_04_14.csv,202204,2022/04/20,6,0.0109
20220415,17004.18,OptionsDaily_2022_04_15.csv,202204,2022/04/20,5,0.0109
20220418,16898.87,OptionsDaily_2022_04_18.csv,202204,2022/04/20,2,0.0109
20220419,16993.4,OptionsDaily_2022_04_19.csv,202204,2022/04/20,1,0.0109
20220420,17148.88,OptionsDaily_2022_04_20.csv,202205,2022/05/18,28,0.0109
20220421,17127.95,OptionsDaily_2022_04_21.csv,202205,2022/05/18,27,0.0109
20220422,17025.09,OptionsDaily_2022_04_22.csv,202205,2022/05/18,26,0.0109
20220425,16620.9,OptionsDaily_2022_04_25.csv,202205,2022/05/18,23,0.0109
20220426,16644.79,OptionsDaily_2022_04_26.csv,202205,2022/05/18,22,0.0109
20220427,16303.35,OptionsDaily_2022_04_27.csv,202205,2022/05/18,21,0.0109
20220428,16419.38,OptionsDaily_2022_04_28.csv,202205,2022/05/18,20,0.0109
20220429,16592.18,OptionsDaily_2022_04_29.csv,202205,2022/05/18,19,0.0109
20220503,16498.9,OptionsDaily_2022_05_03.csv,202205,2022/05/18,15,0.0109
20220504,16565.83,OptionsDaily_2022_05_04.csv,202205,2022/05/18,14,0.0109
20220505,16696.12,OptionsDaily_2022_05_05.csv,202205,2022/05/18,13,0.0109
20220506,16408.2,OptionsDaily_2022_05_06.csv,202205,2022/05/18,12,0.0109
20220509,16048.92,OptionsDaily_2022_05_09.csv,202205,2022/05/18,9,0.0109
20220510,16061.7,OptionsDaily_2022_05_10.csv,202205,2022/05/18,8,0.0109
20220511,16006.25,OptionsDaily_2022_05_11.csv,202205,2022/05/18,7,0.0109
20220512,15616.68,OptionsDaily_2022_05_12.csv,202205,2022/05/18,6,0.0109
20220513,15832.54,OptionsDaily_2022_05_13.csv,202205,2022/05/18,5,0.0109
20220516,15901.04,OptionsDaily_2022_05_16.csv,202205,2022/05/18,2,0.0109
20220517,16056.09,OptionsDaily_2022_05_17.csv,202205,2022/05/18,1,0.0109
20220518,16296.86,OptionsDaily_2022_05_18.csv,202206,2022/06/15,28,0.0109
20220519,16020.32,OptionsDaily_2022_05_19.csv,202206,2022/06/15,27,0.0109
20220520,16144.85,OptionsDaily_2022_05_20.csv,202206,2022/06/15,26,0.0109
