Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2022/1/3,OptionsDaily_2022_01_03.csv,18270.51,202201,2022/1/19,16,0.84
2022/1/4,OptionsDaily_2022_01_04.csv,18526.35,202201,2022/1/19,15,0.84
2022/1/5,OptionsDaily_2022_01_05.csv,18499.96,202201,2022/1/19,14,0.84
2022/1/6,OptionsDaily_2022_01_06.csv,18367.92,202201,2022/1/19,13,0.84
2022/1/7,OptionsDaily_2022_01_07.csv,18169.76,202201,2022/1/19,12,0.84
2022/1/10,OptionsDaily_2022_01_10.csv,18239.38,202201,2022/1/19,9,0.84
2022/1/11,OptionsDaily_2022_01_11.csv,18288.21,202201,2022/1/19,8,0.84
2022/1/12,OptionsDaily_2022_01_12.csv,18375.4,202201,2022/1/19,7,0.84
2022/1/13,OptionsDaily_2022_01_13.csv,18436.93,202201,2022/1/19,6,0.84
2022/1/14,OptionsDaily_2022_01_14.csv,18403.33,202201,2022/1/19,5,0.84
2022/1/17,OptionsDaily_2022_01_17.csv,18525.44,202201,2022/1/19,2,0.84
2022/1/18,OptionsDaily_2022_01_18.csv,18378.64,202202,2022/2/16,29,0.84
2022/1/19,OptionsDaily_2022_01_19.csv,18227.46,202202,2022/2/16,28,0.84
2022/1/20,OptionsDaily_2022_01_20.csv,18218.28,202202,2022/2/16,27,0.84
2022/1/21,OptionsDaily_2022_01_21.csv,17899.3,202202,2022/2/16,26,0.84
2022/1/24,OptionsDaily_2022_01_24.csv,17989.04,202202,2022/2/16,23,0.84
2022/1/25,OptionsDaily_2022_01_25.csv,17701.12,202202,2022/2/16,22,0.84
2022/1/26,OptionsDaily_2022_01_26.csv,17674.4,202202,2022/2/16,21,0.84
2022/2/7,OptionsDaily_2022_02_07.csv,17900.3,202202,2022/2/16,9,0.84
2022/2/8,OptionsDaily_2022_02_08.csv,17966.56,202202,2022/2/16,8,0.84
2022/2/9,OptionsDaily_2022_02_09.csv,18151.76,202202,2022/2/16,7,0.84
2022/2/10,OptionsDaily_2022_02_10.csv,18338.05,202202,2022/2/16,6,0.84
2022/2/11,OptionsDaily_2022_02_11.csv,18310.94,202202,2022/2/16,5,0.84
2022/2/14,OptionsDaily_2022_02_14.csv,17997.67,202202,2022/2/16,2,0.84
2022/2/15,OptionsDaily_2022_02_15.csv,17951.81,202203,2022/3/16,29,0.84
2022/2/16,OptionsDaily_2022_02_16.csv,18231.47,202203,2022/3/16,28,0.84
2022/2/17,OptionsDaily_2022_02_17.csv,18268.57,202203,2022/3/16,27,0.84
2022/2/18,OptionsDaily_2022_02_18.csv,18232.35,202203,2022/3/16,26,0.84
2022/2/21,OptionsDaily_2022_02_21.csv,18221.49,202203,2022/3/16,23,0.84
