Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2024/1/2,OptionsDaily_2024_01_02.csv,17853.76,202401,2024/1/17,15,0.0159
2024/1/3,OptionsDaily_2024_01_03.csv,17559.31,202401,2024/1/17,14,0.0159
2024/1/4,OptionsDaily_2024_01_04.csv,17549.65,202401,2024/1/17,13,0.0159
2024/1/5,OptionsDaily_2024_01_05.csv,17519.14,202401,2024/1/17,12,0.0159
2024/1/8,OptionsDaily_2024_01_08.csv,17572.66,202401,2024/1/17,9,0.0159
2024/1/9,OptionsDaily_2024_01_09.csv,17535.49,202401,2024/1/17,8,0.0159
2024/1/10,OptionsDaily_2024_01_10.csv,17465.63,202401,2024/1/17,7,0.0159
2024/1/11,OptionsDaily_2024_01_11.csv,17545.32,202401,2024/1/17,6,0.0159
2024/1/12,OptionsDaily_2024_01_12.csv,17512.83,202401,2024/1/17,5,0.0159
2024/1/15,OptionsDaily_2024_01_15.csv,17546.82,202401,2024/1/17,2,0.0159
2024/1/16,OptionsDaily_2024_01_16.csv,17346.87,202402,2024/2/21,36,0.0159
2024/1/17,OptionsDaily_2024_01_17.csv,17161.79,202402,2024/2/21,35,0.0159
2024/1/18,OptionsDaily_2024_01_18.csv,17227.79,202402,2024/2/21,34,0.0159
2024/1/19,OptionsDaily_2024_01_19.csv,17681.52,202402,2024/2/21,33,0.0159
2024/1/22,OptionsDaily_2024_01_22.csv,17815.1,202402,2024/2/21,30,0.0159
2024/1/23,OptionsDaily_2024_01_23.csv,17874.59,202402,2024/2/21,29,0.0159
2024/1/24,OptionsDaily_2024_01_24.csv,17875.83,202402,2024/2/21,28,0.0159
2024/1/25,OptionsDaily_2024_01_25.csv,18002.62,202402,2024/2/21,27,0.0159
2024/1/26,OptionsDaily_2024_01_26.csv,17995.03,202402,2024/2/21,26,0.0159
2024/1/29,OptionsDaily_2024_01_29.csv,18119.63,202402,2024/2/21,23,0.0159
2024/1/30,OptionsDaily_2024_01_30.csv,18034.63,202402,2024/2/21,22,0.0159
2024/1/31,OptionsDaily_2024_01_31.csv,17889.56,202402,2024/2/21,21,0.0159
2024/2/1,OptionsDaily_2024_02_01.csv,17968.11,202402,2024/2/21,20,0.0159
2024/2/2,OptionsDaily_2024_02_02.csv,18059.93,202402,2024/2/21,19,0.0159
2024/2/5,OptionsDaily_2024_02_05.csv,18096.07,202402,2024/2/21,16,0.0159
2024/2/15,OptionsDaily_2024_02_15.csv,18644.57,202402,2024/2/21,6,0.0159
2024/2/16,OptionsDaily_2024_02_16.csv,18607.25,202402,2024/2/21,5,0.0159
2024/2/19,OptionsDaily_2024_02_19.csv,18635.8,202402,2024/2/21,2,0.0159
2024/2/20,OptionsDaily_2024_02_20.csv,18753.16,202403,2024/3/20,29,0.0159
2024/2/21,OptionsDaily_2024_02_21.csv,18676.31,202403,2024/3/20,28,0.0159
2024/2/22,OptionsDaily_2024_02_22.csv,18852.78,202403,2024/3/20,27,0.0159
2024/2/23,OptionsDaily_2024_02_23.csv,18889.19,202403,2024/3/20,26,0.0159
2024/2/26,OptionsDaily_2024_02_26.csv,18948.05,202403,2024/3/20,23,0.0159
2024/2/27,OptionsDaily_2024_02_27.csv,18854.41,202403,2024/3/20,22,0.0159
2024/2/29,OptionsDaily_2024_02_29.csv,18966.77,202403,2024/3/20,20,0.0159
2024/3/1,OptionsDaily_2024_03_01.csv,18935.93,202403,2024/3/20,19,0.0159
2024/3/4,OptionsDaily_2024_03_04.csv,19305.31,202403,2024/3/20,16,0.0159
2024/3/5,OptionsDaily_2024_03_05.csv,19386.92,202403,2024/3/20,15,0.0159
2024/3/6,OptionsDaily_2024_03_06.csv,19499.45,202403,2024/3/20,14,0.0159
2024/3/7,OptionsDaily_2024_03_07.csv,19693.52,202403,2024/3/20,13,0.0159
2024/3/8,OptionsDaily_2024_03_08.csv,19785.32,202403,2024/3/20,12,0.0159
2024/3/11,OptionsDaily_2024_03_11.csv,19726.08,202403,2024/3/20,9,0.0159
2024/3/12,OptionsDaily_2024_03_12.csv,19914.55,202403,2024/3/20,8,0.0159
2024/3/13,OptionsDaily_2024_03_13.csv,19928.51,202403,2024/3/20,7,0.0159
2024/3/14,OptionsDaily_2024_03_14.csv,19937.92,202403,2024/3/20,6,0.0159
2024/3/15,OptionsDaily_2024_03_15.csv,19682.5,202403,2024/3/20,5,0.0159
2024/3/18,OptionsDaily_2024_03_18.csv,19879.85,202403,2024/3/20,2,0.0159
2024/3/19,OptionsDaily_2024_03_19.csv,19857.2,202404,2024/4/17,29,0.0159
2024/3/20,OptionsDaily_2024_03_20.csv,19784.45,202404,2024/4/17,28,0.0159
2024/3/21,OptionsDaily_2024_03_21.csv,20199.09,202404,2024/4/17,27,0.0159
2024/3/22,OptionsDaily_2024_03_22.csv,20228.43,202404,2024/4/17,26,0.0159
2024/3/25,OptionsDaily_2024_03_25.csv,20192.25,202404,2024/4/17,23,0.01725
2024/3/26,OptionsDaily_2024_03_26.csv,20126.49,202404,2024/4/17,22,0.01725
2024/3/27,OptionsDaily_2024_03_27.csv,20200.12,202404,2024/4/17,21,0.01725
2024/3/28,OptionsDaily_2024_03_28.csv,20146.55,202404,2024/4/17,20,0.01725
2024/3/29,OptionsDaily_2024_03_29.csv,20294.45,202404,2024/4/17,19,0.01725
2024/4/1,OptionsDaily_2024_04_01.csv,20222.33,202404,2024/4/17,16,0.01725
2024/4/2,OptionsDaily_2024_04_02.csv,20466.57,202404,2024/4/17,15,0.01725
2024/4/3,OptionsDaily_2024_04_03.csv,20337.6,202404,2024/4/17,14,0.01725
2024/4/8,OptionsDaily_2024_04_08.csv,20417.7,202404,2024/4/17,9,0.01725
2024/4/9,OptionsDaily_2024_04_09.csv,20796.2,202404,2024/4/17,8,0.01725
2024/4/10,OptionsDaily_2024_04_10.csv,20763.53,202404,2024/4/17,7,0.01725
2024/4/11,OptionsDaily_2024_04_11.csv,20753.22,202404,2024/4/17,6,0.01725
2024/4/12,OptionsDaily_2024_04_12.csv,20736.57,202404,2024/4/17,5,0.01725
2024/4/15,OptionsDaily_2024_04_15.csv,20449.77,202404,2024/4/17,2,0.01725
2024/4/16,OptionsDaily_2024_04_16.csv,19901.96,202405,2024/5/15,29,0.01725
2024/4/17,OptionsDaily_2024_04_17.csv,20213.33,202405,2024/5/15,28,0.01725
2024/4/18,OptionsDaily_2024_04_18.csv,20301.2,202405,2024/5/15,27,0.01725
2024/4/19,OptionsDaily_2024_04_19.csv,19527.12,202405,2024/5/15,26,0.01725
