Date,File,S0,Maturity,Contract,ContractExpiryDate,Rf
2022-01-03,OptionsDaily_2022_01_03.csv,18270.51,16,202201,2022-01-19,0.0079
2022-01-04,OptionsDaily_2022_01_04.csv,18526.35,15,202201,2022-01-19,0.0079
2022-01-05,OptionsDaily_2022_01_05.csv,18499.96,14,202201,2022-01-19,0.0079
2022-01-06,OptionsDaily_2022_01_06.csv,18367.92,13,202201,2022-01-19,0.0079
2022-01-07,OptionsDaily_2022_01_07.csv,18169.76,12,202201,2022-01-19,0.0079
2022-01-10,OptionsDaily_2022_01_10.csv,18239.38,9,202201,2022-01-19,0.0079
2022-01-11,OptionsDaily_2022_01_11.csv,18288.21,8,202201,2022-01-19,0.0079
2022-01-12,OptionsDaily_2022_01_12.csv,18375.4,7,202201,2022-01-19,0.0079
2022-01-13,OptionsDaily_2022_01_13.csv,18436.93,6,202201,2022-01-19,0.0079
2022-01-14,OptionsDaily_2022_01_14.csv,18403.33,5,202201,2022-01-19,0.0079
2022-01-17,OptionsDaily_2022_01_17.csv,18525.44,2,202201,2022-01-19,0.0079
2022-01-18,OptionsDaily_2022_01_18.csv,18378.64,29,202202,2022-02-16,0.0079
2022-01-19,OptionsDaily_2022_01_19.csv,18227.46,28,202202,2022-02-16,0.0079
2022-01-20,OptionsDaily_2022_01_20.csv,18218.28,27,202202,2022-02-16,0.0079
2022-01-21,OptionsDaily_2022_01_21.csv,17899.3,26,202202,2022-02-16,0.0079
2022-01-24,OptionsDaily_2022_01_24.csv,17989.04,23,202202,2022-02-16,0.0079
2022-01-25,OptionsDaily_2022_01_25.csv,17701.12,22,202202,2022-02-16,0.0079
2022-01-26,OptionsDaily_2022_01_26.csv,17674.4,21,202202,2022-02-16,0.0079
2022-02-07,OptionsDaily_2022_02_07.csv,17900.3,9,202202,2022-02-16,0.0079
2022-02-08,OptionsDaily_2022_02_08.csv,17966.56,8,202202,2022-02-16,0.0079
2022-02-09,OptionsDaily_2022_02_09.csv,18151.76,7,202202,2022-02-16,0.0079
2022-02-10,OptionsDaily_2022_02_10.csv,18338.05,6,202202,2022-02-16,0.0079
2022-02-11,OptionsDaily_2022_02_11.csv,18310.94,5,202202,2022-02-16,0.0079
2022-02-14,OptionsDaily_2022_02_14.csv,17997.67,2,202202,2022-02-16,0.0079
2022-02-15,OptionsDaily_2022_02_15.csv,17951.81,29,202203,2022-03-16,0.0079
2022-02-16,OptionsDaily_2022_02_16.csv,18231.47,28,202203,2022-03-16,0.0079
2022-02-17,OptionsDaily_2022_02_17.csv,18268.57,27,202203,2022-03-16,0.0079
2022-02-18,OptionsDaily_2022_02_18.csv,18232.35,26,202203,2022-03-16,0.0079
2022-02-21,OptionsDaily_2022_02_21.csv,18221.49,23,202203,2022-03-16,0.0079
2022-02-22,OptionsDaily_2022_02_22.csv,17969.29,22,202203,2022-03-16,0.0079
2022-02-23,OptionsDaily_2022_02_23.csv,18055.73,21,202203,2022-03-16,0.0079
2022-02-24,OptionsDaily_2022_02_24.csv,17594.55,20,202203,2022-03-16,0.0079
2022-02-25,OptionsDaily_2022_02_25.csv,17652.18,19,202203,2022-03-16,0.0079
2022-03-01,OptionsDaily_2022_03_01.csv,17898.25,15,202203,2022-03-16,0.0079
2022-03-02,OptionsDaily_2022_03_02.csv,17867.6,14,202203,2022-03-16,0.0079
2022-03-03,OptionsDaily_2022_03_03.csv,17934.4,13,202203,2022-03-16,0.0079
2022-03-04,OptionsDaily_2022_03_04.csv,17736.52,12,202203,2022-03-16,0.0079
2022-03-07,OptionsDaily_2022_03_07.csv,17178.69,9,202203,2022-03-16,0.0079
2022-03-08,OptionsDaily_2022_03_08.csv,16825.25,8,202203,2022-03-16,0.0079
2022-03-09,OptionsDaily_2022_03_09.csv,17015.36,7,202203,2022-03-16,0.0079
