Date,File,S0,Maturity,Contract,ContractExpiryDate,Rf
2023/1/3,OptionsDaily_2023_01_03.csv,14224.12,27,202301,2023/1/30,0.01475
2023/1/4,OptionsDaily_2023_01_04.csv,14199.13,26,202301,2023/1/30,0.01475
2023/1/5,OptionsDaily_2023_01_05.csv,14301.05,25,202301,2023/1/30,0.01475
2023/1/6,OptionsDaily_2023_01_06.csv,14373.34,24,202301,2023/1/30,0.01475
2023/1/9,OptionsDaily_2023_01_09.csv,14752.21,21,202301,2023/1/30,0.01475
2023/1/10,OptionsDaily_2023_01_10.csv,14802.96,20,202301,2023/1/30,0.01475
2023/1/11,OptionsDaily_2023_01_11.csv,14751.44,19,202301,2023/1/30,0.01475
2023/1/12,OptionsDaily_2023_01_12.csv,14731.64,18,202301,2023/1/30,0.01475
2023/1/13,OptionsDaily_2023_01_13.csv,14824.13,17,202301,2023/1/30,0.01475
2023/1/16,OptionsDaily_2023_01_16.csv,14927.01,14,202301,2023/1/30,0.01475
2023/1/17,OptionsDaily_2023_01_17.csv,14932.93,13,202301,2023/1/30,0.01475
2023/1/30,OptionsDaily_2023_01_30.csv,15493.82,0,202301,2023/1/30,0.01475
2023/1/31,OptionsDaily_2023_01_31.csv,15265.2,15,202302,2023/2/15,0.01475
2023/2/1,OptionsDaily_2023_02_01.csv,15420.13,14,202302,2023/2/15,0.01475
2023/2/2,OptionsDaily_2023_02_02.csv,15595.16,13,202302,2023/2/15,0.01475
2023/2/3,OptionsDaily_2023_02_03.csv,15602.66,12,202302,2023/2/15,0.01475
2023/2/6,OptionsDaily_2023_02_06.csv,15392.82,9,202302,2023/2/15,0.01475
2023/2/7,OptionsDaily_2023_02_07.csv,15400.91,8,202302,2023/2/15,0.01475
2023/2/8,OptionsDaily_2023_02_08.csv,15618.17,7,202302,2023/2/15,0.01475
2023/2/9,OptionsDaily_2023_02_09.csv,15598.71,6,202302,2023/2/15,0.01475
2023/2/10,OptionsDaily_2023_02_10.csv,15586.65,5,202302,2023/2/15,0.01475
2023/2/13,OptionsDaily_2023_02_13.csv,15544.28,2,202302,2023/2/15,0.01475
2023/2/14,OptionsDaily_2023_02_14.csv,15654.48,1,202302,2023/2/15,0.01475
2023/2/15,OptionsDaily_2023_02_15.csv,15432.89,0,202302,2023/2/15,0.01475
2023/2/16,OptionsDaily_2023_02_16.csv,15550.5,27,202303,2023/3/15,0.01475
2023/2/17,OptionsDaily_2023_02_17.csv,15479.7,26,202303,2023/3/15,0.01475
2023/2/20,OptionsDaily_2023_02_20.csv,15551.23,23,202303,2023/3/15,0.01475
2023/2/21,OptionsDaily_2023_02_21.csv,15563.0,22,202303,2023/3/15,0.01475
2023/2/22,OptionsDaily_2023_02_22.csv,15418.77,21,202303,2023/3/15,0.01475
2023/2/23,OptionsDaily_2023_02_23.csv,15615.41,20,202303,2023/3/15,0.01475
2023/2/24,OptionsDaily_2023_02_24.csv,15503.79,19,202303,2023/3/15,0.01475
2023/3/1,OptionsDaily_2023_03_01.csv,15598.49,14,202303,2023/3/15,0.01475
2023/3/2,OptionsDaily_2023_03_02.csv,15598.72,13,202303,2023/3/15,0.01475
2023/3/3,OptionsDaily_2023_03_03.csv,15608.42,12,202303,2023/3/15,0.01475
2023/3/6,OptionsDaily_2023_03_06.csv,15763.51,9,202303,2023/3/15,0.01475
2023/3/7,OptionsDaily_2023_03_07.csv,15857.89,8,202303,2023/3/15,0.01475
2023/3/8,OptionsDaily_2023_03_08.csv,15818.2,7,202303,2023/3/15,0.01475
2023/3/9,OptionsDaily_2023_03_09.csv,15770.66,6,202303,2023/3/15,0.01475
