Date,File,S0,Maturity,Contract,ContractExpiryDate
2021-01-04,OptionsDaily_2021_01_04.csv,14902.03,16,202101,2021-01-20
2021-01-05,OptionsDaily_2021_01_05.csv,15000.03,15,202101,2021-01-20
2021-01-06,OptionsDaily_2021_01_06.csv,14983.13,14,202101,2021-01-20
2021-01-07,OptionsDaily_2021_01_07.csv,15214.0,13,202101,2021-01-20
2021-01-08,OptionsDaily_2021_01_08.csv,15463.95,12,202101,2021-01-20
2021-01-11,OptionsDaily_2021_01_11.csv,15557.3,9,202101,2021-01-20
2021-01-12,OptionsDaily_2021_01_12.csv,15500.7,8,202101,2021-01-20
2021-01-13,OptionsDaily_2021_01_13.csv,15769.98,7,202101,2021-01-20
2021-01-14,OptionsDaily_2021_01_14.csv,15707.19,6,202101,2021-01-20
2021-01-15,OptionsDaily_2021_01_15.csv,15616.39,5,202101,2021-01-20
2021-01-18,OptionsDaily_2021_01_18.csv,15612.0,2,202101,2021-01-20
2021-01-19,OptionsDaily_2021_01_19.csv,15877.37,1,202101,2021-01-20
2021-01-20,OptionsDaily_2021_01_20.csv,15806.18,0,202101,2021-01-20
2021-01-21,OptionsDaily_2021_01_21.csv,16153.77,27,202102,2021-02-17
2021-01-22,OptionsDaily_2021_01_22.csv,16019.03,26,202102,2021-02-17
2021-01-25,OptionsDaily_2021_01_25.csv,15946.54,23,202102,2021-02-17
2021-01-26,OptionsDaily_2021_01_26.csv,15658.85,22,202102,2021-02-17
2021-01-27,OptionsDaily_2021_01_27.csv,15701.45,21,202102,2021-02-17
2021-01-28,OptionsDaily_2021_01_28.csv,15415.88,20,202102,2021-02-17
2021-01-29,OptionsDaily_2021_01_29.csv,15138.31,19,202102,2021-02-17
2021-02-01,OptionsDaily_2021_02_01.csv,15410.09,16,202102,2021-02-17
2021-02-02,OptionsDaily_2021_02_02.csv,15760.05,15,202102,2021-02-17
2021-02-03,OptionsDaily_2021_02_03.csv,15771.32,14,202102,2021-02-17
2021-02-04,OptionsDaily_2021_02_04.csv,15706.22,13,202102,2021-02-17
2021-02-05,OptionsDaily_2021_02_05.csv,15802.4,12,202102,2021-02-17
2021-02-17,OptionsDaily_2021_02_17.csv,16362.29,0,202102,2021-02-17
2021-02-18,OptionsDaily_2021_02_18.csv,16424.51,27,202103,2021-03-17
2021-02-19,OptionsDaily_2021_02_19.csv,16341.38,26,202103,2021-03-17
2021-02-22,OptionsDaily_2021_02_22.csv,16410.16,23,202103,2021-03-17
2021-02-23,OptionsDaily_2021_02_23.csv,16443.4,22,202103,2021-03-17
2021-02-24,OptionsDaily_2021_02_24.csv,16212.53,21,202103,2021-03-17
2021-02-25,OptionsDaily_2021_02_25.csv,16452.18,20,202103,2021-03-17
2021-02-26,OptionsDaily_2021_02_26.csv,15953.8,19,202103,2021-03-17
2021-03-02,OptionsDaily_2021_03_02.csv,15946.88,15,202103,2021-03-17
2021-03-03,OptionsDaily_2021_03_03.csv,16211.73,14,202103,2021-03-17
2021-03-04,OptionsDaily_2021_03_04.csv,15906.41,13,202103,2021-03-17
2021-03-05,OptionsDaily_2021_03_05.csv,15855.23,12,202103,2021-03-17
2021-03-08,OptionsDaily_2021_03_08.csv,15820.11,9,202103,2021-03-17
2021-03-09,OptionsDaily_2021_03_09.csv,15853.09,8,202103,2021-03-17
2021-03-10,OptionsDaily_2021_03_10.csv,15911.67,7,202103,2021-03-17
2021-03-11,OptionsDaily_2021_03_11.csv,16179.56,6,202103,2021-03-17
2021-03-12,OptionsDaily_2021_03_12.csv,16255.18,5,202103,2021-03-17
2021-03-15,OptionsDaily_2021_03_15.csv,16249.33,2,202103,2021-03-17
2021-03-16,OptionsDaily_2021_03_16.csv,16313.16,1,202103,2021-03-17
2021-03-17,OptionsDaily_2021_03_17.csv,16215.82,0,202103,2021-03-17
2021-03-18,OptionsDaily_2021_03_18.csv,16287.84,34,202104,2021-04-21
2021-03-19,OptionsDaily_2021_03_19.csv,16070.24,33,202104,2021-04-21
2021-03-22,OptionsDaily_2021_03_22.csv,16189.22,30,202104,2021-04-21
2021-03-23,OptionsDaily_2021_03_23.csv,16177.59,29,202104,2021-04-21
2021-03-24,OptionsDaily_2021_03_24.csv,16032.12,28,202104,2021-04-21
2021-03-25,OptionsDaily_2021_03_25.csv,16060.14,27,202104,2021-04-21
