Date,File,S0,Maturity,Contract,ContractExpiryDate,Rf
2020/1/2,OptionsDaily_2020_01_02.csv,12100.48,13,202001,2020/1/15,0.0109
2020/1/3,OptionsDaily_2020_01_03.csv,12110.43,12,202001,2020/1/15,0.0109
2020/1/6,OptionsDaily_2020_01_06.csv,11953.36,9,202001,2020/1/15,0.0109
2020/1/7,OptionsDaily_2020_01_07.csv,11880.32,8,202001,2020/1/15,0.0109
2020/1/8,OptionsDaily_2020_01_08.csv,11817.1,7,202001,2020/1/15,0.0109
2020/1/9,OptionsDaily_2020_01_09.csv,11970.63,6,202001,2020/1/15,0.0109
2020/1/10,OptionsDaily_2020_01_10.csv,12024.65,5,202001,2020/1/15,0.0109
2020/1/13,OptionsDaily_2020_01_13.csv,12113.42,2,202001,2020/1/15,0.0109
2020/1/14,OptionsDaily_2020_01_14.csv,12179.81,1,202001,2020/1/15,0.0109
2020/1/15,OptionsDaily_2020_01_15.csv,12091.88,0,202001,2020/1/15,0.0109
2020/1/16,OptionsDaily_2020_01_16.csv,12066.93,34,202002,2020/2/19,0.0109
2020/1/17,OptionsDaily_2020_01_17.csv,12090.29,33,202002,2020/2/19,0.0109
2020/1/20,OptionsDaily_2020_01_20.csv,12118.71,30,202002,2020/2/19,0.0109
2020/1/30,OptionsDaily_2020_01_30.csv,11421.74,20,202002,2020/2/19,0.0109
2020/1/31,OptionsDaily_2020_01_31.csv,11495.1,19,202002,2020/2/19,0.0109
2020/2/3,OptionsDaily_2020_02_03.csv,11354.92,16,202002,2020/2/19,0.0109
2020/2/4,OptionsDaily_2020_02_04.csv,11555.92,15,202002,2020/2/19,0.0109
2020/2/5,OptionsDaily_2020_02_05.csv,11573.62,14,202002,2020/2/19,0.0109
2020/2/6,OptionsDaily_2020_02_06.csv,11749.68,13,202002,2020/2/19,0.0109
2020/2/7,OptionsDaily_2020_02_07.csv,11612.81,12,202002,2020/2/19,0.0109
2020/2/10,OptionsDaily_2020_02_10.csv,11574.07,9,202002,2020/2/19,0.0109
2020/2/11,OptionsDaily_2020_02_11.csv,11664.04,8,202002,2020/2/19,0.0109
2020/2/12,OptionsDaily_2020_02_12.csv,11774.19,7,202002,2020/2/19,0.0109
2020/2/13,OptionsDaily_2020_02_13.csv,11791.78,6,202002,2020/2/19,0.0109
2020/2/14,OptionsDaily_2020_02_14.csv,11815.7,5,202002,2020/2/19,0.0109
2020/2/17,OptionsDaily_2020_02_17.csv,11763.51,2,202002,2020/2/19,0.0109
2020/2/18,OptionsDaily_2020_02_18.csv,11648.98,1,202002,2020/2/19,0.0109
2020/2/19,OptionsDaily_2020_02_19.csv,11758.84,0,202002,2020/2/19,0.0109
2020/2/20,OptionsDaily_2020_02_20.csv,11725.09,27,202003,2020/3/18,0.0109
