Date,File,S0,Contract,Maturity,ContractExpiryDate,Rf
2023-01-03,OptionsDaily_2023_01_03.csv,14224.12,202301,15,2023-01-18,0.01465
2023-01-04,OptionsDaily_2023_01_04.csv,14199.13,202301,14,2023-01-18,0.01465
2023-01-05,OptionsDaily_2023_01_05.csv,14301.05,202301,13,2023-01-18,0.01465
2023-01-06,OptionsDaily_2023_01_06.csv,14373.34,202301,12,2023-01-18,0.01465
2023-01-09,OptionsDaily_2023_01_09.csv,14752.21,202301,9,2023-01-18,0.01465
2023-01-10,OptionsDaily_2023_01_10.csv,14802.96,202301,8,2023-01-18,0.01465
2023-01-11,OptionsDaily_2023_01_11.csv,14751.44,202301,7,2023-01-18,0.01465
2023-01-12,OptionsDaily_2023_01_12.csv,14731.64,202301,6,2023-01-18,0.01465
2023-01-13,OptionsDaily_2023_01_13.csv,14824.13,202301,5,2023-01-18,0.01465
2023-01-16,OptionsDaily_2023_01_16.csv,14927.01,202301,2,2023-01-18,0.01465
2023-01-17,OptionsDaily_2023_01_17.csv,14932.93,202301,1,2023-01-18,0.01465
2023-01-30,OptionsDaily_2023_01_30.csv,15493.82,202302,16,2023-02-15,0.01465
2023-01-31,OptionsDaily_2023_01_31.csv,15265.2,202302,15,2023-02-15,0.01465
2023-02-01,OptionsDaily_2023_02_01.csv,15420.13,202302,14,2023-02-15,0.01465
2023-02-02,OptionsDaily_2023_02_02.csv,15595.16,202302,13,2023-02-15,0.01465
2023-02-03,OptionsDaily_2023_02_03.csv,15602.66,202302,12,2023-02-15,0.01465
2023-02-06,OptionsDaily_2023_02_06.csv,15392.82,202302,9,2023-02-15,0.01465
2023-02-07,OptionsDaily_2023_02_07.csv,15400.91,202302,8,2023-02-15,0.01465
2023-02-08,OptionsDaily_2023_02_08.csv,15618.17,202302,7,2023-02-15,0.01465
2023-02-09,OptionsDaily_2023_02_09.csv,15598.71,202302,6,2023-02-15,0.01465
2023-02-10,OptionsDaily_2023_02_10.csv,15586.65,202302,5,2023-02-15,0.01465
