Date,Total_Vol_Call,Num_Call,Mean_IV_Call,Std_IV_Call,Total_Vol_Put,Num_Put,Mean_IV_Put,Std_IV_Put,PCR_Volume
2022/1/3,12100,283,0.003955123,0.013139359,11652,248,0.295338838,0.300647907,0.962975207
2022/1/4,24383,533,0.004422182,0.015824098,15204,335,0.290964299,0.258832297,0.623549194
2022/1/5,9606,218,0.008248404,0.022684759,10460,224,0.267075278,0.016384971,1.088902769
2022/1/6,15937,328,0.006428783,0.01624062,18559,356,0.283554731,0.021648583,1.164522809
2022/1/7,14647,337,0.007129458,0.019816176,12149,262,0.273184499,0.028463391,0.82945313
2022/1/10,9941,224,0.001816537,0.005178593,7543,177,0.282614691,0.031460017,0.758776783
2022/1/11,12979,298,0.001859041,0.004508079,14198,314,0.251204281,0.021139102,1.093920949
2022/1/12,32559,719,0.001054984,0.000599878,35430,792,0.22879739,0.02637171,1.088178384
2022/1/19,6038,152,0.035442543,0.034994513,4923,106,0.420578029,0.047211562,0.815336204
2022/1/20,13503,302,0.036951269,0.04955615,11095,233,0.390421083,0.034599381,0.821669259
2022/1/21,10873,237,0.047459763,0.034603186,4918,114,0.407809635,0.026842418,0.452313069
2022/1/24,8227,184,0.021111152,0.028987123,5110,94,0.441901593,0.026692936,0.621125562
2022/1/25,8997,211,0.069524107,0.056751731,12587,227,0.477681235,0.027902082,1.399021896
2022/1/26,13841,312,0.058319862,0.025556234,18223,358,0.448653557,0.023900642,1.316595622
2022/2/7,28006,550,0.003652533,0.008943617,21008,457,0.314535459,0.036107078,0.750124973
2022/2/8,18842,356,0.005459974,0.01127054,19218,396,0.247147643,0.027780355,1.019955419
2022/2/9,23365,450,0.001246776,0.002312756,55186,1129,0.217800798,0.023762357,2.361908838
2022/2/16,5934,143,0.024944485,0.025364111,7008,190,0.549130876,0.655884735,1.1809909
2022/2/17,12190,260,0.026752771,0.031818192,9347,215,0.412682107,0.03820906,0.766776046
2022/2/18,4339,98,0.03312356,0.036859432,8440,204,0.434592504,0.047512768,1.945148652
2022/2/21,9711,198,0.039529618,0.038082094,4796,104,0.442731584,0.056463296,0.493872928
2022/2/22,8506,189,0.042334882,0.050212485,8536,196,0.464666394,0.052884959,1.003526922
2022/2/23,6815,146,0.020216689,0.024565133,7442,160,0.415371633,0.041713224,1.092002935
2022/2/24,11222,252,0.068047548,0.038974434,11036,251,0.439831865,0.110937195,0.983425414
2022/2/25,7546,173,0.053192979,0.029643758,5636,122,0.489107042,0.059379887,0.746885767
2022/3/1,10663,230,0.011892255,0.017996134,9037,203,0.414867807,0.054706508,0.847510082
2022/3/2,4412,99,0.01346949,0.019606853,16835,308,0.382211351,0.042078974,3.815729828
2022/3/3,10229,230,0.030895774,0.028475068,40114,820,0.354330711,0.05157923,3.921595464
2022/3/4,11651,259,0.026050383,0.026679955,6916,152,0.425805515,0.321737145,0.593597116
2022/3/7,24262,518,0.067884222,0.027138814,20008,453,0.434545636,0.045819583,0.824664084
2022/3/8,16517,359,0.089791171,0.04656716,17214,375,0.397294462,0.05341088,1.042198947
2022/3/9,22831,530,0.033998292,0.034869503,25456,551,0.325413267,0.04582248,1.114975253
2022/3/16,9139,201,0.158766361,0.085854267,3396,81,0.560329151,0.027340055,0.371594266
2022/3/17,14452,351,0.029852842,0.040609786,7525,174,0.501498963,0.027964359,0.520689178
2022/3/18,5942,147,0.013475772,0.023337914,2886,70,0.493456895,0.026502609,0.485695052
2022/3/21,6637,154,0.011549108,0.022371317,7030,161,0.483433505,0.019215922,1.0592135
2022/3/22,5890,107,0.013152526,0.015734536,2982,69,0.457584892,0.010415257,0.506281834
2022/3/23,8458,201,0.002357888,0.007094051,8171,182,0.421230276,0.021717166,0.966067628
2022/3/24,5513,117,0.003255077,0.007951524,8337,171,0.438522567,0.026202944,1.512243787
2022/3/25,4599,111,0.002074935,0.003432394,4152,89,0.429701022,0.031993606,0.902804958
2022/3/28,9859,220,0.025109806,0.040401527,12640,251,0.428884155,0.02142719,1.28207729
2022/3/29,2719,67,0.00290103,0.006316257,6543,152,0.404649295,0.337514333,2.406399412
2022/3/30,4983,122,0.001920623,0.007160525,9753,234,0.368819149,0.025282414,1.957254666
2022/3/31,6844,160,0.001715943,0.002083443,7094,160,0.377230066,0.024928023,1.036528346
2022/4/1,8066,192,0.002298545,0.008018742,4224,101,0.380603191,0.02589642,0.523679643
2022/4/6,9355,199,0.003568906,0.009411482,10625,236,0.365348198,0.031287783,1.13575628
2022/4/7,20945,448,0.009416101,0.016470679,19412,414,0.340015547,0.174620859,0.926808307
2022/4/8,10142,209,0.004073381,0.008322995,13207,280,0.342646616,0.035475452,1.302208637
2022/4/11,18875,400,0.003376603,0.007788897,17813,411,0.315520277,0.040247567,0.943735099
2022/4/12,7464,177,0.003953245,0.008790302,21120,489,0.330133251,0.266889389,2.829581994
2022/4/13,26289,582,0.001684154,0.00560913,37149,799,0.274495569,0.029637915,1.413100536
2022/4/20,4334,106,0.01213725,0.025885486,2831,65,0.532631221,0.190211356,0.653207199
2022/4/21,7619,174,0.006102143,0.021686868,3278,83,0.407356403,0.018211857,0.430240189
2022/4/22,4583,114,0.011103423,0.01868097,4861,119,0.465774457,0.376549542,1.060658957
2022/4/25,16715,401,0.034248296,0.036929558,8041,197,0.45540822,0.041279781,0.481064912
2022/4/26,4736,109,0.019071667,0.025372775,4007,96,0.438963509,0.030390591,0.846072635
2022/4/27,13164,293,0.025856441,0.036001334,8446,195,0.506314199,0.407152753,0.641598298
2022/4/28,4587,109,0.012576189,0.02212093,3461,87,0.451989611,0.045990294,0.754523654
2022/4/29,6271,149,0.004523248,0.010186376,3718,89,0.417086805,0.014386822,0.592887897
2022/5/3,3459,82,0.008926373,0.027373133,5145,117,0.422045162,0.026423546,1.487424111
2022/5/4,5714,135,0.002795127,0.007149168,5034,108,0.395480427,0.026554451,0.88099405
2022/5/5,9657,221,0.003125849,0.010197521,17157,389,0.331083391,0.026639327,1.776638708
2022/5/6,9106,213,0.006850424,0.017612196,6561,161,0.486152643,0.723952883,0.720513947
2022/5/9,14015,309,0.013508122,0.022356491,11320,277,0.364037132,0.039442623,0.807706029
2022/5/10,13039,285,0.012028947,0.025039441,6984,175,0.393602395,0.057796095,0.535623898
2022/5/11,38942,812,0.010310733,0.020397951,26569,547,0.312365094,0.024911224,0.68227107
2022/5/18,9548,233,0.006415611,0.012834236,10480,233,0.508771434,0.114584614,1.097612065
2022/5/19,12546,243,0.093749154,0.14314539,4546,114,0.543245475,0.417590247,0.362346565
2022/5/20,7766,171,0.028884924,0.062842651,5521,121,0.494602375,0.039206537,0.710919392
2022/5/23,10641,199,0.059121135,0.100919828,4857,115,0.447323199,0.025880646,0.456442064
2022/5/24,7592,179,0.02186478,0.027484062,3230,82,0.452224817,0.031290463,0.42544784
2022/5/25,4282,108,0.004918881,0.009243462,6169,141,0.467491885,0.33931033,1.440681924
2022/5/26,8258,189,0.014818967,0.021160324,7516,160,0.459673673,0.513362319,0.910147736
2022/5/27,7094,160,0.003715135,0.011697179,9577,206,0.406992097,0.022725185,1.350014096
2022/5/30,16849,410,0.005762899,0.031745389,27767,619,0.401311204,0.307272955,1.647990979
2022/5/31,9392,231,0.002310393,0.019916256,15636,361,0.375179456,0.037366356,1.664821124
2022/6/1,15369,354,0.001,0,15928,362,0.335867711,0.039318848,1.036371917
2022/6/2,6538,143,0.001196509,0.001163505,11607,257,0.344182112,0.043242489,1.775313552
2022/6/6,13448,297,0.001,0,17072,370,0.3197276,0.055175852,1.269482451
2022/6/7,17240,382,0.001056652,0.000781915,22372,441,0.358437801,0.381652931,1.297679814
2022/6/8,34502,719,0.001114785,0.002174864,37099,764,0.272497161,0.039319674,1.075270999
2022/6/15,5563,116,0.049503736,0.093208837,2450,54,0.943625223,1.115632048,0.440409851
2022/6/16,13397,314,0.03573767,0.045195509,6672,164,0.525899261,0.05932002,0.498021945
