Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2020/01/02,o20200102.csv,"12,100.48",202001,2020/1/15,13,0.0109
2020/01/03,o20200103.csv,"12,110.43",202001,2020/1/15,12,0.0109
2020/01/06,o20200106.csv,"11,953.36",202001,2020/1/15,9,0.0109
2020/01/07,o20200107.csv,"11,880.32",202001,2020/1/15,8,0.0109
2020/01/08,o20200108.csv,"11,817.10",202001,2020/1/15,7,0.0109
2020/01/09,o20200109.csv,"11,970.63",202001,2020/1/15,6,0.0109
2020/01/10,o20200110.csv,"12,024.65",202001,2020/1/15,5,0.0109
2020/01/13,o20200113.csv,"12,113.42",202001,2020/1/15,2,0.0109
2020/01/14,o20200114.csv,"12,179.81",202001,2020/1/15,1,0.0109
2020/01/15,o20200115.csv,"12,091.88",202002,2020/2/19,35,0.0109
2020/01/16,o20200116.csv,"12,066.93",202002,2020/2/19,34,0.0109
2020/01/17,o20200117.csv,"12,090.29",202002,2020/2/19,33,0.0109
2020/01/20,o20200120.csv,"12,118.71",202002,2020/2/19,30,0.0109
2020/01/30,o20200130.csv,"11,421.74",202002,2020/2/19,20,0.0109
2020/01/31,o20200131.csv,"11,495.10",202002,2020/2/19,19,0.0109
2020/02/03,o20200203.csv,"11,354.92",202002,2020/2/19,16,0.0109
2020/02/04,o20200204.csv,"11,555.92",202002,2020/2/19,15,0.0109
2020/02/05,o20200205.csv,"11,573.62",202002,2020/2/19,14,0.0109
2020/02/06,o20200206.csv,"11,749.68",202002,2020/2/19,13,0.0109
2020/02/07,o20200207.csv,"11,612.81",202002,2020/2/19,12,0.0109
2020/02/10,o20200210.csv,"11,574.07",202002,2020/2/19,9,0.0109
2020/02/11,o20200211.csv,"11,664.04",202002,2020/2/19,8,0.0109
2020/02/12,o20200212.csv,"11,774.19",202002,2020/2/19,7,0.0109
2020/02/13,o20200213.csv,"11,791.78",202002,2020/2/19,6,0.0109
2020/02/14,o20200214.csv,"11,815.70",202002,2020/2/19,5,0.0109
2020/02/17,o20200217.csv,"11,763.51",202002,2020/2/19,2,0.0109
2020/02/18,o20200218.csv,"11,648.98",202002,2020/2/19,1,0.0109
2020/02/19,o20200219.csv,"11,758.84",202003,2020/3/18,28,0.0109
2020/02/20,o20200220.csv,"11,725.09",202003,2020/3/18,27,0.0109
2020/02/21,o20200221.csv,"11,686.35",202003,2020/3/18,26,0.0109
2020/02/24,o20200224.csv,"11,534.87",202003,2020/3/18,23,0.0109
2020/02/25,o20200225.csv,"11,540.23",202003,2020/3/18,22,0.0109
2020/02/26,o20200226.csv,"11,433.62",202003,2020/3/18,21,0.0109
2020/02/27,o20200227.csv,"11,292.17",202003,2020/3/18,20,0.0109
2020/03/02,o20200302.csv,"11,170.46",202003,2020/3/18,16,0.0109
2020/03/03,o20200303.csv,"11,327.72",202003,2020/3/18,15,0.0109
2020/03/04,o20200304.csv,"11,392.35",202003,2020/3/18,14,0.0109
