Date,PCR,Call_IV_Mean,Call_IV_Std,Put_IV_Mean,Put_IV_Std
20211230,0.970929305,0.71925375,0.304407248,0.080701664,0.162383905
20220103,0.992900298,0.734457847,0.285534204,0.095824651,0.178438298
20220104,1.005717468,0.77237389,0.346875111,0.097797366,0.181235839
20220105,0.942171768,0.824991182,0.511773735,0.094152517,0.176935771
20220106,0.925483877,0.776675741,0.482968964,0.107213149,0.189125737
20220107,1.03823988,0.61130675,0.229489195,0.11398087,0.209499848
20220110,0.990609688,0.628881149,0.265923374,0.103765979,0.190152877
20220111,1.011295594,0.682329775,0.338610686,0.098667496,0.17218309
20220113,0.963225225,0.726685927,0.315274535,0.094550386,0.179658978
20220113,0.896534729,0.85753144,0.551250124,0.089542172,0.176399818
20220114,1.120177195,0.866667953,0.507027408,0.074855365,0.1506997
20220117,1.083821616,0.876762872,0.51985524,0.090609091,0.175269147
20220118,1.042631405,0.731781067,0.420766528,0.086789159,0.167368395
20220119,1.115853122,0.69305452,0.282058236,0.094705287,0.174436877
20220120,0.85267335,0.675131259,0.321751105,0.10679816,0.184066605
20220121,1.026930394,0.583280861,0.245993637,0.110324261,0.19568529
20220124,0.904166804,0.624794624,0.342995422,0.110924712,0.19577658
20220125,1.11301695,0.524266959,0.250835894,0.110860725,0.191913039
20220126,1.02795951,0.57759269,0.207879164,0.095435936,0.170048475
20220207,1.297159538,0.609204408,0.224196013,0.091184067,0.155098201
20220208,1.206608343,0.645422057,0.226879697,0.093274403,0.170036771
20220210,1.191272508,0.775299573,0.552536666,0.087687592,0.155483509
20220210,1.188529167,0.714408544,0.395694421,0.096019707,0.17420169
20220211,1.07634417,0.699858709,0.387525544,0.089544019,0.158515818
20220214,1.086789687,0.695054579,0.392457246,0.0927366,0.163541026
20220215,1.065402334,0.686032146,0.409044503,0.087072883,0.159719696
20220216,1.199477412,0.736928092,0.295733827,0.091624758,0.17236607
20220218,1.240274061,0.748309056,0.385933969,0.0872384,0.160172438
20220218,1.189193968,0.683327103,0.351454248,0.08567132,0.15118789
20220221,1.012405533,0.655991403,0.33618182,0.090175277,0.157791803
20220222,1.106080161,0.595846529,0.233424434,0.092617153,0.167921552
20220223,1.093038224,0.624782551,0.255033506,0.0948212,0.161384322
20220224,1.047790319,0.553548779,0.181284927,0.10287762,0.162821125
20220225,1.174571849,0.595687226,0.228381288,0.084482201,0.145846516
20220301,1.043753598,0.565477334,0.213892179,0.088659809,0.153155534
20220302,1.185519186,0.626609268,0.201818423,0.094416819,0.163293253
20220304,1.001161943,0.683806644,0.407966441,0.090528176,0.144915031
20220304,0.880466654,0.54302582,0.211879353,0.103596121,0.168326938
20220307,0.977058054,0.450363662,0.182116998,0.101530305,0.177830701
20220308,1.033803929,0.396820371,0.177245425,0.114288756,0.211127479
20220309,1.081625244,0.637666175,0.313224137,0.125175042,0.212964794
20220310,0.98294099,0.577085327,0.282138934,0.103557471,0.172705726
20220311,1.025863902,0.578529918,0.298438508,0.106331367,0.174209796
20220315,0.96245772,0.460663465,0.168472983,0.15311494,0.237712053
20220316,1.0512694,0.462803196,0.196695347,0.146547601,0.238555011
20220316,1.136700985,0.617196271,0.261592385,0.148100167,0.235667006
20220317,0.984551037,0.556654387,0.171611164,0.132352286,0.232887018
20220318,1.184236706,0.605798915,0.24243459,0.122325116,0.20516616
20220321,1.194755506,0.562243907,0.198027187,0.115886941,0.205767195
20220322,1.078405423,0.609439183,0.219344309,0.099122197,0.195866615
20220323,0.990996145,0.584080406,0.211547877,0.135065971,0.229917163
20220324,0.984449816,0.610598615,0.277119329,0.135062782,0.220756324
20220325,0.983988011,0.5178619,0.233926152,0.128650965,0.213948591
20220328,1.185909252,0.504243313,0.180652481,0.117473292,0.200600407
20220329,1.030725806,0.5748614,0.222025564,0.116676754,0.196454857
20220330,1.046351118,0.565725175,0.205458375,0.126414825,0.215321714
20220331,1.033518649,0.522917053,0.263293433,0.140733327,0.228397244
20220401,1.077272727,0.510117742,0.236143486,0.123068066,0.204441088
20220406,0.843732313,0.527697256,0.281524976,0.125471932,0.196725987
20220407,1.090445702,0.483299271,0.212865625,0.137761459,0.226576353
20220408,0.901169916,0.446402781,0.167050658,0.131139793,0.204217097
20220411,1.082091526,0.40545124,0.161508691,0.12458207,0.208423867
20220412,1.196916676,0.422562862,0.177965276,0.127965459,0.200403779
20220413,0.989053549,0.579378778,0.271858317,0.127445163,0.198447671
20220414,0.863495823,0.458133029,0.199747205,0.136103178,0.21639623
20220415,1.049350308,0.476509886,0.24929018,0.135111559,0.21515918
20220418,1.150581,0.504883706,0.269634349,0.134356608,0.203162539
20220419,0.938472415,0.45612923,0.222187553,0.126801548,0.193527223
20220420,1.008732861,0.499436966,0.210003063,0.122163609,0.187289921
20220421,1.047470495,0.472879985,0.197739411,0.138788101,0.204770952
20220422,1.064089355,0.415426821,0.179964954,0.14999968,0.210225121
20220425,1.069481419,0.36204115,0.155498532,0.154975361,0.215649362
20220426,1.082495847,0.318408116,0.154668139,0.150302297,0.223212494
20220427,1.076029072,0.361506613,0.144963796,0.198602106,0.262852778
20220428,1.025401969,0.377845701,0.148892176,0.166148164,0.216832214
20220429,1.036948734,0.357501063,0.140414308,0.151883192,0.195810104
20220503,1.081575309,0.331291719,0.141976292,0.161161314,0.236627692
20220504,1.006056221,0.398980537,0.13901148,0.139767842,0.197000349
20220506,0.957176945,0.350953548,0.182264617,0.168123005,0.237912889
20220506,0.909101109,0.300688843,0.164540857,0.184159206,0.230133601
