Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf,Call_IV_Mean,Put_IV_Mean,Call_IV_Std,Put_IV_Std,Call_Vol,Put_Vol,PCR,Call_IV_Mean,Put_IV_Mean,Call_IV_Std,Put_IV_Std,Call_Vol,Put_Vol,PCR
2021/01/04,OptionsDaily_2021_01_04.csv,14902.03,202101,2021/01/20,16,0.0084,0.1435627546,0.2488308242,0.02878204783,0.05868001882,15255,21160,1.387086201,0.1668203776,0.2802136835,0.02885447604,0.07801961306,22795.08607,25491.86475,1.378002323
2021/01/05,OptionsDaily_2021_01_05.csv,15000.03,202101,2021/01/20,15,0.0084,0.138471053,0.2571344437,0.03102609556,0.06823090895,10414,8793,0.8443441521,0.1767144443,0.277614515,0.02855490846,0.05556598655,220720.5285,218906.1707,0.9839608215
2021/01/06,OptionsDaily_2021_01_06.csv,14983.13,202101,2021/01/20,14,0.0084,0.1846759138,0.2811429451,0.03734645821,0.1242090171,27336,32658,1.194688323,,,,,,,
2021/01/07,OptionsDaily_2021_01_07.csv,15214,202101,2021/01/20,13,0.0084,0.1578628071,0.2835713066,0.04154455786,0.08659006883,13654,13102,0.9595722865,,,,,,,
2021/01/08,OptionsDaily_2021_01_08.csv,15463.95,202101,2021/01/20,12,0.0084,0.1658142497,0.313989279,0.04998001567,0.1234977031,22301,19580,0.8779875342,,,,,,,
2021/01/11,OptionsDaily_2021_01_11.csv,15557.3,202101,2021/01/20,9,0.0084,0.1743060906,0.3312997883,0.03417088954,0.09059920124,11589,14702,1.268616792,,,,,,,
2021/01/12,OptionsDaily_2021_01_12.csv,15500.7,202101,2021/01/20,8,0.0084,0.2127900767,0.3043170313,0.02321665195,0.1410429665,9667,20986,2.170890659,,,,,,,
2021/01/13,OptionsDaily_2021_01_13.csv,15769.98,202101,2021/01/20,7,0.0084,0.1671008632,0.3194056597,0.05686446649,0.09747795014,33901,36563,1.078522757,,,,,,,
2021/01/14,OptionsDaily_2021_01_14.csv,15707.19,202101,2021/01/20,6,0.0084,0.2156847789,0.2720810175,0.02181811835,0.08562779877,40272,68352,1.697258641,,,,,,,
2021/01/15,OptionsDaily_2021_01_15.csv,15616.39,202101,2021/01/20,5,0.0084,0.273586191,0.1743993826,0.06270180245,0.1015046869,98836,122776,1.242219434,,,,,,,
2021/01/18,OptionsDaily_2021_01_18.csv,15612,202101,2021/01/20,2,0.0084,0.2255909584,0.3594261895,0.07210383641,0.1209245078,114679,107563,0.9379485346,,,,,,,
2021/01/19,OptionsDaily_2021_01_19.csv,15877.37,202101,2021/01/20,1,0.0084,0.1896225261,0.4070457179,0.1031738554,0.2273714341,142228,239723,1.685483871,,,,,,,
2021/01/20,OptionsDaily_2021_01_20.csv,15806.18,202102,2021/02/17,28,0.0084,0.1839950528,0.286484837,0.03743281732,0.0306123436,2444,3473,1.421031097,,,,,,,
2021/01/21,OptionsDaily_2021_01_21.csv,16153.77,202102,2021/02/17,27,0.0084,0.1806453214,0.2828818072,0.04270509342,0.03222337714,17737,25920,1.461351976,,,,,,,
2021/01/22,OptionsDaily_2021_01_22.csv,16019.03,202102,2021/02/17,26,0.0084,0.2169230038,0.2573038852,0.01394479879,0.02996894449,4899,6454,1.317411717,,,,,,,
2021/01/25,OptionsDaily_2021_01_25.csv,15946.54,202102,2021/02/17,23,0.0084,0.2021402781,0.3122894281,0.01096478464,0.03029448123,7685,17322,2.254001301,,,,,,,
2021/01/26,OptionsDaily_2021_01_26.csv,15658.85,202102,2021/02/17,22,0.0084,0.2187022532,0.2871020598,0.01947498514,0.05276125817,7412,16036,2.163518618,,,,,,,
2021/01/27,OptionsDaily_2021_01_27.csv,15701.45,202102,2021/02/17,21,0.0084,0.2013333365,0.3482272875,0.01059224158,0.1091036627,6487,6390,0.9850470171,,,,,,,
2021/01/28,OptionsDaily_2021_01_28.csv,15415.88,202102,2021/02/17,20,0.0084,0.2099086766,0.3059345204,0.01614123683,0.0408105215,10714,11447,1.068415158,,,,,,,
2021/01/29,OptionsDaily_2021_01_29.csv,15138.31,202102,2021/02/17,19,0.0084,0.2253448149,0.2672317708,0.02025694679,0.03993406898,20623,7732,0.3749212045,,,,,,,
2021/02/01,OptionsDaily_2021_02_01.csv,15410.09,202102,2021/02/17,16,0.0084,0.1623822505,0.3365446938,0.01941095721,0.03263464064,8801,13195,1.499261448,,,,,,,
2021/02/02,OptionsDaily_2021_02_02.csv,15760.05,202102,2021/02/17,15,0.0084,0.1617590968,0.2848249764,0.04069459969,0.04077524892,10954,19299,1.761822165,,,,,,,
2021/02/03,OptionsDaily_2021_02_03.csv,15771.32,202102,2021/02/17,14,0.0084,0.1819670272,0.245603596,0.0128139299,0.03793978481,15417,26761,1.735811118,,,,,,,
2021/02/04,OptionsDaily_2021_02_04.csv,15706.22,202102,2021/02/17,13,0.0084,0.1535243606,0.2080002807,0.02083038128,0.02329014994,42625,46385,1.088211144,,,,,,,
2021/02/05,OptionsDaily_2021_02_05.csv,15802.4,202102,2021/02/17,12,0.0084,0.1437758949,0.1840157734,0.02171979596,0.03590838151,41862,67439,1.610983708,,,,,,,
2021/02/17,OptionsDaily_2021_02_17.csv,16362.29,202103,2021/03/17,28,0.0084,0.1702609765,0.3217089563,0.01936790959,0.09360471349,3980,12094,3.038693467,,,,,,,
2021/02/18,OptionsDaily_2021_02_18.csv,16424.51,202103,2021/03/17,27,0.0084,0.1876240914,0.3211553783,0.01516172423,0.08397614394,5908,7745,1.310934326,,,,,,,
2021/02/19,OptionsDaily_2021_02_19.csv,16341.38,202103,2021/03/17,26,0.0084,0.1793803934,0.3300016178,0.01121565339,0.08903673385,3153,14169,4.493815414,,,,,,,
2021/02/22,OptionsDaily_2021_02_22.csv,16410.16,202103,2021/03/17,23,0.0084,0.204880541,0.3795056001,0.01088412039,0.171024882,4423,18641,4.214560253,,,,,,,
2021/02/23,OptionsDaily_2021_02_23.csv,16443.4,202103,2021/03/17,22,0.0084,0.1850491537,0.3429577631,0.02778162909,0.1821151325,3045,6482,2.128735632,,,,,,,
2021/02/24,OptionsDaily_2021_02_24.csv,16212.53,202103,2021/03/17,21,0.0084,0.2154271668,0.3547293506,0.02030444412,0.1731247849,5717,6815,1.192058772,,,,,,,
2021/02/25,OptionsDaily_2021_02_25.csv,16452.18,202103,2021/03/17,20,0.0084,0.173159658,0.3299942013,0.007682378665,0.1119920069,4582,7543,1.646224356,,,,,,,
2021/02/26,OptionsDaily_2021_02_26.csv,15953.8,202103,2021/03/17,19,0.0084,0.2236080607,0.3576265029,0.01717457409,0.1702382966,9742,13343,1.369636625,,,,,,,
2021/03/02,OptionsDaily_2021_03_02.csv,15946.88,202103,2021/03/17,15,0.0084,0.2371947963,0.3053200663,0.03011401781,0.1273886761,14012,10934,0.7803311447,,,,,,,
2021/03/03,OptionsDaily_2021_03_03.csv,16211.73,202103,2021/03/17,14,0.0084,0.1689270626,0.3355330765,0.02420087751,0.0791540265,7532,10399,1.380642592,,,,,,,
2021/03/04,OptionsDaily_2021_03_04.csv,15906.41,202103,2021/03/17,13,0.0084,0.2130513754,0.3096096703,0.02033161059,0.1299223041,17498,8611,0.4921133844,,,,,,,
2021/03/05,OptionsDaily_2021_03_05.csv,15855.23,202103,2021/03/17,12,0.0084,0.202588316,0.3588034824,0.02168228736,0.1109279274,9717,8582,0.8831944016,,,,,,,
