Date,Call_IV_Mean,Call_IV_Std,Put_IV_Mean,Put_IV_Std,PCR_Value
2019/01/02,0.022832793,0.010693672,0.024659416,0.011228356,1.15
2019/01/03,0.027391745,0.011062102,0.029583085,0.011615207,1.15
2019/01/04,0.029609598,0.015930785,0.031978366,0.016727324,1.15
2019/01/11,0.012367432,0,0.013356827,0,1.15
2019/02/11,0.044399189,0.006044425,0.047951124,0.006346647,1.15
2019/02/12,0.023523954,0,0.02540587,0,1.15
2019/02/13,0.023523954,0,0.02540587,0,1.15
2019/02/14,0.043553602,0.020929815,0.047037891,0.021976306,1.15
2019/02/18,0.043553602,0.020538569,0.047037891,0.021565498,1.15
2019/02/19,0.044737934,0.003010388,0.048316969,0.003160907,1.15
2019/02/22,0.012367432,1.81939E-18,0.013356827,1.91036E-18,1.15
2019/02/25,0.012601801,0.000681634,0.013609945,0.000715716,1.15
2019/02/26,0.017945693,0.006441221,0.019381349,0.006763282,1.15
2019/03/04,0.031865995,0.013901216,0.034415275,0.014596277,1.15
2019/03/05,0.124965795,0.07782467,0.134963058,0.081715903,1.15
2019/03/06,0.061024027,0.048008081,0.065905949,0.050408485,1.15
2019/03/07,0.031452147,0.022543425,0.033968319,0.023670597,1.15
2019/03/08,0.030560378,0.026060001,0.033005208,0.027363001,1.15
2019/03/11,0.051077705,0.022077789,0.055163921,0.023181679,1.15
2019/03/12,0.03711473,0.0232888,0.040083908,0.02445324,1.15
2019/03/13,0.042520829,0.05035272,0.045922495,0.052870356,1.15
2019/03/14,0.028698598,0.009564495,0.030994486,0.01004272,1.15
2019/03/15,0.089721578,0.085894223,0.096899304,0.090188934,1.15
2019/03/18,0.036126387,0.025297536,0.039016498,0.026562413,1.15
2019/03/19,0.036930957,0.031356203,0.039885434,0.032924013,1.15
2019/03/20,0.025626817,0.017523103,0.027676962,0.018399258,1.15
2019/03/21,0.013847154,0.000699219,0.014954927,0.000734179,1.15
2019/03/22,0.0190087,0.012940733,0.020529396,0.01358777,1.15
2019/03/25,0.024181816,0.011289318,0.026116361,0.011853784,1.15
2019/03/26,0.026037748,0.016152012,0.028120767,0.016959613,1.15
2019/03/27,0.044199067,0,0.047734993,0,1.15
2019/04/01,0.016915903,0.019785797,0.018269176,0.020775086,1.15
2019/04/02,0.010733979,0.0153151,0.011592698,0.016080855,1.15
2019/04/03,0.017364985,0.017127075,0.018754184,0.017983429,1.15
2019/04/08,0.011824626,0.012410373,0.012770596,0.013030892,1.15
2019/04/09,0.011928574,0.010397708,0.01288286,0.010917593,1.15
2019/04/10,0.015395739,0.009715348,0.016627398,0.010201115,1.15
2019/04/11,0.013231863,0.008378457,0.014290412,0.00879738,1.15
2019/04/12,0.014668463,0.004728406,0.01584194,0.004964827,1.15
2019/04/15,0.01275964,0.005210486,0.013780411,0.00547101,1.15
2019/04/16,0.011046765,0.004873869,0.011930506,0.005117562,1.15
2019/04/17,0.022708173,0.019487577,0.024524827,0.020461956,1.15
2019/04/18,0.048772228,0.012053717,0.052674006,0.012656403,1.15
2019/04/19,0.037905703,0.010190959,0.04093816,0.010700507,1.15
2019/04/22,0.032472264,0.008106513,0.035070046,0.008511839,1.15
2019/04/23,0.022418062,0.007481082,0.024211507,0.007855136,1.15
2019/04/24,0.027747013,0.014446032,0.029966774,0.015168334,1.15
2019/05/02,0.029183373,0.022339545,0.031518043,0.023456522,1.15
2019/05/03,0.056170186,0.018713739,0.060663801,0.019649426,1.15
2019/05/06,0.048236423,0.031988508,0.052095337,0.033587933,1.15
2019/05/07,0.028468006,0.017381656,0.030745446,0.018250739,1.15
2019/05/08,0.03232683,0.016782903,0.034912977,0.017622048,1.15
2019/05/09,0.02845843,0.01216133,0.030735104,0.012769397,1.15
2019/05/10,0.015794824,0.012356941,0.01705841,0.012974788,1.15
2019/05/13,0.013614507,0.01071543,0.014703668,0.011251201,1.15
2019/05/14,0.023026046,0.020192672,0.02486813,0.021202306,1.15
2019/05/15,0.018221273,0.010641786,0.019678975,0.011173876,1.15
2019/05/16,0.016891045,0.006870105,0.018242329,0.00721361,1.15
2019/05/17,0.013443692,0.000287312,0.014519188,0.000301677,1.15
2019/05/20,0.013268487,0.000728758,0.014329966,0.000765196,1.15
2019/05/21,0.012696142,0.000561379,0.013711834,0.000589448,1.15
2019/05/22,0.016820499,0.004937748,0.018166139,0.005184636,1.15
2019/05/23,0.031859606,0,0.034408374,0,1.15
2019/06/03,0.044127558,0.03062667,0.047657763,0.032158004,1.15
2019/06/04,0.046149482,0.03696539,0.04984144,0.038813659,1.15
2019/06/05,0.032157983,0.023317056,0.034730621,0.024482909,1.15
2019/06/06,0.03640054,0.028804445,0.039312583,0.030244667,1.15
2019/06/10,0.040190296,0.031164756,0.043405519,0.032722994,1.15
2019/06/11,0.029326228,0.018890522,0.031672326,0.019835048,1.15
2019/06/12,0.043081105,0.022109427,0.046527593,0.023214898,1.15
2019/06/13,0.037095605,0.019783835,0.040063254,0.020773027,1.15
2019/06/14,0.037876746,0.0212674,0.040906886,0.02233077,1.15
2019/06/17,0.130119087,0.109180839,0.140528614,0.114639881,1.15
2019/06/18,0.032859732,0.017951118,0.03548851,0.018848674,1.15
2019/06/19,0.02673687,0.013037311,0.02887582,0.013689176,1.15
2019/06/20,0.020341854,0.010818648,0.021969202,0.011359581,1.15
2019/06/21,0.018517946,0.011830148,0.019999382,0.012421655,1.15
2019/06/24,0.021023452,0.014263341,0.022705328,0.014976508,1.15
2019/06/25,0.024249595,0.015259088,0.026189563,0.016022042,1.15
2019/06/26,0.016383132,0.011560452,0.017693782,0.012138475,1.15
2019/07/01,0.021303829,0.021644994,0.023008135,0.022727244,1.15
2019/07/02,0.026214499,0.018070615,0.028311659,0.018974146,1.15
2019/07/03,0.019524256,0.015224156,0.021086197,0.015985364,1.15
2019/07/04,0.016680297,0.01413311,0.018014721,0.014839766,1.15
2019/07/05,0.014423637,0.014105524,0.015577528,0.014810801,1.15
2019/07/08,0.0200464,0.013849891,0.021650112,0.014542386,1.15
