Date,File,S0,Maturity,Contract,ContractExpiryDate,Rf
2023/01/03,OptionsDaily_2023/01/03.csv,14224.12,15,202301,2023-01-18,0.01465
2023/01/04,OptionsDaily_2023/01/04.csv,14199.13,14,202301,2023-01-18,0.01465
2023/01/05,OptionsDaily_2023/01/05.csv,14301.05,13,202301,2023-01-18,0.01465
2023/01/06,OptionsDaily_2023/01/06.csv,14373.34,12,202301,2023-01-18,0.01465
2023/01/09,OptionsDaily_2023/01/09.csv,14752.21,9,202301,2023-01-18,0.01465
2023/01/10,OptionsDaily_2023/01/10.csv,14802.96,8,202301,2023-01-18,0.01465
2023/01/11,OptionsDaily_2023/01/11.csv,14751.44,7,202301,2023-01-18,0.01465
2023/01/12,OptionsDaily_2023/01/12.csv,14731.64,6,202301,2023-01-18,0.01465
2023/01/13,OptionsDaily_2023/01/13.csv,14824.13,5,202301,2023-01-18,0.01465
2023/01/16,OptionsDaily_2023/01/16.csv,14927.01,2,202301,2023-01-18,0.01465
2023/01/17,OptionsDaily_2023/01/17.csv,14932.93,1,202301,2023-01-18,0.01465
2023/01/30,OptionsDaily_2023/01/30.csv,15493.82,16,202302,2023-02-15,0.01465
2023/01/31,OptionsDaily_2023/01/31.csv,15265.2,15,202302,2023-02-15,0.01465
2023/02/01,OptionsDaily_2023/02/01.csv,15420.13,14,202302,2023-02-15,0.01465
2023/02/02,OptionsDaily_2023/02/02.csv,15595.16,13,202302,2023-02-15,0.01465
2023/02/03,OptionsDaily_2023/02/03.csv,15602.66,12,202302,2023-02-15,0.01465
2023/02/06,OptionsDaily_2023/02/06.csv,15392.82,9,202302,2023-02-15,0.01465
2023/02/07,OptionsDaily_2023/02/07.csv,15400.91,8,202302,2023-02-15,0.01465
2023/02/08,OptionsDaily_2023/02/08.csv,15618.17,7,202302,2023-02-15,0.01465
2023/02/09,OptionsDaily_2023/02/09.csv,15598.71,6,202302,2023-02-15,0.01465
2023/02/10,OptionsDaily_2023/02/10.csv,15586.65,5,202302,2023-02-15,0.01465
2023/02/13,OptionsDaily_2023/02/13.csv,15544.28,2,202302,2023-02-15,0.01465
2023/02/14,OptionsDaily_2023/02/14.csv,15654.48,1,202302,2023-02-15,0.01465
2023/02/15,OptionsDaily_2023/02/15.csv,15432.89,0,202302,2023-02-15,0.01465
2023/02/16,OptionsDaily_2023/02/16.csv,15550.5,27,202303,2023-03-15,0.01465
2023/02/17,OptionsDaily_2023/02/17.csv,15479.7,26,202303,2023-03-15,0.01465
2023/02/20,OptionsDaily_2023/02/20.csv,15551.23,23,202303,2023-03-15,0.01465
2023/02/21,OptionsDaily_2023/02/21.csv,15563.0,22,202303,2023-03-15,0.01465
2023/02/22,OptionsDaily_2023/02/22.csv,15418.77,21,202303,2023-03-15,0.01465
2023/02/23,OptionsDaily_2023/02/23.csv,15615.41,20,202303,2023-03-15,0.01465
2023/02/24,OptionsDaily_2023/02/24.csv,15503.79,19,202303,2023-03-15,0.01465
2023/03/01,OptionsDaily_2023/03/01.csv,15598.49,14,202303,2023-03-15,0.01465
2023/03/02,OptionsDaily_2023/03/02.csv,15598.72,13,202303,2023-03-15,0.01465
2023/03/03,OptionsDaily_2023/03/03.csv,15608.42,12,202303,2023-03-15,0.01465
2023/03/06,OptionsDaily_2023/03/06.csv,15763.51,9,202303,2023-03-15,0.01465
2023/03/07,OptionsDaily_2023/03/07.csv,15857.89,8,202303,2023-03-15,0.01465
2023/03/08,OptionsDaily_2023/03/08.csv,15818.2,7,202303,2023-03-15,0.01465
2023/03/09,OptionsDaily_2023/03/09.csv,15770.66,6,202303,2023-03-15,0.01465
2023/03/10,OptionsDaily_2023/03/10.csv,15526.2,5,202303,2023-03-15,0.01465
2023/03/13,OptionsDaily_2023/03/13.csv,15560.49,2,202303,2023-03-15,0.01465
2023/03/14,OptionsDaily_2023/03/14.csv,15360.42,1,202303,2023-03-15,0.01465
2023/03/15,OptionsDaily_2023/03/15.csv,15387.59,0,202303,2023-03-15,0.01465
2023/03/16,OptionsDaily_2023/03/16.csv,15221.12,34,202304,2023-04-19,0.01465
2023/03/17,OptionsDaily_2023/03/17.csv,15452.96,33,202304,2023-04-19,0.01465
2023/03/20,OptionsDaily_2023/03/20.csv,15419.97,30,202304,2023-04-19,0.01465
2023/03/21,OptionsDaily_2023/03/21.csv,15513.45,29,202304,2023-04-19,0.01465
2023/03/22,OptionsDaily_2023/03/22.csv,15760.46,28,202304,2023-04-19,0.01465
2023/03/23,OptionsDaily_2023/03/23.csv,15863.95,27,202304,2023-04-19,0.01465
2023/03/24,OptionsDaily_2023/03/24.csv,15914.7,26,202304,2023-04-19,0.01465
2023/03/27,OptionsDaily_2023/03/27.csv,15830.31,23,202304,2023-04-19,0.0159
2023/03/28,OptionsDaily_2023/03/28.csv,15701.48,22,202304,2023-04-19,0.0159
2023/03/29,OptionsDaily_2023/03/29.csv,15769.76,21,202304,2023-04-19,0.0159
2023/03/30,OptionsDaily_2023/03/30.csv,15849.43,20,202304,2023-04-19,0.0159
2023/03/31,OptionsDaily_2023/03/31.csv,15868.06,19,202304,2023-04-19,0.0159
2023/04/06,OptionsDaily_2023/04/06.csv,15810.77,13,202304,2023-04-19,0.0159
2023/04/07,OptionsDaily_2023/04/07.csv,15836.5,12,202304,2023-04-19,0.0159
2023/04/10,OptionsDaily_2023/04/10.csv,15876.17,9,202304,2023-04-19,0.0159
2023/04/11,OptionsDaily_2023/04/11.csv,15913.88,8,202304,2023-04-19,0.0159
2023/04/12,OptionsDaily_2023/04/12.csv,15932.97,7,202304,2023-04-19,0.0159
2023/04/13,OptionsDaily_2023/04/13.csv,15804.76,6,202304,2023-04-19,0.0159
2023/04/14,OptionsDaily_2023/04/14.csv,15929.43,5,202304,2023-04-19,0.0159
2023/04/17,OptionsDaily_2023/04/17.csv,15963.55,2,202304,2023-04-19,0.0159
2023/04/18,OptionsDaily_2023/04/18.csv,15869.44,1,202304,2023-04-19,0.0159
2023/04/19,OptionsDaily_2023/04/19.csv,15770.47,0,202304,2023-04-19,0.0159
2023/04/20,OptionsDaily_2023/04/20.csv,15707.52,27,202305,2023-05-17,0.0159
2023/04/21,OptionsDaily_2023/04/21.csv,15602.99,26,202305,2023-05-17,0.0159
2023/04/24,OptionsDaily_2023/04/24.csv,15626.87,23,202305,2023-05-17,0.0159
2023/04/25,OptionsDaily_2023/04/25.csv,15370.73,22,202305,2023-05-17,0.0159
2023/04/26,OptionsDaily_2023/04/26.csv,15374.63,21,202305,2023-05-17,0.0159
2023/04/27,OptionsDaily_2023/04/27.csv,15411.49,20,202305,2023-05-17,0.0159
2023/04/28,OptionsDaily_2023/04/28.csv,15579.18,19,202305,2023-05-17,0.0159
2023/05/02,OptionsDaily_2023/05/02.csv,15636.48,15,202305,2023-05-17,0.0159
2023/05/03,OptionsDaily_2023/05/03.csv,15553.41,14,202305,2023-05-17,0.0159
2023/05/04,OptionsDaily_2023/05/04.csv,15609.03,13,202305,2023-05-17,0.0159
2023/05/05,OptionsDaily_2023/05/05.csv,15626.07,12,202305,2023-05-17,0.0159
2023/05/08,OptionsDaily_2023/05/08.csv,15699.57,9,202305,2023-05-17,0.0159
2023/05/09,OptionsDaily_2023/05/09.csv,15727.7,8,202305,2023-05-17,0.0159
2023/05/10,OptionsDaily_2023/05/10.csv,15641.76,7,202305,2023-05-17,0.0159
2023/05/11,OptionsDaily_2023/05/11.csv,15514.64,6,202305,2023-05-17,0.0159
2023/05/12,OptionsDaily_2023/05/12.csv,15502.36,5,202305,2023-05-17,0.0159
2023/05/15,OptionsDaily_2023/05/15.csv,15475.05,2,202305,2023-05-17,0.0159
2023/05/16,OptionsDaily_2023/05/16.csv,15673.9,1,202305,2023-05-17,0.0159
2023/05/17,OptionsDaily_2023/05/17.csv,15925.29,0,202305,2023-05-17,0.0159
2023/05/18,OptionsDaily_2023/05/18.csv,16101.88,34,202306,2023-06-21,0.0159
2023/05/19,OptionsDaily_2023/05/19.csv,16174.92,33,202306,2023-06-21,0.0159
2023/05/22,OptionsDaily_2023/05/22.csv,16180.89,30,202306,2023-06-21,0.0159
2023/05/23,OptionsDaily_2023/05/23.csv,16188.03,29,202306,2023-06-21,0.0159
2023/05/24,OptionsDaily_2023/05/24.csv,16159.32,28,202306,2023-06-21,0.0159
2023/05/25,OptionsDaily_2023/05/25.csv,16292.0,27,202306,2023-06-21,0.0159
2023/05/26,OptionsDaily_2023/05/26.csv,16505.05,26,202306,2023-06-21,0.0159
2023/05/29,OptionsDaily_2023/05/29.csv,16636.3,23,202306,2023-06-21,0.0159
2023/05/30,OptionsDaily_2023/05/30.csv,16622.74,22,202306,2023-06-21,0.0159
2023/05/31,OptionsDaily_2023/05/31.csv,16578.96,21,202306,2023-06-21,0.0159
2023/06/01,OptionsDaily_2023/06/01.csv,16512.65,20,202306,2023-06-21,0.0159
2023/06/02,OptionsDaily_2023/06/02.csv,16706.91,19,202306,2023-06-21,0.0159
2023/06/05,OptionsDaily_2023/06/05.csv,16714.43,16,202306,2023-06-21,0.0159
2023/06/06,OptionsDaily_2023/06/06.csv,16761.66,15,202306,2023-06-21,0.0159
2023/06/07,OptionsDaily_2023/06/07.csv,16922.48,14,202306,2023-06-21,0.0159
2023/06/08,OptionsDaily_2023/06/08.csv,16733.69,13,202306,2023-06-21,0.0159
2023/06/09,OptionsDaily_2023/06/09.csv,16886.4,12,202306,2023-06-21,0.0159
2023/06/12,OptionsDaily_2023/06/12.csv,16955.37,9,202306,2023-06-21,0.0159
2023/06/13,OptionsDaily_2023/06/13.csv,17216.6,8,202306,2023-06-21,0.0159
2023/06/14,OptionsDaily_2023/06/14.csv,17238.14,7,202306,2023-06-21,0.0159
2023/06/15,OptionsDaily_2023/06/15.csv,17334.98,6,202306,2023-06-21,0.0159
2023/06/16,OptionsDaily_2023/06/16.csv,17288.91,5,202306,2023-06-21,0.0159
2023/06/19,OptionsDaily_2023/06/19.csv,17274.56,2,202306,2023-06-21,0.0159
2023/06/20,OptionsDaily_2023/06/20.csv,17184.91,1,202306,2023-06-21,0.0159
2023/06/21,OptionsDaily_2023/06/21.csv,17202.4,0,202306,2023-06-21,0.0159
2023/06/26,OptionsDaily_2023/06/26.csv,17059.24,23,202307,2023-07-19,0.0159
2023/06/27,OptionsDaily_2023/06/27.csv,16887.9,22,202307,2023-07-19,0.0159
2023/06/28,OptionsDaily_2023/06/28.csv,16935.63,21,202307,2023-07-19,0.0159
