Date,File,S0,Maturity,Contract,rf,Call_IV_mean,Call_IV_std,Put_IV_mean,Put_IV_std,IV_Skew,IV_Spread,IV_Range,PCR
2022/1/3,OptionsDaily_2022_01_03.csv,18270.50977,16,202201,0.00755,0.061193574,0.037173024,0.062867523,0.051563005,-0.00167395,0.87399853,0.045018712,0.969884259
2022/1/4,OptionsDaily_2022_01_04.csv,18526.34961,15,202201,0.00755,0.027225959,0.042787198,0.065571713,0.04771005,-0.038345754,0.505146068,0.049421141,1.342885403
2022/1/5,OptionsDaily_2022_01_05.csv,18499.96094,14,202201,0.00755,0.036364163,0.040001373,0.043721997,0.059686665,-0.007357834,0.990541953,0.051100922,1.018073015
2022/1/6,OptionsDaily_2022_01_06.csv,18367.91992,13,202201,0.00755,0.086366339,0.027847429,0.124669027,0.053746495,-0.038302688,0.35772762,0.045640791,0.815554138
2022/1/7,OptionsDaily_2022_01_07.csv,18169.75977,12,202201,0.00755,0.113388107,0.031999678,0.09164375,0.060699444,0.021744357,0.399766734,0.04798068,0.760434975
2022/1/10,OptionsDaily_2022_01_10.csv,18239.38086,9,202201,0.00755,0.071638222,0.025616428,0.13264514,0.046608255,-0.061006918,0.44411477,0.048394708,0.977705506
2022/1/11,OptionsDaily_2022_01_11.csv,18288.21094,8,202201,0.00755,0.049412025,0.035368996,0.104536673,0.047472813,-0.055124648,0.612982375,0.050008344,0.961252588
2022/1/12,OptionsDaily_2022_01_12.csv,18375.40039,7,202201,0.00755,0.036339923,0.055515667,0.089100101,0.071899171,-0.052760178,0.531543914,0.06989291,1.141725653
2022/1/13,OptionsDaily_2022_01_13.csv,18436.92969,6,202201,0.00755,0.131597167,0.047519483,0.173709576,0.042094194,-0.04211241,0.69916529,0.049674246,0.891133958
2022/1/14,OptionsDaily_2022_01_14.csv,18403.33008,5,202201,0.00755,0.145411294,0.059108236,0.175994566,0.066927321,-0.030583271,0.670660005,0.064434003,0.725401405
2022/1/17,OptionsDaily_2022_01_17.csv,18525.43945,2,202201,0.00755,0.120890214,0.082129234,0.262182775,0.157665364,-0.14129256,2.239923079,0.146774201,1.219122722
2022/1/18,OptionsDaily_2022_01_18.csv,18378.64063,1,202201,0.00755,0.252805629,0.125539211,0.132110516,0.241071797,0.120695113,1.800226061,0.203287558,1.048507985
2022/1/19,OptionsDaily_2022_01_19.csv,18227.46094,28,202202,0.00755,0.033963683,0.027330599,0.034659438,0.060645049,-0.000695754,0.459499854,0.046046078,0.851201741
2022/1/20,OptionsDaily_2022_01_20.csv,18218.2793,27,202202,0.00755,0.080677308,0.035456813,0.111670135,0.05606994,-0.030992827,0.537200153,0.050697186,1.298478371
2022/1/21,OptionsDaily_2022_01_21.csv,17899.30078,26,202202,0.00755,0.082958959,0.031097592,0.083529986,0.057887515,-0.000571027,0.579641879,0.043144566,0.589067638
2022/1/24,OptionsDaily_2022_01_24.csv,17989.03906,23,202202,0.00755,0.045278477,0.028825773,0.105053147,0.049329677,-0.05977467,0.370663141,0.0496613,0.857238552
2022/1/25,OptionsDaily_2022_01_25.csv,17701.11914,22,202202,0.00755,0.067363751,0.030356493,0.092515352,0.096187183,-0.025151602,0.407996197,0.066100786,0.625384629
2022/1/26,OptionsDaily_2022_01_26.csv,17674.40039,21,202202,0.00755,0.044225055,0.039358644,0.061841399,0.087982038,-0.017616344,0.386648002,0.0703157,1.212658505
2022/1/27,OptionsDaily_2022_01_27.csv,17674.40039,20,202202,0.00755,,,,,,,,
2022/1/28,OptionsDaily_2022_01_28.csv,17674.40039,19,202202,0.00755,,,,,,,,
2022/1/31,OptionsDaily_2022_01_31.csv,17674.40039,16,202202,0.00755,,,,,,,,
2022/2/1,OptionsDaily_2022_02_01.csv,17674.40039,15,202202,0.00755,,,,,,,,
2022/2/2,OptionsDaily_2022_02_02.csv,17674.40039,14,202202,0.00755,,,,,,,,
2022/2/3,OptionsDaily_2022_02_03.csv,17674.40039,13,202202,0.00755,,,,,,,,
2022/2/4,OptionsDaily_2022_02_04.csv,17674.40039,12,202202,0.00755,,,,,,,,
2022/2/7,OptionsDaily_2022_02_07.csv,17900.30078,9,202202,0.00755,0.049688666,0.071383207,0.12525799,0.131183709,-0.075569324,1.248038747,0.11487743,1.238943048
2022/2/8,OptionsDaily_2022_02_08.csv,17966.56055,8,202202,0.00755,0.088352784,0.068460258,0.104099379,0.120894963,-0.015746596,1.261819561,0.103108322,1.446193774
2022/2/9,OptionsDaily_2022_02_09.csv,18151.75977,7,202202,0.00755,0.025662355,0.059097654,0.121005911,0.152834792,-0.095343555,1.336443991,0.133647947,1.66909801
