Date,File,S0,Maturity,Contract,rf,Call_IV_mean,Call_IV_std,Put_IV_mean,Put_IV_std,IV_Skew,IV_Spread,IV_Range,PCR
2024/1/1,OptionsDaily_2024_01_01.csv,17930.81055,16,202401,0.01575,,,,,,,,
2024/1/2,OptionsDaily_2024_01_02.csv,17853.75977,15,202401,0.01575,0.039710172,0.028701719,0.06499365,0.066382773,-0.025283478,0.464389511,0.04706162,0.49037593
2024/1/3,OptionsDaily_2024_01_03.csv,17559.31055,14,202401,0.01575,0.055514836,0.039195121,0.029748783,0.053908866,0.025766052,0.45926012,0.047324962,0.606075165
2024/1/4,OptionsDaily_2024_01_04.csv,17549.65039,13,202401,0.01575,0.094236792,0.040751471,0.115692117,0.054674694,-0.021455325,0.421086049,0.048067758,0.690371449
2024/1/5,OptionsDaily_2024_01_05.csv,17519.14063,12,202401,0.01575,0.096919546,0.02872704,0.079308442,0.03579065,0.017611104,0.309598616,0.032654988,0.554807418
2024/1/8,OptionsDaily_2024_01_08.csv,17572.66016,9,202401,0.01575,0.085439408,0.036640204,0.086862537,0.051259003,-0.001423128,0.519524154,0.044138011,0.922143403
2024/1/9,OptionsDaily_2024_01_09.csv,17535.49023,8,202401,0.01575,0.087263288,0.041776028,0.045973347,0.058049163,0.041289941,0.603080757,0.052113872,0.552952297
2024/1/10,OptionsDaily_2024_01_10.csv,17465.63086,7,202401,0.01575,0.063309224,0.051928647,0.056437434,0.073707754,0.00687179,1.030289669,0.061864298,0.653738916
2024/1/11,OptionsDaily_2024_01_11.csv,17545.32031,6,202401,0.01575,0.198619186,0.09983755,0.222400124,0.053978644,-0.023780938,0.503900127,0.085490322,0.565188483
2024/1/12,OptionsDaily_2024_01_12.csv,17512.83008,5,202401,0.01575,0.216694053,0.068704822,0.253474207,0.075970282,-0.036780154,1.234020076,0.073891759,0.631993823
2024/1/15,OptionsDaily_2024_01_15.csv,17546.82031,2,202401,0.01575,0.206915047,0.083684486,0.233581481,0.155845458,-0.026666434,1.186621675,0.115886687,0.526718158
2024/1/16,OptionsDaily_2024_01_16.csv,17346.86914,1,202401,0.01575,0.244746621,0.134444496,0.172083481,0.175885843,0.07266314,1.521512482,0.156225207,0.60276239
2024/1/17,OptionsDaily_2024_01_17.csv,17161.78906,35,202402,0.01575,0.036566004,0.029511638,0.023375652,0.039390776,0.013190351,0.362313317,0.035047874,0.817980311
2024/1/18,OptionsDaily_2024_01_18.csv,17227.78906,34,202402,0.01575,0.064189427,0.026652822,0.080072179,0.030471329,-0.015882752,0.286774037,0.029637099,0.887373282
2024/1/19,OptionsDaily_2024_01_19.csv,17681.51953,33,202402,0.01575,0.024304792,0.028693189,0.087973692,0.033951232,-0.0636689,0.263313424,0.044749393,1.028623975
2024/1/22,OptionsDaily_2024_01_22.csv,17815.09961,30,202402,0.01575,0.039687707,0.033681556,0.066291455,0.033593987,-0.026603748,0.486509106,0.036169922,0.994811158
2024/1/23,OptionsDaily_2024_01_23.csv,17874.58984,29,202402,0.01575,0.01829152,0.024834377,0.050050304,0.026178517,-0.031758784,0.217034895,0.030070262,1.153523956
2024/1/24,OptionsDaily_2024_01_24.csv,17875.83008,28,202402,0.01575,0.025824325,0.025767927,0.033027442,0.03557991,-0.007203117,0.525241966,0.03220101,1.503091455
2024/1/25,OptionsDaily_2024_01_25.csv,18002.61914,27,202402,0.01575,0.054970116,0.025035428,0.085279286,0.027947956,-0.030309171,0.279223871,0.030651228,1.166985855
2024/1/26,OptionsDaily_2024_01_26.csv,17995.0293,26,202402,0.01575,0.060663158,0.032661931,0.072366627,0.026394514,-0.011703469,0.226624601,0.030520145,0.785268352
2024/1/29,OptionsDaily_2024_01_29.csv,18119.63086,23,202402,0.01575,0.03193998,0.032217091,0.066722523,0.044352822,-0.034782542,0.719375379,0.04381212,2.139726995
2024/1/30,OptionsDaily_2024_01_30.csv,18034.63086,22,202402,0.01575,0.045770868,0.026051527,0.037180732,0.038991832,0.008590136,0.211006584,0.033330691,1.043618528
2024/1/31,OptionsDaily_2024_01_31.csv,17889.56055,21,202402,0.01575,0.036932655,0.034019973,0.031064215,0.053284689,0.00586844,0.734646118,0.043786861,0.7649303
2024/2/1,OptionsDaily_2024_02_01.csv,17968.10938,20,202402,0.01575,0.08906902,0.014761912,0.12710579,0.038169038,-0.03803677,0.233051412,0.034568042,0.932125723
2024/2/2,OptionsDaily_2024_02_02.csv,18059.92969,19,202402,0.01575,0.089016812,0.026085952,0.120276991,0.040183123,-0.031260179,0.603545832,0.038378364,1.562000814
2024/2/5,OptionsDaily_2024_02_05.csv,18096.07031,16,202402,0.01575,0.079856218,0.018972214,0.126167232,0.049940114,-0.046311014,0.656862463,0.046044891,1.267729895
2024/2/6,OptionsDaily_2024_02_06.csv,18096.07031,15,202402,0.01575,,,,,,,,
2024/2/7,OptionsDaily_2024_02_07.csv,18096.07031,14,202402,0.01575,,,,,,,,
2024/2/8,OptionsDaily_2024_02_08.csv,18096.07031,13,202402,0.01575,,,,,,,,
2024/2/9,OptionsDaily_2024_02_09.csv,18096.07031,12,202402,0.01575,,,,,,,,
2024/2/12,OptionsDaily_2024_02_12.csv,18096.07031,9,202402,0.01575,,,,,,,,
2024/2/13,OptionsDaily_2024_02_13.csv,18096.07031,8,202402,0.01575,,,,,,,,
2024/2/14,OptionsDaily_2024_02_14.csv,18096.07031,7,202402,0.01575,,,,,,,,
2024/2/15,OptionsDaily_2024_02_15.csv,18644.57031,6,202402,0.01575,0.032367717,0.062816867,0.109144973,0.098103593,-0.076777256,0.993530996,0.091264743,1.04767036
2024/2/16,OptionsDaily_2024_02_16.csv,18607.25,5,202402,0.01575,0.168233717,0.059518354,0.152847971,0.117275611,0.015385746,1.219772036,0.097160204,1.263074032
2024/2/19,OptionsDaily_2024_02_19.csv,18635.80078,2,202402,0.01575,0.167863593,0.085037453,0.165256442,0.117923224,0.00260715,2.410680958,0.108076846,2.1963978
2024/2/20,OptionsDaily_2024_02_20.csv,18753.16016,1,202402,0.01575,0.123375021,0.17347329,0.230665708,0.2285017,-0.107290687,2.575875904,0.21708446,1.990188464
2024/2/21,OptionsDaily_2024_02_21.csv,18676.31055,28,202403,0.01575,0.029527798,0.030713637,0.026835455,0.034487043,0.002692343,0.282772903,0.032746271,1.113734257
2024/2/22,OptionsDaily_2024_02_22.csv,18852.7793,27,202403,0.01575,0.053616727,0.023525972,0.0783887,0.030144267,-0.024771973,0.26929459,0.030249285,1.51290741
2024/2/23,OptionsDaily_2024_02_23.csv,18889.18945,26,202403,0.01575,0.068629448,0.031832361,0.066505378,0.042687221,0.00212407,0.661692175,0.038449335,1.388959529
2024/2/26,OptionsDaily_2024_02_26.csv,18948.05078,23,202403,0.01575,0.035637708,0.022599629,0.063430538,0.045245164,-0.02779283,0.542685016,0.039033934,1.141087791
2024/2/27,OptionsDaily_2024_02_27.csv,18854.41016,22,202403,0.01575,0.04090746,0.030589967,0.05049932,0.04425126,-0.00959186,0.539597874,0.038655031,1.059451147
2024/2/28,OptionsDaily_2024_02_28.csv,18854.41016,21,202403,0.01575,,,,,,,,
2024/2/29,OptionsDaily_2024_02_29.csv,18966.76953,20,202403,0.01575,0.015157014,0.024878618,0.048189957,0.037352635,-0.033032943,0.760627893,0.03574416,0.954275612
2024/3/1,OptionsDaily_2024_03_01.csv,18935.92969,19,202403,0.017,0.066805692,0.029801405,0.085912153,0.057035671,-0.019106461,0.812990949,0.048007265,1.283316767
2024/3/4,OptionsDaily_2024_03_04.csv,19305.31055,16,202403,0.017,0.040175127,0.045203345,0.101082531,0.064047943,-0.060907404,0.569405086,0.063920624,1.186134811
2024/3/5,OptionsDaily_2024_03_05.csv,19386.91992,15,202403,0.017,0.050784624,0.038594014,0.075303156,0.059048372,-0.024518531,0.643096377,0.051876224,1.147105134
2024/3/6,OptionsDaily_2024_03_06.csv,19499.44922,14,202403,0.017,0.017843097,0.037018292,0.067681329,0.055540953,-0.049838231,0.640641723,0.053873692,1.120102669
2024/3/7,OptionsDaily_2024_03_07.csv,19693.51953,13,202403,0.017,0.104117861,0.048256071,0.152991437,0.072798873,-0.048873575,0.66284784,0.067505689,1.119923524
2024/3/8,OptionsDaily_2024_03_08.csv,19785.32031,12,202403,0.017,0.127287726,0.047317304,0.128469605,0.058029574,-0.001181879,0.896509285,0.053043812,0.958099694
2024/3/11,OptionsDaily_2024_03_11.csv,19726.08008,9,202403,0.017,0.136081069,0.04877608,0.116371422,0.053447379,0.019709646,0.511798092,0.051931736,0.853707089
2024/3/12,OptionsDaily_2024_03_12.csv,19914.55078,8,202403,0.017,0.0667828,0.054295948,0.131983855,0.091027007,-0.065201055,0.822129084,0.083248746,1.137179141
2024/3/13,OptionsDaily_2024_03_13.csv,19928.50977,7,202403,0.017,0.062524158,0.091191491,0.068045895,0.071475934,-0.005521737,2.060005534,0.082057699,0.914970411
2024/3/14,OptionsDaily_2024_03_14.csv,19937.91992,6,202403,0.017,0.137818169,0.078554149,0.182347965,0.0790504,-0.044529795,1.451932551,0.081878682,1.068042031
2024/3/15,OptionsDaily_2024_03_15.csv,19682.5,5,202403,0.017,0.190178287,0.057911913,0.109310261,0.08547725,0.080868026,1.233842311,0.083351002,0.89591329
2024/3/18,OptionsDaily_2024_03_18.csv,19879.84961,2,202403,0.017,0.140850257,0.065119051,0.241469429,0.191520014,-0.100619173,2.484934049,0.159406768,1.222959492
2024/3/19,OptionsDaily_2024_03_19.csv,19857.19922,1,202403,0.017,0.20160303,0.11102574,0.21970473,0.164500082,-0.0181017,2.035362729,0.142367919,1.059272305
2024/3/20,OptionsDaily_2024_03_20.csv,19784.44922,28,202404,0.017,0.031604479,0.024805914,0.023171291,0.036138425,0.008433188,0.28462918,0.031187804,0.939031439
2024/3/21,OptionsDaily_2024_03_21.csv,20199.08984,27,202404,0.017,0.058978429,0.050716274,0.092260463,0.031881901,-0.033282034,0.344530577,0.044398535,1.195965286
2024/3/22,OptionsDaily_2024_03_22.csv,20228.42969,26,202404,0.017,0.064028085,0.033635076,0.076581439,0.043930663,-0.012553353,0.445674135,0.039413783,0.993674146
2024/3/25,OptionsDaily_2024_03_25.csv,20192.25,23,202404,0.017,0.05421932,0.023277367,0.066362799,0.11284781,-0.012143479,0.783647248,0.085897685,1.190131395
2024/3/26,OptionsDaily_2024_03_26.csv,20126.49023,22,202404,0.017,0.058271166,0.048384311,0.034915859,0.035305157,0.023355307,0.474599462,0.043995817,0.972777137
2024/3/27,OptionsDaily_2024_03_27.csv,20200.11914,21,202404,0.017,0.024455894,0.032642035,0.035296764,0.033248477,-0.010840869,0.539584282,0.033372007,0.872006522
2024/3/28,OptionsDaily_2024_03_28.csv,20146.55078,20,202404,0.017,0.081685691,0.018670208,0.075074513,0.025674717,0.006611178,0.243874478,0.022471311,0.912911012
2024/3/29,OptionsDaily_2024_03_29.csv,20294.44922,19,202404,0.017,0.049500888,0.026920118,0.083746521,0.024562125,-0.034245633,0.296294171,0.030818352,1.303288087
2024/4/1,OptionsDaily_2024_04_01.csv,20222.33008,16,202404,0.017,0.072730395,0.026555614,0.062317013,0.046259021,0.010413382,0.494671627,0.038222604,0.961292888
2024/4/2,OptionsDaily_2024_04_02.csv,20466.57031,15,202404,0.017,0.034597287,0.04224252,0.076240327,0.044451791,-0.04164304,0.541159537,0.048112998,1.50889863
2024/4/3,OptionsDaily_2024_04_03.csv,20337.59961,14,202404,0.017,0.034941775,0.030571625,0.03730555,0.049370821,-0.002363775,0.504355215,0.040814649,0.929974037
2024/4/4,OptionsDaily_2024_04_04.csv,20337.59961,13,202404,0.017,,,,,,,,
2024/4/5,OptionsDaily_2024_04_05.csv,20337.59961,12,202404,0.017,,,,,,,,
2024/4/8,OptionsDaily_2024_04_08.csv,20417.69922,9,202404,0.017,0.094906663,0.050673618,0.101400678,0.053841943,-0.006494015,0.6040614,0.052477991,1.042499698
2024/4/9,OptionsDaily_2024_04_09.csv,20796.19922,8,202404,0.017,0.041391624,0.05496886,0.115734584,0.067915088,-0.074342959,0.763137329,0.072885121,1.674519375
2024/4/10,OptionsDaily_2024_04_10.csv,20763.5293,7,202404,0.017,0.063278145,0.050657035,0.054095423,0.071495661,0.009182721,0.803710008,0.062864061,1.096739504
2024/4/11,OptionsDaily_2024_04_11.csv,20753.2207,6,202404,0.017,0.124485162,0.057935057,0.170607666,0.079836342,-0.046122504,0.855094751,0.073253991,0.875257808
2024/4/12,OptionsDaily_2024_04_12.csv,20736.57031,5,202404,0.017,0.119436177,0.06217784,0.151783655,0.104777907,-0.032347478,1.342543929,0.087276489,0.947260226
2024/4/15,OptionsDaily_2024_04_15.csv,20449.76953,2,202404,0.017,0.23233799,0.099888082,0.127280919,0.126807733,0.105057072,1.187848297,0.122277842,0.597039138
2024/4/16,OptionsDaily_2024_04_16.csv,19901.96094,1,202404,0.017,0.379192391,0.175093558,0.217008344,0.268730252,0.162184046,3.181797046,0.229060436,0.575417936
2024/4/17,OptionsDaily_2024_04_17.csv,20213.33008,28,202405,0.017,0.016049943,0.02952215,0.05947215,0.046164009,-0.043422207,0.330908235,0.044835957,1.12718722
2024/4/18,OptionsDaily_2024_04_18.csv,20301.19922,27,202405,0.017,0.07415734,0.029204977,0.125743303,0.038356582,-0.051585964,0.372687433,0.042805335,1.043557245
2024/4/19,OptionsDaily_2024_04_19.csv,19527.11914,26,202405,0.017,0.1295955,0.040668431,0.079949121,0.072378175,0.049646379,0.479886786,0.063033094,0.87341528
2024/4/22,OptionsDaily_2024_04_22.csv,19411.2207,23,202405,0.017,0.104928755,0.034722421,0.08255091,0.049000217,0.022377845,0.36554509,0.042957717,0.732106427
