Date,Call_IV_Mean,Call_IV_Std,Put_IV_Mean,Put_IV_Std,Total_Call_Volume,Total_Put_Volume,Put_Call_Ratio_Vol
2020/1/2,0.061189927,0.057173503,0.085537789,0.328791745,488902,1081880,2.212877018
2020/1/3,0.091918811,0.049518147,0.131037856,0.451676076,936410,1058954,1.130865753
2020/1/6,0.121001779,0.056702671,0.140946561,0.630884853,866274,563254,0.650203054
2020/1/7,0.098655259,0.058177443,0.124050358,0.564086913,1439820,1032352,0.717000736
2020/1/8,0.093091369,0.067124187,0.156114611,0.579453405,1452648,1185822,0.816317511
2020/1/9,0.133488313,0.054059091,0.280071571,0.72501571,626410,655090,1.04578471
2020/1/10,0.142214594,0.048199171,0.266053164,0.698557123,581438,621608,1.069087332
2020/1/13,0.139926087,0.103918914,0.348603705,1.333902794,645914,986808,1.527769951
2020/1/14,0.188323763,0.169574935,0.380773039,1.822572312,623338,821570,1.31801687
2020/1/15,,,,,0,0,
2020/1/16,0.06477871,0.022819111,0.11911655,0.379560778,352692,427652,1.212536718
2020/1/17,0.062348403,0.021286651,0.103490515,0.287792759,394570,439174,1.11304458
2020/1/20,0.063815591,0.026295506,0.103933574,0.325637265,334912,433764,1.295158131
2020/1/30,0.122597682,0.067450902,0.181612372,0.614171269,1724774,602516,0.349330405
2020/1/31,0.104319569,0.038585875,0.186513333,0.354196962,884750,751576,0.849478384
2020/2/3,0.104768198,0.045558994,0.19803631,0.383400911,1167396,1267246,1.085532244
2020/2/4,0.074809359,0.053178253,0.166232369,0.391813426,664778,1134166,1.706082331
2020/2/5,0.073092053,0.051800523,0.09677891,0.286059078,1413406,1454290,1.028925871
2020/2/6,0.085114328,0.036904574,0.221666757,0.467145888,698608,839814,1.202124797
2020/2/7,0.13578509,0.044550176,0.166867461,0.517075979,650472,701294,1.078130957
2020/2/10,0.111527875,0.048686641,0.214359775,0.552646798,908922,1066594,1.173471431
2020/2/11,0.092681612,0.057885702,0.182473151,0.635418403,642778,896088,1.394086294
2020/2/12,0.088482678,0.072390652,0.150187137,0.541675631,601064,1252086,2.083115941
2020/2/13,0.167447647,0.048150734,0.244245573,0.783875463,588360,656956,1.116588483
2020/2/14,0.135761451,0.0586932,0.246396417,0.683640185,596858,745814,1.249566899
2020/2/17,0.195888274,0.102550873,0.306613254,1.230067838,681676,735716,1.079275198
2020/2/18,0.301993651,0.18837145,0.415203153,1.956238031,1010994,869214,0.859761779
2020/2/19,,,,,0,0,
2020/2/20,0.086747011,0.032331098,0.111136861,0.373843086,635988,637654,1.002619546
2020/2/21,0.07625972,0.031927745,0.109652214,0.309015974,720980,780212,1.082154845
2020/2/24,0.08939921,0.04241182,0.117744471,0.327961864,853530,871150,1.02064368
2020/2/25,0.062628126,0.047613775,0.138489581,0.212454509,1009332,1494842,1.481021111
2020/2/26,0.063404285,0.051724696,0.08433784,0.291743038,1545132,1580520,1.022902898
2020/2/27,0.153566809,0.043854527,0.170836022,0.349174086,906826,960334,1.059005807
2020/3/2,0.153803455,0.059068476,0.200361198,0.39526305,1167678,1178092,1.008918555
2020/3/3,0.089913451,0.061134696,0.168113686,0.295058862,1134652,1231158,1.085053391
2020/3/4,0.072688994,0.066658444,0.117475924,0.250107146,848790,1511586,1.780871594
2020/3/5,0.099617891,0.03902782,0.223028781,0.441942072,556094,640872,1.152452643
2020/3/6,0.152436153,0.04669225,0.190539313,0.471164422,804756,778780,0.967721893
2020/3/9,0.236468936,0.075218308,0.261731614,0.53236689,1264422,1092874,0.864326941
2020/3/10,0.138028431,0.083908405,0.348681393,0.431351139,1376200,1679824,1.220624909
2020/3/11,0.173667674,0.095672356,0.26033517,0.763547088,1746072,852854,0.488441485
2020/3/12,0.401298264,0.115734029,0.494394044,0.634337452,1233710,1009094,0.817934523
2020/3/13,0.349675807,0.141951858,0.858506051,0.621572985,1305772,1533834,1.174656831
2020/3/16,1.006590781,0.293597091,0.751621987,1.140918054,1364946,928578,0.680303836
2020/3/17,0.987960619,0.375001552,1.267500947,1.47104945,1345760,1532222,1.138555166
2020/3/18,,,,,0,0,
2020/3/19,0.342621181,0.086701094,0.522362344,0.556131042,608878,324350,0.532701132
2020/3/20,0.199178633,0.099315364,0.537905729,0.539428816,580406,566580,0.976178744
2020/3/23,0.305839363,0.128037683,0.343655875,0.395735178,732088,634968,0.867338353
2020/3/24,0.162257136,0.105633411,0.307229733,0.44253851,765582,1065190,1.391346714
2020/3/25,0.115584369,0.111468195,0.198720934,0.371461383,955380,1583086,1.657022337
2020/3/26,0.236039328,0.061272843,0.402405966,0.30785826,587216,579358,0.986618212
2020/3/27,0.261467798,0.074861931,0.311248316,0.330820557,563858,555712,0.9855531
2020/3/30,0.187345642,0.081525892,0.371232381,0.351823161,618456,700026,1.131892972
2020/3/31,0.138077973,0.092191702,0.250007695,0.428142013,699510,810420,1.158553845
2020/4/1,0.116247872,0.102374062,0.16631722,0.454989013,846928,866788,1.023449455
2020/4/6,0.167180679,0.080802067,0.430824924,0.672582154,577050,768130,1.331132484
2020/4/7,0.139491485,0.087091847,0.289984142,0.76182621,609134,878714,1.44256272
2020/4/8,0.15474631,0.109996338,0.213836016,0.523987744,710020,1405694,1.979794935
2020/4/9,0.266985067,0.078682532,0.422407004,0.606707894,513162,570666,1.11205818
2020/4/10,0.225108446,0.089832674,0.451285005,0.74061224,350558,436074,1.243942515
2020/4/13,0.371800007,0.180145609,0.550478515,1.164097688,413440,446476,1.079905186
2020/4/14,0.3316291,0.310295909,0.763125599,1.680946405,481048,991256,2.060617651
2020/4/15,,,,,0,0,
2020/4/16,0.099388927,0.043808107,0.196657948,0.283092749,407520,448194,1.099808598
2020/4/17,0.100621695,0.052364915,0.167033163,0.284410988,718176,794188,1.105840351
2020/4/20,0.086361825,0.051421837,0.146193524,0.230008099,489952,458928,0.936679511
2020/4/21,0.114104708,0.061126394,0.150412042,0.350781969,1034442,749552,0.724595482
2020/4/22,0.083014222,0.073209062,0.129084515,0.195659162,512270,1290488,2.519155914
2020/4/23,0.126312492,0.047657953,0.206842583,0.266042249,541680,523248,0.96597253
