Date,Call_IV_Mean,Call_IV_Std,Put_IV_Mean,Put_IV_Std,Total_Call_Volume,Total_Put_Volume,Put_Call_Ratio_Vol
2023/1/3,0.069112826,0.057404501,0.132043289,0.213096342,684204,985572,1.440465124
2023/1/4,0.070754221,0.057458304,0.072102381,0.246347107,1111050,856150,0.770577382
2023/1/5,0.128425703,0.042653379,0.165699771,0.337088538,456932,450184,0.985231938
2023/1/6,0.102009983,0.049253821,0.166125029,0.339058337,505240,571918,1.131972924
2023/1/9,0.110052292,0.08283093,0.21003779,0.286060953,435628,1195544,2.74441496
2023/1/10,0.113612891,0.079798978,0.133684487,0.299899488,895228,926668,1.035119545
2023/1/11,0.108032067,0.085649704,0.09958679,0.290867028,1066522,645494,0.60523271
2023/1/12,0.292509898,0.063771238,0.286526803,0.394684691,329504,295962,0.898204574
2023/1/13,0.301688432,0.062952512,0.285253093,0.492229129,604748,519204,0.858546039
2023/1/16,0.35660927,0.099357279,0.45997416,0.849219904,398030,391374,0.983277642
2023/1/17,0.483199908,0.16643519,0.587290058,0.869036501,294938,284522,0.964684103
2023/1/30,0.066648587,0.064630138,0.138374484,0.204932655,373914,698998,1.869408474
2023/1/31,0.110762231,0.064551312,0.10474619,0.398102479,661994,336404,0.508167748
2023/2/1,0.088691608,0.061025267,0.093657167,0.209282609,292604,796954,2.723660647
2023/2/2,0.091815343,0.040739747,0.17238979,0.258851635,429868,531882,1.237314711
2023/2/3,0.102576423,0.040491986,0.140044879,0.354108326,497198,506606,1.018922039
2023/2/6,0.142329798,0.056431145,0.110339196,0.424807852,672080,429734,0.639408999
2023/2/7,0.08955478,0.058605577,0.110854266,0.224791084,659244,668004,1.013287948
2023/2/8,0.107458213,0.090036837,0.132854776,0.256423027,339518,1101100,3.243127021
2023/2/9,0.160917204,0.054804545,0.213215358,0.369275493,356764,356662,0.999714097
2023/2/10,0.197187069,0.078170862,0.200161961,0.409832982,608674,557750,0.916336167
2023/2/13,0.256658637,0.11171257,0.330809755,0.70391634,660806,568266,0.859958899
2023/2/14,0.298308715,0.176347262,0.434082005,0.900495606,504210,588328,1.166831281
2023/2/16,0.071022659,0.03761371,0.121400231,0.251562004,400978,500000,1.246951204
2023/2/17,0.070798864,0.034957023,0.09640964,0.194422824,564932,537038,0.950624146
2023/2/20,0.051600882,0.041270533,0.101588868,0.249142604,431306,622108,1.442381975
2023/2/21,0.044111976,0.043372464,0.082628686,0.269907215,329860,420340,1.274298187
2023/2/22,0.057152598,0.047307905,0.060275498,0.149146436,747416,899578,1.203584082
2023/2/23,0.07387726,0.044682447,0.130111533,0.187103818,433280,622102,1.435796713
2023/2/24,0.108436194,0.040280965,0.076891335,0.175730091,581192,488096,0.839818855
2023/3/1,0.074828574,0.050638201,0.114588181,0.205215006,422024,1125028,2.665791519
2023/3/2,0.09933529,0.032686277,0.150775898,0.159402679,461226,457700,0.992355158
2023/3/3,0.108208547,0.040736317,0.131973867,0.216328028,470558,525436,1.116623243
2023/3/6,0.097420345,0.055907897,0.150238595,0.406233049,583482,760696,1.303718024
2023/3/7,0.08011147,0.062622877,0.129759145,0.373045344,429558,652114,1.518104656
2023/3/8,0.079153452,0.065499718,0.097776496,0.261935308,755326,937354,1.240992631
2023/3/9,0.173203565,0.055267485,0.181474584,0.402070037,391222,359412,0.918690667
2023/3/10,0.211070595,0.081701403,0.203303439,0.359589536,907712,573460,0.63176426
2023/3/13,0.196704195,0.122747876,0.393004402,0.564404942,809056,824964,1.019662421
2023/3/14,0.39150592,0.173988886,0.418816792,0.945087843,1038584,836854,0.805764387
2023/3/16,0.08330918,0.035971981,0.119728359,0.146635053,770358,777868,1.009748714
2023/3/17,0.049879693,0.040287118,0.117652808,0.166928635,409202,680204,1.66226949
2023/3/20,0.05418131,0.037032705,0.082949016,0.1499847,508716,621044,1.220806894
2023/3/21,0.041920527,0.044092539,0.085659257,0.180725759,417032,920526,2.207327016
2023/3/22,0.071048746,0.045679147,0.077807186,0.125298793,227414,1279550,5.626522554
2023/3/23,0.067311502,0.033182204,0.129354762,0.19688643,478646,649794,1.35756697
2023/3/24,0.069638458,0.032073342,0.103737409,0.171504418,527404,643586,1.220290328
2023/3/27,0.072756002,0.032948827,0.08146864,0.147404958,619412,621488,1.003351566
2023/3/28,0.065571348,0.03764536,0.067247571,0.219643596,808672,539414,0.667036821
2023/3/29,0.045122646,0.044821286,0.058583765,0.165635724,445836,909378,2.039714155
2023/3/30,0.078001632,0.031083092,0.126109098,0.238214773,339564,437370,1.288034067
2023/3/31,0.090478268,0.033305371,0.101063834,0.216293952,428858,471522,1.099482812
2023/4/6,0.084882612,0.053572841,0.078127918,0.183685089,489024,743140,1.519639118
2023/4/7,0.090498145,0.040661932,0.123895936,0.27578148,318600,369208,1.158844947
2023/4/10,0.087367847,0.049008441,0.118548569,0.339945058,328278,403426,1.228915736
2023/4/11,0.07279376,0.054022989,0.120270601,0.284325438,548254,723676,1.319964834
2023/4/12,0.067042375,0.058556754,0.083816409,0.290296314,512680,674890,1.316396193
2023/4/13,0.177002928,0.056952421,0.14284621,0.442499701,547584,419646,0.766359134
2023/4/14,0.11830454,0.071523378,0.191035076,0.50611365,491102,591480,1.204393385
2023/4/17,0.14853742,0.122949111,0.246964634,0.593680009,459034,492870,1.073711316
2023/4/18,0.266015546,0.142485251,0.258679217,1.235128723,606292,432924,0.714051975
2023/4/20,0.077522974,0.029336228,0.087860724,0.242527869,498546,424512,0.851500162
2023/4/21,0.08176937,0.033445474,0.073637397,0.306116936,698026,440580,0.631179927
2023/4/24,0.051195112,0.033768697,0.075665391,0.188599222,535570,511522,0.955098306
2023/4/25,0.077727423,0.042395902,0.079256876,0.286402333,1010300,407250,0.40309809
2023/4/26,0.04764499,0.049493794,0.058356626,0.12311963,698820,1019912,1.459477405
2023/4/27,0.071224451,0.035483819,0.110473973,0.179013019,434358,435978,1.003729642
2023/4/28,0.056020555,0.03850717,0.106931735,0.155933494,417658,596080,1.427196414
2023/5/2,0.050409204,0.043024747,0.087555466,0.171433114,462108,723886,1.566486622
2023/5/3,0.047904586,0.044955087,0.061111155,0.167088169,755052,739214,0.979023961
2023/5/4,0.079712089,0.027820936,0.139838249,0.184382889,355906,426114,1.19726557
2023/5/5,0.08487803,0.032812402,0.11791013,0.195131057,511078,557210,1.090264108
2023/5/8,0.088260057,0.047748543,0.1060831,0.268957733,531860,659918,1.240773888
2023/5/9,0.061679834,0.050219593,0.100415703,0.30573779,447240,523446,1.170391736
2023/5/10,0.070415408,0.05346556,0.090235301,0.347631991,755688,664986,0.879974275
2023/5/11,0.159619113,0.047309323,0.12967076,0.314876751,623232,504824,0.810009756
2023/5/12,0.10986422,0.050637681,0.177440658,0.409200843,673990,686074,1.017929049
2023/5/15,0.159873076,0.078345463,0.215415996,0.686029739,567734,583038,1.026956286
2023/5/16,0.191428211,0.146167025,0.328140555,0.897767098,536068,890636,1.661423551
2023/5/18,0.05943719,0.028081514,0.096682243,0.208526766,579266,655154,1.131007171
2023/5/19,0.064662819,0.024632751,0.080156653,0.156568061,652750,586810,0.898981233
2023/5/22,0.048363466,0.025953007,0.069830039,0.15879737,418384,430620,1.02924586
2023/5/23,0.039400576,0.030220093,0.056231168,0.142336964,526126,612384,1.16394932
2023/5/24,0.037722728,0.032096317,0.048534888,0.13633604,461932,905758,1.960803755
2023/5/25,0.05138652,0.028380164,0.114394806,0.211106839,523950,666630,1.272316061
2023/5/26,0.058746619,0.033547037,0.109576725,0.207970394,593526,830030,1.398472855
2023/5/29,0.066302749,0.034085294,0.084636811,0.14618803,833872,890962,1.068463745
2023/5/30,0.047397075,0.033181707,0.064800048,0.214004054,591166,589910,0.997875385
2023/5/31,0.056667302,0.040453809,0.049771229,0.106411988,1579000,1171712,0.742059531
2023/6/1,0.087254185,0.022421843,0.10358197,0.211422005,502952,486000,0.966294994
2023/6/2,0.072378405,0.033554173,0.11253908,0.258967448,550458,715432,1.299703156
2023/6/5,0.092591808,0.03446972,0.081483043,0.236034719,824326,695342,0.843527925
2023/6/6,0.048793329,0.033025212,0.075984201,0.221076704,564996,636338,1.12626992
2023/6/7,0.070257227,0.045671306,0.07846312,0.193785235,283310,1093594,3.860061417
2023/6/8,0.123149385,0.037163831,0.101769114,0.30172472,732966,520164,0.709670026
2023/6/9,0.072019186,0.03236552,0.128305837,0.275100407,477146,553250,1.159498351
2023/6/12,0.083105173,0.033182347,0.114188573,0.260153956,672266,730046,1.085948122
2023/6/13,0.082182199,0.053897391,0.134628684,0.269744671,700694,1054974,1.505613007
2023/6/14,0.073306024,0.053296635,0.081559341,0.202250776,1178608,1035554,0.878624615
2023/6/15,0.111578016,0.045111414,0.21399115,0.408559907,517188,530196,1.025151396
2023/6/16,0.14072319,0.047845077,0.18197274,0.499784478,586660,515422,0.878570211
2023/6/19,0.151703123,0.076809605,0.253602879,0.792334693,580026,571184,0.984755856
2023/6/20,0.193977044,0.134899348,0.266033503,1.150127926,731282,652948,0.892881269
2023/6/26,0.058642012,0.033243502,0.080067207,0.203757391,513564,498594,0.970850761
2023/6/27,0.058907032,0.031512528,0.061704036,0.178042159,739646,473214,0.639784437
2023/6/28,0.029357647,0.028921884,0.050179381,0.176316766,727946,809360,1.111840713
2023/6/29,0.058902211,0.034629468,0.116807334,0.24657861,509782,566078,1.110431518
2023/6/30,0.047921263,0.035567541,0.121567273,0.193432324,353730,550398,1.555983377
