Date,PCR,IV_C,STD_C,IV_P,STD_P
2020-01-02,2.212877018,0.061189927,0.057173503,0.085537789,0.328791745
2020-01-03,1.130865753,0.091918811,0.049518147,0.131037856,0.451676076
2020-01-06,0.650203054,0.121001779,0.056702671,0.140946561,0.630884853
2020-01-07,0.717000736,0.098655259,0.058177443,0.124050358,0.564086913
2020-01-08,0.816317511,0.093091369,0.067124187,0.156114611,0.579453405
2020-01-09,1.04578471,0.133488313,0.054059091,0.280071571,0.72501571
2020-01-10,1.069087332,0.142214594,0.048199171,0.266053164,0.698557123
2020-01-13,1.527769951,0.139926087,0.103918914,0.348603705,1.333902794
2020-01-14,1.31801687,0.188323763,0.169574935,0.380773039,1.822572312
2020-01-15,,,,,
2020-01-16,1.212536718,0.06477871,0.022819111,0.11911655,0.379560778
2020-01-17,1.11304458,0.062348403,0.021286651,0.103490515,0.287792759
2020-01-20,1.295158131,0.063815591,0.026295506,0.103933574,0.325637265
2020-01-30,0.349330405,0.122597682,0.067450902,0.181612372,0.614171269
2020-01-31,0.849478384,0.104319569,0.038585875,0.186513333,0.354196962
2020-02-03,1.085532244,0.104768198,0.045558994,0.19803631,0.383400911
2020-02-04,1.706082331,0.074809359,0.053178253,0.166232369,0.391813426
2020-02-05,1.028925871,0.073092053,0.051800523,0.09677891,0.286059078
2020-02-06,1.202124797,0.085114328,0.036904574,0.221666757,0.467145888
2020-02-07,1.078130957,0.13578509,0.044550176,0.166867461,0.517075979
2020-02-10,1.173471431,0.111527875,0.048686641,0.214359775,0.552646798
2020-02-11,1.394086294,0.092681612,0.057885702,0.182473151,0.635418403
2020-02-12,2.083115941,0.088482678,0.072390652,0.150187137,0.541675631
2020-02-13,1.116588483,0.167447647,0.048150734,0.244245573,0.783875463
2020-02-14,1.249566899,0.135761451,0.0586932,0.246396417,0.683640185
2020-02-17,1.079275198,0.195888274,0.102550873,0.306613254,1.230067838
2020-02-18,0.859761779,0.301993651,0.18837145,0.415203153,1.956238031
2020-02-19,,,,,
2020-02-20,1.002619546,0.086747011,0.032331098,0.111136861,0.373843086
2020-02-21,1.082154845,0.07625972,0.031927745,0.109652214,0.309015974
2020-02-24,1.02064368,0.08939921,0.04241182,0.117744471,0.327961864
2020-02-25,1.481021111,0.062628126,0.047613775,0.138489581,0.212454509
2020-02-26,1.022902898,0.063404285,0.051724696,0.08433784,0.291743038
2020-02-27,1.059005807,0.153566809,0.043854527,0.170836022,0.349174086
2020-03-02,1.008918555,0.153803455,0.059068476,0.200361198,0.39526305
2020-03-03,1.085053391,0.089913451,0.061134696,0.168113686,0.295058862
2020-03-04,1.780871594,0.072688994,0.066658444,0.117475924,0.250107146
2020-03-05,1.152452643,0.099617891,0.03902782,0.223028781,0.441942072
2020-03-06,0.967721893,0.152436153,0.04669225,0.190539313,0.471164422
2020-03-09,0.864326941,0.236468936,0.075218308,0.261731614,0.53236689
2020-03-10,1.220624909,0.138028431,0.083908405,0.348681393,0.431351139
2020-03-11,0.488441485,0.173667674,0.095672356,0.26033517,0.763547088
2020-03-12,0.817934523,0.401298264,0.115734029,0.494394044,0.634337452
2020-03-13,1.174656831,0.349675807,0.141951858,0.858506051,0.621572985
