"settledate","contract","settleprice"
"2025/12/31","202512W5","28982"
"2025/12/26","202512F4","28547"
"2025/12/24","202512W4","28348"
"2025/12/19","202512F3","27741"
"2025/12/17","202512","27483"
"2025/12/12","202512F2","28143"
"2025/12/10","202512W2","28359"
"2025/12/05","202512F1","27892"
"2025/12/03","202512W1","27749"
"2025/11/28","202511F4","27789"
"2025/11/26","202511W4","27283"
"2025/11/21","202511F3","26503"
"2025/11/19","202511","26615"
"2025/11/14","202511F2","27455"
"2025/11/12","202511W2","28058"
"2025/11/07","202511F1","27683"
"2025/11/05","202511W1","27752"
"2025/10/31","202510F5","28444"
"2025/10/29","202510W5","28321"
"2025/10/27","202510F4","28104"
"2025/10/22","202510W4","27691"
"2025/10/17","202510F3","27383"
"2025/10/15","202510","27156"
"2025/10/13","202510F2","26874"
"2025/10/08","202510W2","27056"
"2025/10/03","202510F1","26698"
"2025/10/01","202510W1","26043"
"2025/09/26","202509F4","25572"
"2025/09/24","202509W4","26147"
"2025/09/19","202509F3","25695"
"2025/09/17","202509","25433"
"2025/09/12","202509F2","25405"
"2025/09/10","202509W2","25250"
"2025/09/05","202509F1","24434"
"2025/09/03","202509W1","24082"
"2025/08/29","202508F5","24347"
"2025/08/27","202508W4","24529"
"2025/08/22","202508F4","23854"
"2025/08/20","202508","23637"
"2025/08/15","202508F3","24342"
"2025/08/13","202508W2","24348"
"2025/08/08","202508F2","24013"
"2025/08/06","202508W1","23479"
"2025/08/01","202508F1","23456"
"2025/07/30","202507W5","23416"
"2025/07/25","202507F4","23356"
"2025/07/23","202507W4","23270"
"2025/07/18","202507F3","23323"
"2025/07/16","202507","23047"
"2025/07/11","202507F2","22744"
"2025/07/09","202507W2","22490"
"2025/07/02","202507W1","22491"
"2025/06/25","202506W4","22407"
"2025/06/18","202506","22307"
"2025/06/11","202506W2","22405"
"2025/06/04","202506W1","21580"
"2025/05/28","202505W4","21387"
"2025/05/21","202505","21848"
"2025/05/14","202505W2","21751"
"2025/05/07","202505W1","20466"
"2025/04/30","202504W5","20211"
"2025/04/23","202504W4","19583"
"2025/04/16","202504","19548"
"2025/04/09","202504W2","17430"
"2025/04/02","202504W1","21284"
"2025/03/26","202503W4","22300"
"2025/03/19","202503","21964"
"2025/03/12","202503W2","22235"
"2025/03/05","202503W1","22928"
"2025/02/26","202502W4","23371"
"2025/02/19","202502","23607"
"2025/02/12","202502W2","23315"
"2025/02/05","202502W1","23145"
"2025/02/03","202501W5","22678"
"2025/01/22","202501W4","23589"
"2025/01/15","202501","22519"
"2025/01/08","202501W2","23458"
"2025/01/02","202501W1","22733"
"2024/12/25","202412W4","23277"
"2024/12/18","202412","23105"
"2024/12/11","202412W2","22902"
"2024/12/04","202412W1","23201"
"2024/11/27","202411W4","22382"
"2024/11/20","202411","22686"
"2024/11/13","202411W2","22912"
"2024/11/06","202411W1","23261"
"2024/10/30","202410W5","22837"
"2024/10/23","202410W4","23335"
"2024/10/16","202410","22986"
"2024/10/09","202410W2","22721"
"2024/10/04","202410W1","22229"
