JID,JTYPE,VERDICT
"TPBA,91,訴,2130,20030709,2",ADMINISTRATIVE,Lose
"TPBA,90,訴,5379,20021011,2",ADMINISTRATIVE,Lose
"TPAA,91,判,219,20020201,1",ADMINISTRATIVE,Win
"TPBA,93,訴,615,20050421,1",ADMINISTRATIVE,Lose
"IPCA,102,行商訴,119,20140430,1",ADMINISTRATIVE,Lose
"TPBA,95,訴,1758,20070214,2",ADMINISTRATIVE,Lose
"IPCA,107,行專訴,28,20180913,3",ADMINISTRATIVE,Lose
"TPBA,92,訴,1788,20040719,2",ADMINISTRATIVE,Lose
"IPCA,104,行商訴,69,20151105,2",ADMINISTRATIVE,Lose
"IPCA,98,行專訴,37,20090813,3",ADMINISTRATIVE,Mixed
"TPBA,91,訴,938,20030327,1",ADMINISTRATIVE,Mixed
"IPCA,110,行商訴,55,20211230,2",ADMINISTRATIVE,Lose
"TPBA,92,訴,5531,20050429,1",ADMINISTRATIVE,Lose
"TPAA,88,判,4002,19991126",ADMINISTRATIVE,Lose
"IPCA,101,行專訴,108,20130327,3",ADMINISTRATIVE,Lose
"IPCA,100,行商訴,63,20111103,2",ADMINISTRATIVE,Win
"TPAA,91,判,1273,20020722,1",ADMINISTRATIVE,Lose
"TPAA,98,判,1002,20090827,1",ADMINISTRATIVE,Lose
"IPCA,107,行商訴,84,20190430,2",ADMINISTRATIVE,Lose
"IPCA,106,行專訴,53,20180329,3",ADMINISTRATIVE,Lose
"TPAA,95,判,750,20060522,1",ADMINISTRATIVE,Lose
"IPCA,105,行專訴,62,20161229,2",ADMINISTRATIVE,Mixed
"TPBA,96,訴,729,20071122,2",ADMINISTRATIVE,Lose
"TPAA,90,判,2224,20011129,1",ADMINISTRATIVE,Lose
"TPAA,91,判,1597,20020902,1",ADMINISTRATIVE,Lose
"IPCA,100,行專訴,121,20120426,2",ADMINISTRATIVE,Lose
"TPBA,90,訴,6197,20021031,2",ADMINISTRATIVE,Lose
"IPCA,102,行專訴,34,20130724,2",ADMINISTRATIVE,Lose
"IPCA,104,行專訴,49,20151113,3",ADMINISTRATIVE,Lose
"IPCA,100,行商訴,157,20120329,2",ADMINISTRATIVE,Lose
"TPBA,93,訴,1502,20051116,3",ADMINISTRATIVE,Lose
"IPCA,101,行專訴,117,20130425,3",ADMINISTRATIVE,Lose
"TPBA,91,訴,242,20021212,2",ADMINISTRATIVE,Lose
"TPBA,91,訴,1354,20030528,2",ADMINISTRATIVE,Lose
"TPBA,97,訴,251,20080827,2",ADMINISTRATIVE,Lose
"TPBA,90,訴,2605,20020808,1",ADMINISTRATIVE,Mixed
"TPBA,94,訴,3421,20061116,2",ADMINISTRATIVE,Lose
"IPCA,98,行商訴,2,20090527,3",ADMINISTRATIVE,Lose
"IPCA,100,行專更(一),1,20110505,2",ADMINISTRATIVE,Lose
"TPBA,90,訴,3510,20020604,2",ADMINISTRATIVE,Win
"TPBA,89,訴,2896,20011101,2",ADMINISTRATIVE,Lose
"IPCA,100,行商訴,84,20111109,2",ADMINISTRATIVE,Lose
"TPAA,96,判,725,20070430,1",ADMINISTRATIVE,Lose
"TPBA,95,訴,57,20061226,2",ADMINISTRATIVE,Lose
"TPBA,91,訴,3247,20030916,2",ADMINISTRATIVE,Lose
"TPBA,92,訴,4218,20041110,2",ADMINISTRATIVE,Lose
"TPBA,97,訴,895,20080903,1",ADMINISTRATIVE,Lose
"TPBA,92,訴,1136,20041021,2",ADMINISTRATIVE,Lose
"IPCA,104,行商訴,39,20150730,1",ADMINISTRATIVE,Lose
"TPBA,92,訴更一,102,20040812,1",ADMINISTRATIVE,Mixed
"TPAA,88,判,2383,19990610",ADMINISTRATIVE,Lose
"IPCA,101,行專更(二),3,20130718,2",ADMINISTRATIVE,Lose
"TPBA,91,訴,4505,20040226,2",ADMINISTRATIVE,Lose
"TPBA,95,訴,3556,20070725,1",ADMINISTRATIVE,Lose
"IPCA,112,行商更一,3,20240321,1",ADMINISTRATIVE,Lose
"TPAA,96,判,165,20070131,1",ADMINISTRATIVE,Lose
"IPCA,97,行商訴,55,20081225,3",ADMINISTRATIVE,Lose
"IPCA,102,行專訴,7,20130626,4",ADMINISTRATIVE,Lose
"TPBA,95,訴,4421,20071213,2",ADMINISTRATIVE,Lose
"IPCA,100,行專訴,32,20110811,3",ADMINISTRATIVE,Lose
"IPCA,100,行商訴,14,20110714,2",ADMINISTRATIVE,Lose
"IPCA,97,行商訴,101,20090331,2",ADMINISTRATIVE,Lose
"TPBA,95,訴,3963,20070829,1",ADMINISTRATIVE,Lose
"TPAA,96,判,347,20070308,1",ADMINISTRATIVE,Lose
"TPBA,93,訴,1652,20050629,1",ADMINISTRATIVE,Lose
"IPCA,105,行專訴,18,20160825,4",ADMINISTRATIVE,Lose
"IPCA,101,行商訴,100,20121129,2",ADMINISTRATIVE,Lose
"TPBA,95,訴,850,20070315,1",ADMINISTRATIVE,Mixed
"TPAA,98,判,622,20090604,1",ADMINISTRATIVE,Lose
"TPAA,91,判,1132,20020704,1",ADMINISTRATIVE,Lose
"IPCA,98,行商訴,170,20091224,2",ADMINISTRATIVE,Lose
"TPBA,90,訴,5132,20021106,2",ADMINISTRATIVE,Lose
"TPAA,96,判,1905,20071030,1",ADMINISTRATIVE,Lose
"IPCA,97,行商訴,34,20081204,2",ADMINISTRATIVE,Lose
"IPCA,112,行商訴,57,20240502,1",ADMINISTRATIVE,Lose
"TPBA,96,訴,3088,20080312,2",ADMINISTRATIVE,Lose
"TPAA,92,判,838,20030626,1",ADMINISTRATIVE,Lose
"TPBA,97,訴,797,20081009,2",ADMINISTRATIVE,Lose
"IPCA,99,行專訴,165,20110505,3",ADMINISTRATIVE,Lose
"TPBA,90,訴,5146,20020807,2",ADMINISTRATIVE,Lose
"TPBA,94,訴,3177,20061030,2",ADMINISTRATIVE,Lose
"IPCA,108,行專訴,79,20200529,4",ADMINISTRATIVE,Lose
"TPBA,92,訴,1376,20040722,1",ADMINISTRATIVE,Lose
"IPCA,98,行專訴,137,20100422,3",ADMINISTRATIVE,Lose
"TPAA,100,判,520,20110414,1",ADMINISTRATIVE,Lose
"TPAA,99,判,288,20100325,1",ADMINISTRATIVE,Lose
"IPCA,99,行專訴,130,20110127,3",ADMINISTRATIVE,Win
"TPBA,92,訴,1412,20040917,1",ADMINISTRATIVE,Lose
"TPBA,89,訴,2244,20010829,2",ADMINISTRATIVE,Lose
"TPAA,90,判,2512,20011221,1",ADMINISTRATIVE,Lose
"TPBA,92,訴,4353,20041022,1",ADMINISTRATIVE,Lose
"IPCA,108,行商訴,70,20191225,2",ADMINISTRATIVE,Win
"IPCA,105,行商訴,116,20170316,2",ADMINISTRATIVE,Lose
"IPCA,107,行著訴,3,20200212,2",ADMINISTRATIVE,Lose
"TPBA,97,訴,1346,20080903,1",ADMINISTRATIVE,Lose
"TPBA,91,訴,3368,20031204,1",ADMINISTRATIVE,Mixed
"IPCA,112,行專訴,21,20231116,3",ADMINISTRATIVE,Lose
"IPCA,107,行商訴,72,20190117,2",ADMINISTRATIVE,Lose
"IPCA,102,行商訴,66,20131120,3",ADMINISTRATIVE,Win
"TPAA,90,判,1131,20010622,1",ADMINISTRATIVE,Lose
"TPBA,89,訴,2496,20020206,3",ADMINISTRATIVE,Lose
"TPBA,94,訴,2027,20060824,2",ADMINISTRATIVE,Lose
"IPCA,109,行商訴,81,20210128,2",ADMINISTRATIVE,Lose
"TPAA,92,判,657,20030529,1",ADMINISTRATIVE,Lose
"TPBA,97,訴,249,20080724,2",ADMINISTRATIVE,Lose
"TPAA,95,判,1284,20060810,1",ADMINISTRATIVE,Lose
"IPCA,97,行專訴,37,20081218,4",ADMINISTRATIVE,Lose
"TPBA,91,訴,2331,20031009,2",ADMINISTRATIVE,Lose
"TPBA,90,再,5,20020531,1",ADMINISTRATIVE,Lose
"IPCA,97,行商訴,5,20081113,1",ADMINISTRATIVE,Lose
"TPBA,96,訴,4123,20080424,2",ADMINISTRATIVE,Lose
"TPBA,92,訴,4691,20050120,2",ADMINISTRATIVE,Lose
"IPCA,105,行專訴,58,20161229,3",ADMINISTRATIVE,Mixed
"TPAA,107,判,162,20180329,1",ADMINISTRATIVE,Lose
"TPBA,92,訴,1340,20041028,2",ADMINISTRATIVE,Lose
"TPAA,109,上,706,20210825,1",ADMINISTRATIVE,Lose
"TPBA,89,訴,121,20010426,1",ADMINISTRATIVE,Win
"IPCA,102,行專訴,76,20140212,4",ADMINISTRATIVE,Lose
"TPAA,104,判,699,20151126,1",ADMINISTRATIVE,Lose
"TPAA,89,判,254,20000127",ADMINISTRATIVE,Lose
"TPBA,96,訴,1377,20080110,2",ADMINISTRATIVE,Lose
"IPCA,104,行專更(一),8,20160407,2",ADMINISTRATIVE,Win
"TPBA,93,訴,2786,20050908,1",ADMINISTRATIVE,Lose
"IPCA,97,行商訴,42,20081113,1",ADMINISTRATIVE,Lose
"IPCA,103,行商訴,108,20141127,2",ADMINISTRATIVE,Win
"IPCA,110,行專訴,8,20211028,3",ADMINISTRATIVE,Lose
"TPAA,96,判,208,20070208,1",ADMINISTRATIVE,Lose
"TPAA,87,判,2271,19981111,1",ADMINISTRATIVE,Lose
"IPCA,110,行商訴,25,20211021,1",ADMINISTRATIVE,Lose
"TPBA,96,訴,339,20071213,2",ADMINISTRATIVE,Mixed
"TPAA,95,判,2139,20061221,1",ADMINISTRATIVE,Lose
"IPCA,109,行專訴,56,20210324,1",ADMINISTRATIVE,Lose
"IPCA,100,行商訴,55,20110915,2",ADMINISTRATIVE,Lose
"TPBA,90,訴,95,20011031,2",ADMINISTRATIVE,Lose
"TPAA,101,判,773,20120823,1",ADMINISTRATIVE,Lose
"TPBA,91,訴,5139,20040128,3",ADMINISTRATIVE,Lose
"IPCA,106,行商訴,97,20171130,1",ADMINISTRATIVE,Lose
"IPCA,104,行著訴,2,20160629,3",ADMINISTRATIVE,Lose
"TPBA,92,訴,4737,20041130,1",ADMINISTRATIVE,Lose
"TPAA,94,判,1553,20051013,1",ADMINISTRATIVE,Lose
"IPCA,98,行專訴,13,20090730,3",ADMINISTRATIVE,Lose
"IPCA,99,行專訴,2,20100527,3",ADMINISTRATIVE,Lose
"TPAA,88,判,3603,19990930",ADMINISTRATIVE,Lose
"IPCA,102,行商訴,111,20140122,2",ADMINISTRATIVE,Win
"TPBA,96,訴,807,20071115,1",ADMINISTRATIVE,Lose
"TPBA,97,訴,1145,20081022,2",ADMINISTRATIVE,Lose
"IPCA,99,行商訴,180,20101230,1",ADMINISTRATIVE,Lose
"TPAA,92,判,574,20030515,1",ADMINISTRATIVE,Lose
"TPAA,89,判,938,20000330",ADMINISTRATIVE,Lose
"IPCA,107,行專訴,40,20181025,4",ADMINISTRATIVE,Lose
"TPAA,88,判,3507,19990923",ADMINISTRATIVE,Lose
"TPAA,90,判,1706,20010924,1",ADMINISTRATIVE,Lose
"IPCA,98,行商更(一),10,20100422,2",ADMINISTRATIVE,Win
"TPAA,95,判,1182,20060731,1",ADMINISTRATIVE,Lose
"IPCA,110,行專訴,20,20211028,3",ADMINISTRATIVE,Lose
