dataset,leakage,feature,run,model,chi_square,best_c,test_accuracy,test_macro_f1,path
administrative_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,Yes,4.0,0.830755634114008,0.3804593546882425,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.8753866548828988,0.3183707292197858,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,No,0.5,0.8298718515245249,0.4046921502792233,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,No,0.0625,0.8758285461776403,0.3184937241353386,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,bow,quick_20260504_153911,BOW + SVM,Yes,0.25,0.8708333333333333,0.4342311269389491,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,no_leakage,bow,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.875,0.3111111111111111,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tf,full_20260504_154912,TF + SVM,Yes,4.0,0.8771542200618648,0.3411948394466689,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tf,full_20260504_154912,TF + SVM,No,4.0,0.8731771984091914,0.3427434410430361,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,No,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tf,quick_20260504_153911,TF + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tf,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,TFIDF + SVM,Yes,4.0,0.869200176756518,0.3753317519174349,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,Yes,2.0,0.8736190897039329,0.3109223873555083,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,4.0,0.856827220503756,0.3894178074306,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,0.0625,0.8753866548828988,0.3111844172164624,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tfidf,quick_20260504_153911,TFIDF + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,no_leakage,tfidf,quick_20260504_153911,Proposed MNIR + SVM,Yes,1.0,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,with_leakage,bow,full_20260504_154912,BOW + SVM,Yes,0.25,0.8448961555457357,0.4023056826271634,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.8753866548828988,0.3148169617898558,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,bow,full_20260504_154912,BOW + SVM,No,0.25,0.8426866990720283,0.4214175827957511,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,No,0.0625,0.8749447635881573,0.31471334009958,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,bow,quick_20260504_153911,BOW + SVM,Yes,1.0,0.8625,0.3640581891146225,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,with_leakage,bow,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.8541666666666666,0.3071161048689139,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tf,full_20260504_154912,TF + SVM,Yes,2.0,0.8775961113566063,0.3344757490667386,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tf,full_20260504_154912,TF + SVM,No,2.0,0.8780380026513478,0.3345799231937845,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,No,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tf,quick_20260504_153911,TF + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tf,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,Yes,4.0,0.8577110030932391,0.3802988245032696,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,Yes,1.0,0.8731771984091914,0.3109118086696562,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,4.0,0.856827220503756,0.3799581474028057,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,0.5,0.8722934158197083,0.3106704438149197,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,quick_20260504_153911,TFIDF + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
