dataset,feature,model,No,Yes,No_minus_Yes
administrative_win_lose_mixed,bow,BOW + SVM,0.4046921502792233,0.3804593546882425,0.024232795590980793
administrative_win_lose_mixed,bow,Proposed MNIR + SVM,0.3184937241353386,0.3183707292197858,0.00012299491555278763
administrative_win_lose_mixed,tf,Proposed MNIR + SVM,0.3113518605746585,0.3113518605746585,0.0
administrative_win_lose_mixed,tf,TF + SVM,0.3427434410430361,0.3411948394466689,0.0015486015963672162
administrative_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.3111844172164624,0.3109223873555083,0.00026202986095408276
administrative_win_lose_mixed,tfidf,TFIDF + SVM,0.3894178074306,0.3753317519174349,0.014086055513165108
civil_win_lose_mixed,bow,BOW + SVM,0.4163644464363065,0.4027542772668971,0.01361016916940938
civil_win_lose_mixed,bow,Proposed MNIR + SVM,0.3419182551726423,0.3357685441674361,0.006149711005206171
civil_win_lose_mixed,tf,Proposed MNIR + SVM,0.2959005376344086,0.320197030920064,-0.02429649328565542
civil_win_lose_mixed,tf,TF + SVM,0.4390523312689893,0.4170977294599078,0.021954601809081487
civil_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.2965761228038616,0.3525234025234025,-0.05594727971954089
civil_win_lose_mixed,tfidf,TFIDF + SVM,0.4289142892626499,0.4277972992985715,0.0011169899640783854
criminal_win_lose_mixed,bow,BOW + SVM,0.5974701561288046,0.5636816959952469,0.03378846013355774
criminal_win_lose_mixed,bow,Proposed MNIR + SVM,0.3732518648485035,0.3635510051993495,0.009700859649153959
criminal_win_lose_mixed,tf,Proposed MNIR + SVM,0.3444949430434071,0.3702189031543745,-0.025723960110967392
criminal_win_lose_mixed,tf,TF + SVM,0.5248173665923194,0.5772699607148786,-0.052452594122559204
criminal_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.3718861607393,0.3902188337587152,-0.018332673019415213
criminal_win_lose_mixed,tfidf,TFIDF + SVM,0.583129340943092,0.5621741483872863,0.02095519255580569
cwc_win_lose_mixed,bow,BOW + SVM,0.6806696533980969,0.6541390103070531,0.026530643091043804
cwc_win_lose_mixed,bow,Proposed MNIR + SVM,0.5441303677507906,0.542013683957418,0.002116683793372598
cwc_win_lose_mixed,tf,Proposed MNIR + SVM,0.5431433949205331,0.5453635934281825,-0.002220198507649429
cwc_win_lose_mixed,tf,TF + SVM,0.5837650004316671,0.5796932130416911,0.004071787389976045
cwc_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.5391032296001192,0.5372879451746995,0.001815284425419783
cwc_win_lose_mixed,tfidf,TFIDF + SVM,0.5754780050808931,0.5715595504146304,0.003918454666262727
