dataset,feature,model,No,Yes,No_minus_Yes
administrative_win_lose_mixed,bow,BOW + SVM,0.4214175827957511,0.4023056826271634,0.019111900168587714
administrative_win_lose_mixed,bow,Proposed MNIR + SVM,0.31471334009958,0.3148169617898558,-0.00010362169027577917
administrative_win_lose_mixed,tf,Proposed MNIR + SVM,0.3113518605746585,0.3113518605746585,0.0
administrative_win_lose_mixed,tf,TF + SVM,0.3345799231937845,0.3344757490667386,0.00010417412704588624
administrative_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.3106704438149197,0.3109118086696562,-0.00024136485473646996
administrative_win_lose_mixed,tfidf,TFIDF + SVM,0.3799581474028057,0.3802988245032696,-0.0003406771004638709
civil_win_lose_mixed,bow,BOW + SVM,0.4346249468927635,0.4077692708772442,0.026855676015519303
civil_win_lose_mixed,bow,Proposed MNIR + SVM,0.3562335864011841,0.3387493259745615,0.0174842604266226
civil_win_lose_mixed,tf,Proposed MNIR + SVM,0.2877956115447483,0.3369742921454803,-0.049178680600731994
civil_win_lose_mixed,tf,TF + SVM,0.4168659172289713,0.4047312896632744,0.012134627565696943
civil_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.3005907751949808,0.3643839911249382,-0.0637932159299574
civil_win_lose_mixed,tfidf,TFIDF + SVM,0.4095960239484579,0.4248405103668261,-0.015244486418368175
criminal_win_lose_mixed,bow,BOW + SVM,0.594938891384597,0.5641998644505914,0.030739026934005542
criminal_win_lose_mixed,bow,Proposed MNIR + SVM,0.367092591874312,0.3603313320649586,0.0067612598093533816
criminal_win_lose_mixed,tf,Proposed MNIR + SVM,0.3585787223587446,0.366934525782994,-0.008355803424249408
criminal_win_lose_mixed,tf,TF + SVM,0.5798042707713537,0.5263386753614343,0.05346559540991935
criminal_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.3717334414166315,0.382484774425432,-0.01075133300880049
criminal_win_lose_mixed,tfidf,TFIDF + SVM,0.5712932304460286,0.5598267680067295,0.011466462439299163
cwc_win_lose_mixed,bow,BOW + SVM,0.6385228154906174,0.6460228950989504,-0.007500079608332988
cwc_win_lose_mixed,bow,Proposed MNIR + SVM,0.5646772821198492,0.5705991539324873,-0.005921871812638035
cwc_win_lose_mixed,tf,Proposed MNIR + SVM,0.5632627925204344,0.5608024691358025,0.0024603233846319794
cwc_win_lose_mixed,tf,TF + SVM,0.5818530808770902,0.5818530808770902,0.0
cwc_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.5602058242952515,0.5623458481775829,-0.0021400238823314766
cwc_win_lose_mixed,tfidf,TFIDF + SVM,0.5898112088133397,0.5898112088133397,0.0
