leakage,dataset,feature,model,accuracy_no_chi2,accuracy_chi2,macro_f1_no_chi2,macro_f1_chi2,macro_f1_delta_no_minus_chi2,accuracy_delta_no_minus_chi2,dataset_label,model_label,feature_label,label
no_leakage,administrative_win_lose_mixed,bow,BOW + SVM,0.8298718515245249,0.830755634114008,0.4046921502792233,0.3804593546882425,0.024232795590980793,-0.0008837825894830731,Administrative,Direct SVM,BOW,Administrative | BOW | Direct SVM
no_leakage,administrative_win_lose_mixed,bow,Proposed MNIR + SVM,0.8758285461776403,0.8753866548828988,0.3184937241353386,0.3183707292197858,0.00012299491555278763,0.00044189129474148103,Administrative,MNIR + SVM,BOW,Administrative | BOW | MNIR + SVM
no_leakage,administrative_win_lose_mixed,tf,Proposed MNIR + SVM,0.8762704374723818,0.8762704374723818,0.3113518605746585,0.3113518605746585,0.0,0.0,Administrative,MNIR + SVM,TF,Administrative | TF | MNIR + SVM
no_leakage,administrative_win_lose_mixed,tf,TF + SVM,0.8731771984091914,0.8771542200618648,0.3427434410430361,0.3411948394466689,0.0015486015963672162,-0.00397702165267344,Administrative,Direct SVM,TF,Administrative | TF | Direct SVM
no_leakage,administrative_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.8753866548828988,0.8736190897039329,0.3111844172164624,0.3109223873555083,0.00026202986095408276,0.0017675651789659241,Administrative,MNIR + SVM,TFIDF,Administrative | TFIDF | MNIR + SVM
no_leakage,administrative_win_lose_mixed,tfidf,TFIDF + SVM,0.856827220503756,0.869200176756518,0.3894178074306,0.3753317519174349,0.014086055513165108,-0.012372956252761913,Administrative,Direct SVM,TFIDF,Administrative | TFIDF | Direct SVM
no_leakage,civil_win_lose_mixed,bow,BOW + SVM,0.6522506619593998,0.6372462488967343,0.4163644464363065,0.4027542772668971,0.01361016916940938,0.015004413062665534,Civil,Direct SVM,BOW,Civil | BOW | Direct SVM
no_leakage,civil_win_lose_mixed,bow,Proposed MNIR + SVM,0.6769638128861429,0.677846425419241,0.3419182551726423,0.3357685441674361,0.006149711005206171,-0.0008826125330980705,Civil,MNIR + SVM,BOW,Civil | BOW | MNIR + SVM
no_leakage,civil_win_lose_mixed,tf,Proposed MNIR + SVM,0.6734333627537511,0.6866725507502206,0.2959005376344086,0.320197030920064,-0.02429649328565542,-0.013239187996469504,Civil,MNIR + SVM,TF,Civil | TF | MNIR + SVM
no_leakage,civil_win_lose_mixed,tf,TF + SVM,0.6919682259488085,0.6875551632833187,0.4390523312689893,0.4170977294599078,0.021954601809081487,0.0044130626654897975,Civil,Direct SVM,TF,Civil | TF | Direct SVM
no_leakage,civil_win_lose_mixed,tfidf,Proposed MNIR + SVM,0.6699029126213593,0.6954986760812003,0.2965761228038616,0.3525234025234025,-0.05594727971954089,-0.025595763459841048,Civil,MNIR + SVM,TFIDF,Civil | TFIDF | MNIR + SVM
no_leakage,civil_win_lose_mixed,tfidf,TFIDF + SVM,0.6840247131509267,0.6796116504854369,0.4289142892626499,0.4277972992985715,0.0011169899640783854,0.0044130626654897975,Civil,Direct SVM,TFIDF,Civil | TFIDF | Direct SVM
no_leakage,criminal_win_lose_mixed,bow,BOW + SVM,0.9487277597092022,0.9525540462980676,0.5974701561288046,0.5636816959952469,0.03378846013355774,-0.003826286588865413,Criminal,Direct SVM,BOW,Criminal | BOW | Direct SVM
no_leakage,criminal_win_lose_mixed,bow,Proposed MNIR + SVM,0.9259613545054524,0.9251960971876794,0.3732518648485035,0.3635510051993495,0.009700859649153959,0.0007652573177729938,Criminal,MNIR + SVM,BOW,Criminal | BOW | MNIR + SVM
