JID,JTYPE,VERDICT
"IPCV,108,民專上,29,20200312,3",CIVIL,Lose
"TPHV,94,智上,13,20050726,1",CIVIL,Lose
"IPCV,101,民專訴,151,20130809,2",CIVIL,Lose
"IPCV,105,民商訴,13,20161021,1",CIVIL,Lose
"IPCV,99,民商訴,36,20110610,1",CIVIL,Lose
"IPCV,99,民專訴,182,20110128,2",CIVIL,Lose
"IPCV,101,民專訴,37,20130104,1",CIVIL,Lose
"IPCV,101,民專上,46,20140220,3",CIVIL,Lose
"IPCV,109,民專上,6,20210826,3",CIVIL,Mixed
"IPCV,101,民商上,7,20131121,1",CIVIL,Lose
"IPCV,98,民商上,5,20100325,3",CIVIL,Mixed
"IPCV,102,民著訴,41,20131120,1",CIVIL,Lose
"IPCV,102,民專訴,51,20140327,3",CIVIL,Lose
"IPCV,100,民專訴,115,20120502,2",CIVIL,Lose
"IPCV,109,民專訴,21,20200817,2",CIVIL,Mixed
"IPCV,108,民商訴,55,20200724,1",CIVIL,Win
"IPCV,109,民專上,49,20210729,2",CIVIL,Lose
"IPCV,108,民著上,11,20200305,1",CIVIL,Lose
"IPCV,102,民專訴,10,20130903,2",CIVIL,Lose
"IPCV,106,民專上,8,20171019,2",CIVIL,Lose
"SLDV,97,智,3,20101214,2",CIVIL,Mixed
"IPCV,111,民著訴,16,20220706,1",CIVIL,Lose
"TPDV,95,智,92,20061027,1",CIVIL,Mixed
"IPCV,98,民專訴,36,20091123,2",CIVIL,Lose
"IPCV,98,民著上,17,20110707,2",CIVIL,Lose
"IPCV,103,民著訴,57,20141219,1",CIVIL,Lose
"IPCV,101,民專上,1,20121018,2",CIVIL,Lose
"IPCV,99,民專上易,35,20111110,2",CIVIL,Lose
"IPCV,101,民商訴,53,20130617,1",CIVIL,Win
"IPCV,97,民著訴,10,20081031,1",CIVIL,Win
"IPCV,107,民營訴,7,20230207,5",CIVIL,Mixed
"IPCV,102,民專上,13,20131018,3",CIVIL,Lose
"TPHV,89,上易,222,20000802",CIVIL,Lose
"IPCV,97,民專訴,29,20090202,2",CIVIL,Lose
"IPCV,97,民商上易,1,20090122,1",CIVIL,Win
"IPCV,111,民專上,17,20221027,2",CIVIL,Lose
"IPCV,107,民專上更(一),4,20200514,2",CIVIL,Mixed
"PCDV,94,智,18,20071126,3",CIVIL,Lose
"IPCV,108,民專訴,47,20191030,3",CIVIL,Lose
"IPCV,97,民專訴,25,20081225,1",CIVIL,Lose
"IPCV,112,民專訴,18,20240731,3",CIVIL,Lose
"IPCV,98,民專訴,59,20091215,2",CIVIL,Lose
"IPCV,102,民專上,47,20140320,5",CIVIL,Lose
"IPCV,108,民專上,33,20200227,3",CIVIL,Lose
"IPCV,98,民著訴,44,20100111,1",CIVIL,Mixed
"IPCV,109,民專上,21,20210527,2",CIVIL,Lose
"IPCV,104,民專訴,68,20161216,2",CIVIL,Lose
"IPCV,107,民專訴,45,20181106,2",CIVIL,Lose
"IPCV,112,民著上,11,20240104,1",CIVIL,Lose
"TPDV,94,智,76,20060529,1",CIVIL,Lose
"IPCV,101,民著訴,27,20130206,1",CIVIL,Lose
"IPCV,104,民著訴,47,20160325,1",CIVIL,Mixed
"IPCV,109,民專訴,60,20210824,2",CIVIL,Mixed
"IPCV,108,民專訴,79,20200323,2",CIVIL,Lose
"TPDV,93,智,7,20070404,5",CIVIL,Lose
"IPCV,103,民著訴,23,20150311,2",CIVIL,Mixed
"TPDV,97,智,12,20090512,1",CIVIL,Lose
"IPCV,100,民專訴,64,20120113,2",CIVIL,Mixed
"IPCV,106,民著上,13,20180830,1",CIVIL,Mixed
"TPDV,95,智,11,20080522,2",CIVIL,Lose
"IPCV,110,民著訴,51,20210824,1",CIVIL,Lose
"IPCV,104,民專上再,2,20150525,1",CIVIL,Lose
"IPCV,108,民營訴,5,20230419,3",CIVIL,Mixed
"TCDV,96,智,7,20071220,1",CIVIL,Mixed
"IPCV,104,民專上更(一),9,20170316,3",CIVIL,Lose
"IPCV,111,民商訴,43,20230203,1",CIVIL,Mixed
"IPCV,98,民專訴,31,20091005,2",CIVIL,Mixed
"IPCV,109,民專訴,19,20210112,2",CIVIL,Lose
"IPCV,99,民專訴,4,20101004,2",CIVIL,Lose
"TCHV,94,智上易,4,20080924,3",CIVIL,Lose
"IPCV,105,民商上,7,20170511,1",CIVIL,Mixed
"IPCV,100,民商訴,32,20120418,1",CIVIL,Mixed
"IPCV,111,民商上更一,6,20231109,2",CIVIL,Mixed
"IPCV,104,民專上易,3,20150903,2",CIVIL,Lose
"IPCV,98,民專訴,75,20091014,2",CIVIL,Lose
"IPCV,101,民專訴,114,20140212,4",CIVIL,Lose
"IPCV,105,民專訴,44,20170728,2",CIVIL,Mixed
"IPCV,109,民營上易,1,20200806,1",CIVIL,Mixed
"IPCV,107,民專上,35,20191003,3",CIVIL,Lose
"CHDV,94,智,11,20070711,1",CIVIL,Lose
"IPCV,108,民專訴,43,20200331,3",CIVIL,Lose
"IPCV,109,民專上,32,20210617,2",CIVIL,Lose
"IPCV,112,民商訴,10,20230822,1",CIVIL,Lose
"IPCV,101,民專上,12,20121129,2",CIVIL,Win
"IPCV,99,民專上,30,20110217,1",CIVIL,Lose
"IPCV,99,民專上更(一),7,20101007,2",CIVIL,Lose
"TPHV,93,智上,11,20041013,1",CIVIL,Lose
"IPCV,110,民著訴,92,20211228,1",CIVIL,Lose
"IPCV,110,民著訴,43,20210521,1",CIVIL,Lose
"IPCV,97,民專訴,31,20090318,2",CIVIL,Lose
"IPCV,109,民專上,1,20201231,2",CIVIL,Lose
"IPCV,110,民著訴,57,20230224,1",CIVIL,Lose
"CYDV,101,智,3,20120731,1",CIVIL,Mixed
"CHDV,93,智,17,20050331,1",CIVIL,Lose
"TPDV,112,智,14,20230817,1",CIVIL,Win
"IPCV,105,民著訴,3,20160725,1",CIVIL,Mixed
"IPCV,108,民商上易,3,20200227,1",CIVIL,Lose
"IPCV,110,民著訴,52,20210720,1",CIVIL,Mixed
"IPCV,107,民著訴,22,20181121,1",CIVIL,Lose
"IPCV,107,民專訴,74,20181218,2",CIVIL,Lose
"IPCV,102,民著訴,17,20141110,1",CIVIL,Lose
"TNDV,97,智,22,20090116,1",CIVIL,Lose
"TCDV,95,智,21,20090526,2",CIVIL,Mixed
"SLDV,93,智,17,20061215,1",CIVIL,Lose
"IPCV,100,民商上,13,20120117,1",CIVIL,Lose
"IPCV,106,民商訴,35,20180312,1",CIVIL,Mixed
"IPCV,103,民著訴,45,20151130,1",CIVIL,Lose
"IPCV,103,民著訴,7,20140610,1",CIVIL,Mixed
"SLDV,95,智,28,20110901,2",CIVIL,Lose
"TTDV,107,智,1,20180928,2",CIVIL,Mixed
"TPDV,100,智,33,20120327,1",CIVIL,Lose
"TCHV,95,智上更(一),3,20081031,1",CIVIL,Lose
"TPDV,94,智,19,20060818,1",CIVIL,Lose
"IPCV,109,民著訴,110,20210831,1",CIVIL,Mixed
"IPCV,110,民著上更(一),3,20220428,1",CIVIL,Lose
"IPCV,102,民專訴,45,20131023,2",CIVIL,Lose
"IPCV,111,民著訴,66,20230307,1",CIVIL,Lose
"IPCV,112,民著訴,14,20230612,1",CIVIL,Mixed
"TCDV,94,智,30,20060801,1",CIVIL,Lose
"IPCV,108,民專訴,29,20190930,2",CIVIL,Lose
"IPCV,100,民專上,2,20120531,3",CIVIL,Lose
"TCDV,93,智,44,20061016,3",CIVIL,Mixed
"IPCV,104,民專上,7,20151210,3",CIVIL,Lose
"IPCV,98,民專訴,38,20090629,2",CIVIL,Lose
"IPCV,97,民著訴,6,20081216,1",CIVIL,Lose
"IPCV,100,民著上,9,20120405,1",CIVIL,Mixed
"IPCV,105,民著上,10,20170622,1",CIVIL,Lose
"IPCV,104,民專訴,39,20150907,2",CIVIL,Lose
"IPCV,106,民專訴,76,20180423,2",CIVIL,Lose
"IPCV,102,民著上,27,20141120,1",CIVIL,Lose
"IPCV,103,民營訴,6,20150518,2",CIVIL,Mixed
"IPCV,99,民專訴,29,20101230,3",CIVIL,Mixed
"IPCV,106,民著訴,6,20170426,2",CIVIL,Lose
