JID,JTYPE,VERDICT
"TPHM,89,上易,4570,20001020,1",CRIMINAL,Lose
"TCDM,88,訴,1933,20010105",CRIMINAL,Lose
"TCHM,95,上易,180,20060329,1",CRIMINAL,Lose
"ILDM,106,智簡,6,20171206,1",CRIMINAL,Lose
"SCDM,98,審竹簡,1315,20091130,1",CRIMINAL,Lose
"PTDM,94,簡,1399,20051031,1",CRIMINAL,Lose
"TCDM,105,中智簡,26,20160524,1",CRIMINAL,Lose
"TCDM,103,中智簡,52,20140530,1",CRIMINAL,Lose
"CYDM,110,智簡,25,20211004,1",CRIMINAL,Lose
"TCDM,99,智訴,18,20101123,1",CRIMINAL,Lose
"IPCM,105,刑智上訴,7,20161117,1",CRIMINAL,Lose
"IPCM,102,刑智上更(四),6,20131024,2",CRIMINAL,Win
"TNDM,103,智簡,28,20140829,1",CRIMINAL,Lose
"KLDM,95,基簡,193,20060308,1",CRIMINAL,Lose
"KSDM,91,易,626,20020329,1",CRIMINAL,Lose
"KSDM,109,智簡,15,20200410,1",CRIMINAL,Lose
"PCDM,104,智訴,11,20150930,1",CRIMINAL,Win
"IPCM,98,刑智上易,49,20090702,1",CRIMINAL,Lose
"TPDM,109,智易,81,20211115,2",CRIMINAL,Lose
"TCHM,95,上易,1319,20070418,2",CRIMINAL,Lose
"IPCM,99,刑智上易,6,20100513,1",CRIMINAL,Lose
"KSDM,106,智簡,25,20170904,1",CRIMINAL,Lose
"TCDM,111,智簡,18,20221031,1",CRIMINAL,Lose
"TYDM,107,智訴,3,20181114,1",CRIMINAL,Lose
"KSDM,95,簡,4219,20061019,1",CRIMINAL,Lose
"FYEM,108,豐智簡,14,20191216,1",CRIMINAL,Lose
"KSDM,102,智簡,82,20130628,1",CRIMINAL,Lose
"KSDM,95,簡,5572,20061130,1",CRIMINAL,Lose
"CHDM,108,智簡,31,20191223,1",CRIMINAL,Lose
"IPCM,103,刑智上易,1,20140403,1",CRIMINAL,Lose
"TPHM,90,上訴,3902,20020114,1",CRIMINAL,Lose
"IPCM,105,刑智上易,84,20170831,1",CRIMINAL,Lose
"IPCM,113,刑智上訴,8,20241128,1",CRIMINAL,Lose
"KSDM,92,易,521,20030815,1",CRIMINAL,Lose
"KSDM,111,智簡,47,20230208,1",CRIMINAL,Lose
"TCDM,96,簡,1369,20071221,1",CRIMINAL,Lose
"PCDM,108,智易,3,20190521,1",CRIMINAL,Lose
"TCDM,108,智訴,5,20200331,1",CRIMINAL,Win
"KSDM,94,簡上,401,20050922,1",CRIMINAL,Lose
"TCDM,101,智訴,13,20120925,1",CRIMINAL,Lose
"PCDM,106,智簡,26,20170501,1",CRIMINAL,Lose
"TPDM,108,智易,24,20190515,1",CRIMINAL,Lose
"CTDM,107,智簡,5,20180717,1",CRIMINAL,Lose
"PCDM,109,智簡,33,20200608,1",CRIMINAL,Lose
"PCDM,107,智訴,6,20190307,1",CRIMINAL,Lose
"IPCM,111,刑智上易,35,20240703,1",CRIMINAL,Lose
"TPHM,92,上訴,2753,20040227,1",CRIMINAL,Lose
"IPCM,111,刑智上易,7,20220315,1",CRIMINAL,Lose
"TPDM,95,簡,1122,20060630,1",CRIMINAL,Lose
"CYDM,101,智簡,39,20120928,1",CRIMINAL,Lose
"TNDM,99,智簡,13,20100809,1",CRIMINAL,Lose
"TCDM,102,智簡,3,20130128,1",CRIMINAL,Lose
"TYDM,101,壢智簡,6,20120629,1",CRIMINAL,Lose
"SLEM,105,士簡,329,20160613,1",CRIMINAL,Lose
"KSDM,90,易,4795,20020206,1",CRIMINAL,Lose
"PCDM,101,智簡,17,20120229,1",CRIMINAL,Lose
"TCDM,100,智簡,34,20120102,1",CRIMINAL,Lose
"IPCM,99,刑智上訴,72,20101227,1",CRIMINAL,Lose
"TCDM,97,易,4007,20081114,1",CRIMINAL,Lose
"TPDM,103,智易,12,20140409,1",CRIMINAL,Lose
"CYDM,101,智簡,11,20120419,1",CRIMINAL,Lose
"KSDM,102,智簡,37,20130326,1",CRIMINAL,Lose
"CHDM,104,智簡,35,20150821,1",CRIMINAL,Lose
"TYDM,97,桃簡,813,20080408,1",CRIMINAL,Lose
"TPDM,92,簡,1979,20030606,1",CRIMINAL,Lose
"IPCM,112,刑智上易,29,20241009,2",CRIMINAL,Lose
"PCDM,106,智簡,34,20170603,1",CRIMINAL,Lose
