JID,JTYPE,VERDICT
"CHDM,111,智簡附民,12,20221229,1",CWC,Mixed
"PCDM,112,智附民,23,20240117,1",CWC,Lose
"IPCM,108,附民上,4,20190808,1",CWC,Lose
"IPCM,104,附民上,19,20160331,1",CWC,Lose
"IPCM,108,附民上,5,20190828,1",CWC,Lose
"PCDM,102,智附民,15,20140324,1",CWC,Lose
"TYDM,107,智附民,1,20191227,1",CWC,Lose
"IPCM,99,重附民,4,20101129,1",CWC,Mixed
"TYDM,111,智附民,3,20230406,1",CWC,Mixed
"TPDM,102,智附民,1,20130509,1",CWC,Mixed
"TCDM,112,智附民,5,20230314,1",CWC,Lose
"IPCM,103,重附民上,3,20140813,1",CWC,Lose
"TPDM,89,重附民,45,20001003",CWC,Mixed
"MLDM,104,智簡附民,2,20151014,1",CWC,Mixed
"IPCM,107,重附民上,12,20190425,1",CWC,Lose
"PTDM,112,智附民,6,20240617,1",CWC,Lose
"IPCM,99,附民上,20,20110303,1",CWC,Lose
"IPCM,100,重附民上,2,20120425,2",CWC,Lose
"IPCM,101,重附民上,12,20121213,1",CWC,Lose
"NTDM,98,附民,57,20100222,1",CWC,Lose
"IPCM,107,附民上,18,20190307,1",CWC,Lose
"NTDM,102,智附民,1,20140430,2",CWC,Lose
"IPCM,102,附民上,28,20140417,3",CWC,Lose
"TNDM,100,智簡附民,7,20111223,1",CWC,Mixed
"TYDV,97,智,11,20090406,1",CWC,Mixed
"TPDM,103,智附民,13,20141126,3",CWC,Mixed
"KSDM,109,智簡附民上,1,20210412,1",CWC,Lose
"TPDM,105,智簡上附民,1,20170222,1",CWC,Mixed
"PCDM,109,智附民,20,20200604,1",CWC,Mixed
"PCDM,113,智簡上附民,2,20240918,1",CWC,Lose
"PCDM,103,智附民,25,20141030,1",CWC,Lose
"SLDM,104,智附民,2,20150603,1",CWC,Lose
"IPCM,101,重附民上,7,20120614,1",CWC,Lose
"IPCM,100,附民,4,20110328,1",CWC,Mixed
"PCDM,112,智簡上附民,2,20230801,1",CWC,Mixed
"IPCM,103,重附民上,7,20150903,1",CWC,Lose
"NTDM,103,智附民,1,20150309,1",CWC,Lose
"TPDM,100,智簡附民,13,20120523,1",CWC,Mixed
"CHDM,106,智附民,2,20170829,1",CWC,Mixed
"TCDM,106,智附民,19,20170927,1",CWC,Mixed
"PCDM,110,智簡附民,24,20211230,1",CWC,Mixed
"ULDM,102,智附民,1,20130731,1",CWC,Lose
"TCDM,100,智附民,31,20120222,1",CWC,Mixed
"CTDM,109,智簡附民,4,20200330,1",CWC,Mixed
"SCDM,110,智附民,8,20220825,1",CWC,Mixed
"PCDM,111,智簡附民,1,20220627,1",CWC,Mixed
"PTDM,101,智簡附民,2,20120725,1",CWC,Lose
"ULDM,109,智簡上附民,1,20200629,1",CWC,Mixed
"TPDM,107,智附民,18,20181214,1",CWC,Mixed
"TYDM,105,智附民,6,20180330,1",CWC,Lose
"KSDM,107,智附民,13,20200326,1",CWC,Mixed
"MLDM,105,智簡附民,3,20170221,1",CWC,Mixed
"IPCV,104,民商上易,5,20160310,1",CWC,Lose
"IPCM,111,附民上,14,20230112,1",CWC,Lose
"CYDM,108,智附民,6,20191226,1",CWC,Mixed
"PCDM,96,重附民,21,20080609,1",CWC,Lose
"SCDM,103,智簡附民,3,20141021,1",CWC,Mixed
"CHDM,107,智附民,4,20190729,2",CWC,Mixed
"IPCM,112,重附民上,1,20230630,1",CWC,Lose
"PCDM,110,智附民,16,20210824,1",CWC,Mixed
"KSHM,93,附民上,17,20040831,1",CWC,Lose
"IPCM,103,重附民上,2,20140702,1",CWC,Lose
"TCDM,109,智簡附民,41,20210330,1",CWC,Mixed
"IPCM,104,重附民上,7,20160630,3",CWC,Mixed
"TPDM,103,智附民,15,20150520,2",CWC,Mixed
