term,mnir_projected_weight,abs_mnir_projected_weight
香煙,22.816213994031266,22.816213994031266
淡菸,21.878343847808853,21.878343847808853
hermes,20.689137834749467,20.689137834749467
雷霆,20.427758216142117,20.427758216142117
取樣,20.331417721095868,20.331417721095868
購貨,20.331417721095868,20.331417721095868
低菸,20.331417721095868,20.331417721095868
低淡菸,20.331417721095868,20.331417721095868
論計,20.331417721095868,20.331417721095868
正牌,20.331417721095868,20.331417721095868
認罪,20.328730131308443,20.328730131308443
准註冊,19.98238157070901,19.98238157070901
提及,19.94463896711287,19.94463896711287
知曉,19.895051580420226,19.895051580420226
默示,19.861434421256867,19.861434421256867
拆卸,19.704991318380422,19.704991318380422
檳榔,19.704991318380422,19.704991318380422
續約,19.704991318380422,19.704991318380422
材質,19.703502723124764,19.703502723124764
不妥,19.70207505474424,19.70207505474424
民商,19.69259463996616,19.69259463996616
一同,19.68367522468958,19.68367522468958
餐飲,19.67019337366857,19.67019337366857
相別,19.658149144173244,19.658149144173244
永和市,19.658149144173244,19.658149144173244
文圖,19.658081479776545,19.658081479776545
透由,19.656806781428635,19.656806781428635
體驗,19.656806781428635,19.656806781428635
明星,19.656806781428635,19.656806781428635
束腹,19.656806781428635,19.656806781428635
