artifact,path
baseline_proposed_mnir_svm_no_chi-square_confusion_matrix.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_proposed_mnir_svm_no_chi-square_confusion_matrix.csv
baseline_proposed_mnir_svm_no_chi-square_test_metrics.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_proposed_mnir_svm_no_chi-square_test_metrics.csv
baseline_proposed_mnir_svm_no_chi-square_test_report.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_proposed_mnir_svm_no_chi-square_test_report.csv
baseline_proposed_mnir_svm_no_chi-square_validation_grid.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_proposed_mnir_svm_no_chi-square_validation_grid.csv
baseline_tfidf_svm_no_chi-square_confusion_matrix.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_tfidf_svm_no_chi-square_confusion_matrix.csv
baseline_tfidf_svm_no_chi-square_test_metrics.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_tfidf_svm_no_chi-square_test_metrics.csv
baseline_tfidf_svm_no_chi-square_test_report.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_tfidf_svm_no_chi-square_test_report.csv
baseline_tfidf_svm_no_chi-square_validation_grid.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\baseline_tfidf_svm_no_chi-square_validation_grid.csv
model_comparison.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
model_comparison_test_metrics.png,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison_test_metrics.png
run_config.csv,../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\run_config.csv
