Dataset,dataset_slug,Leakage,Feature,Model,Chi-square setting,Best C,Test Accuracy,Test Macro F1,Path
Administrative,administrative_win_lose_mixed,no_leakage,BoW,Majority Class,Baseline,,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,BoW,BOW + SVM,Chi-square,4.0,0.830755634114008,0.3804593546882425,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.0625,0.8753866548828988,0.3183707292197858,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,BoW,BOW + SVM,No chi-square,0.5,0.8298718515245249,0.4046921502792233,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,No chi-square,0.0625,0.8758285461776403,0.3184937241353386,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF,Majority Class,Baseline,,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF,TF + SVM,Chi-square,4.0,0.8771542200618648,0.3411948394466689,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,Chi-square,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF,TF + SVM,No chi-square,4.0,0.8731771984091914,0.3427434410430361,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,No chi-square,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF-IDF,Majority Class,Baseline,,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,Chi-square,4.0,0.869200176756518,0.3753317519174349,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,2.0,0.8736190897039329,0.3109223873555083,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,No chi-square,4.0,0.856827220503756,0.3894178074306,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,0.0625,0.8753866548828988,0.3111844172164624,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,BoW,Majority Class,Baseline,,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,BoW,BOW + SVM,Chi-square,0.25,0.8448961555457357,0.4023056826271634,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.0625,0.8753866548828988,0.3148169617898558,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
