Dataset,Leakage,Feature,Original DTM,Train,Validation,Test,MNIR chi2 K,DTM after chi2 for MNIR,MNIR z train,Direct SVM chi2 K,DTM after chi2 for Direct SVM,MNIR z train (DTM -> MNIR),Run directory
Administrative,no_leakage,BoW,"11,310 x 21,428","7,916 x 21,428","1,131 x 21,428","2,263 x 21,428",5000,"7,916 x 5,000","7,916 x 2",3000,"7,916 x 3,000","7,916 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912
Administrative,no_leakage,TF,"11,310 x 21,428","7,916 x 21,428","1,131 x 21,428","2,263 x 21,428",1000,"7,916 x 1,000","7,916 x 2",3000,"7,916 x 3,000","7,916 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912
Administrative,no_leakage,TF-IDF,"11,310 x 21,428","7,916 x 21,428","1,131 x 21,428","2,263 x 21,428",5000,"7,916 x 5,000","7,916 x 2",3000,"7,916 x 3,000","7,916 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912
Administrative,with_leakage,BoW,"11,310 x 22,144","7,916 x 22,144","1,131 x 22,144","2,263 x 22,144",3000,"7,916 x 3,000","7,916 x 2",10000,"7,916 x 10,000","7,916 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912
Administrative,with_leakage,TF,"11,310 x 22,144","7,916 x 22,144","1,131 x 22,144","2,263 x 22,144",1000,"7,916 x 1,000","7,916 x 2",5000,"7,916 x 5,000","7,916 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912
Administrative,with_leakage,TF-IDF,"11,310 x 22,144","7,916 x 22,144","1,131 x 22,144","2,263 x 22,144",10000,"7,916 x 10,000","7,916 x 2",10000,"7,916 x 10,000","7,916 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912
Civil,no_leakage,BoW,"5,660 x 24,425","3,961 x 24,425","566 x 24,425","1,133 x 24,425",10000,"3,961 x 10,000","3,961 x 2",10000,"3,961 x 10,000","3,961 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912
Civil,no_leakage,TF,"5,660 x 24,425","3,961 x 24,425","566 x 24,425","1,133 x 24,425",1000,"3,961 x 1,000","3,961 x 2",3000,"3,961 x 3,000","3,961 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912
Civil,no_leakage,TF-IDF,"5,660 x 24,425","3,961 x 24,425","566 x 24,425","1,133 x 24,425",1000,"3,961 x 1,000","3,961 x 2",5000,"3,961 x 5,000","3,961 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912
Civil,with_leakage,BoW,"5,660 x 25,173","3,961 x 25,173","566 x 25,173","1,133 x 25,173",10000,"3,961 x 10,000","3,961 x 2",5000,"3,961 x 5,000","3,961 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912
Civil,with_leakage,TF,"5,660 x 25,173","3,961 x 25,173","566 x 25,173","1,133 x 25,173",3000,"3,961 x 3,000","3,961 x 2",10000,"3,961 x 10,000","3,961 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912
Civil,with_leakage,TF-IDF,"5,660 x 25,173","3,961 x 25,173","566 x 25,173","1,133 x 25,173",3000,"3,961 x 3,000","3,961 x 2",10000,"3,961 x 10,000","3,961 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912
Criminal,no_leakage,BoW,"26,131 x 38,159","18,291 x 38,159","2,613 x 38,159","5,227 x 38,159",10000,"18,291 x 10,000","18,291 x 2",1000,"18,291 x 1,000","18,291 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912
Criminal,no_leakage,TF,"26,131 x 38,159","18,291 x 38,159","2,613 x 38,159","5,227 x 38,159",1000,"18,291 x 1,000","18,291 x 2",5000,"18,291 x 5,000","18,291 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912
Criminal,no_leakage,TF-IDF,"26,131 x 38,159","18,291 x 38,159","2,613 x 38,159","5,227 x 38,159",5000,"18,291 x 5,000","18,291 x 2",1000,"18,291 x 1,000","18,291 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912
Criminal,with_leakage,BoW,"26,131 x 38,896","18,291 x 38,896","2,613 x 38,896","5,227 x 38,896",10000,"18,291 x 10,000","18,291 x 2",1000,"18,291 x 1,000","18,291 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912
Criminal,with_leakage,TF,"26,131 x 38,896","18,291 x 38,896","2,613 x 38,896","5,227 x 38,896",5000,"18,291 x 5,000","18,291 x 2",5000,"18,291 x 5,000","18,291 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912
Criminal,with_leakage,TF-IDF,"26,131 x 38,896","18,291 x 38,896","2,613 x 38,896","5,227 x 38,896",3000,"18,291 x 3,000","18,291 x 2",1000,"18,291 x 1,000","18,291 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912
CWC,no_leakage,BoW,"1,807 x 5,773","1,264 x 5,773","181 x 5,773","362 x 5,773",3000,"1,264 x 3,000","1,264 x 2",3000,"1,264 x 3,000","1,264 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912
CWC,no_leakage,TF,"1,807 x 5,773","1,264 x 5,773","181 x 5,773","362 x 5,773",1000,"1,264 x 1,000","1,264 x 2",3000,"1,264 x 3,000","1,264 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912
CWC,no_leakage,TF-IDF,"1,807 x 5,773","1,264 x 5,773","181 x 5,773","362 x 5,773",3000,"1,264 x 3,000","1,264 x 2",5000,"1,264 x 5,000","1,264 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912
CWC,with_leakage,BoW,"1,807 x 5,912","1,264 x 5,912","181 x 5,912","362 x 5,912",3000,"1,264 x 3,000","1,264 x 2",3000,"1,264 x 3,000","1,264 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912
CWC,with_leakage,TF,"1,807 x 5,912","1,264 x 5,912","181 x 5,912","362 x 5,912",1000,"1,264 x 1,000","1,264 x 2",5000,"1,264 x 5,000","1,264 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912
CWC,with_leakage,TF-IDF,"1,807 x 5,912","1,264 x 5,912","181 x 5,912","362 x 5,912",3000,"1,264 x 3,000","1,264 x 2",5000,"1,264 x 5,000","1,264 x 2",D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912
