run_mode,run_tag,dataset_name,dataset_slug,remove_leakage,leakage_variant,representation,dtm_path,max_rows,train_size,val_size,test_size,random_state,chi2_k_grid,svm_c_grid,svm_class_weight,best_chi2_k,best_svm_c,best_direct_chi2_k,best_direct_svm_c,no_chi2_svm_c,no_chi2_mnir_svm_c,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason,direct_svm_tuning,baseline_models,output_dir,run_status,Test Accuracy,Test Macro F1,Direct SVM Independent Accuracy,Direct SVM Independent Macro F1,Direct SVM No Chi-square Accuracy,Direct SVM No Chi-square Macro F1,MNIR + SVM No Chi-square Accuracy,MNIR + SVM No Chi-square Macro F1
full,full_20260504_154912_class_weight_balanced,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,0.25,3000,0.0625,0.0625,0.25,True,,1,21428,20658,770,770,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'BOW + SVM', 'BOW + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.8484312859036677,0.35496349752450107,0.8139637649138312,0.3898670232644735,0.8205921343349536,0.4204316459352886,0.8373840035351303,0.358933947043609
full,full_20260504_154912_class_weight_balanced,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,2.0,1000,4.0,4.0,0.125,True,,1,21428,20658,770,770,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TF + SVM', 'TF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.8669907202828104,0.3260001300484622,0.8276623950508175,0.3877739208658933,0.821917808219178,0.4095134482347142,0.8718515245249668,0.31051306263770856
full,full_20260504_154912_class_weight_balanced,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,3000,0.125,10000,1.0,2.0,0.5,True,,1,21428,20658,770,770,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TFIDF + SVM', 'TFIDF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.8440123729562528,0.36877058909687843,0.8338488731771984,0.4116512669027957,0.8285461776403005,0.40939852291082385,0.8616880247459126,0.3317320818180825
full,full_20260504_154912_class_weight_balanced,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,5000,0.0625,10000,0.0625,4.0,0.125,True,,1,24425,23461,964,964,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'BOW + SVM', 'BOW + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.6478375992939099,0.4025028729559826,0.6345984112974404,0.42103051657452967,0.588702559576346,0.4177329230690702,0.6293027360988526,0.385980760366464
full,full_20260504_154912_class_weight_balanced,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,5000,0.5,10000,0.5,0.5,2.0,True,,1,24425,23461,964,964,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TF + SVM', 'TF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.6513680494263019,0.38986904009549894,0.6619593998234775,0.46792516045272275,0.6531332744924978,0.45235954800976663,0.6734333627537511,0.38393790849673204
full,full_20260504_154912_class_weight_balanced,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,0.0625,5000,0.25,0.25,4.0,True,,1,24425,23461,964,964,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TFIDF + SVM', 'TFIDF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.6540158870255958,0.4195522220870828,0.6575463371579876,0.46315092145814285,0.6628420123565755,0.45760243296701103,0.677846425419241,0.3908235387813395
full,full_20260504_154912_class_weight_balanced,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,1.0,1000,1.0,0.0625,0.125,True,,1,38159,36837,1322,1322,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'BOW + SVM', 'BOW + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.917352209680505,0.46298998974398814,0.9540845609336139,0.6231113292058263,0.9479625023914291,0.6007254899893445,0.9169695810216185,0.4513092065135746
full,full_20260504_154912_class_weight_balanced,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,0.0625,1000,4.0,0.5,0.5,True,,1,38159,36837,1322,1322,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TF + SVM', 'TF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.9317007843887507,0.48377393263371177,0.9550411325808303,0.5838519566242338,0.9565716472163766,0.6345869923052252,0.9315094700593074,0.46909268154871026
full,full_20260504_154912_class_weight_balanced,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,0.0625,1000,4.0,0.125,0.125,True,,1,38159,36837,1322,1322,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TFIDF + SVM', 'TFIDF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.918691409986608,0.4659272962594499,0.949301702697532,0.6069282789174101,0.9540845609336139,0.6214374446516321,0.9236655825521332,0.43273276480046546
full,full_20260504_154912_class_weight_balanced,cwc_win_lose_mixed,cwc_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\cwc_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,0.0625,1000,4.0,0.0625,0.0625,True,,1,5773,5634,139,139,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'BOW + SVM', 'BOW + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.8176795580110497,0.5431509121061361,0.8425414364640884,0.631444567893166,0.8674033149171271,0.6494764348387689,0.8149171270718232,0.5432054693753922
full,full_20260504_154912_class_weight_balanced,cwc_win_lose_mixed,cwc_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\cwc_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,1000,0.0625,1000,0.125,0.125,0.25,True,,1,5773,5634,139,139,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TF + SVM', 'TF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.8314917127071824,0.5534951009403565,0.861878453038674,0.5765958908816051,0.8591160220994475,0.5761387226767615,0.8314917127071824,0.5525704809286899
full,full_20260504_154912_class_weight_balanced,cwc_win_lose_mixed,cwc_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\cwc_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",balanced,3000,0.0625,10000,0.125,0.125,0.0625,True,,1,5773,5634,139,139,train_df_gte_1,independent_validation_macro_f1,"['Majority Class', 'TFIDF + SVM', 'TFIDF + SVM (No Chi-square)', 'Proposed MNIR + SVM (No Chi-square)']",../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912_class_weight_balanced,ran_full,0.8204419889502762,0.5442694187941336,0.8756906077348067,0.5869361080805285,0.8756906077348067,0.5869361080805285,0.8232044198895028,0.548254828871569
