run_mode,run_tag,dataset_name,dataset_slug,remove_leakage,leakage_variant,representation,dtm_path,max_rows,train_size,val_size,test_size,random_state,chi2_k_grid,svm_c_grid,best_chi2_k,best_svm_c,baseline_models,output_dir,Test Accuracy,Test Macro F1
quick,quick_20260504_153911,administrative_win_lose_mixed,administrative_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\administrative_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,0.25,"['Majority Class', 'BOW + SVM']",../artifacts/reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\quick_20260504_153911,0.8541666666666666,0.3071161048689139
quick,quick_20260504_153911,administrative_win_lose_mixed,administrative_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\administrative_win_lose_mixed\with_leakage\dtm_csr_TF.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,0.25,"['Majority Class', 'TF + SVM']",../artifacts/reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\quick_20260504_153911,0.8791666666666667,0.31189948263118994
quick,quick_20260504_153911,administrative_win_lose_mixed,administrative_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\administrative_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,0.25,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911,0.8791666666666667,0.31189948263118994
quick,quick_20260504_153911,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",1000,0.25,"['Majority Class', 'BOW + SVM']",../artifacts/reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\quick_20260504_153911,0.875,0.3111111111111111
quick,quick_20260504_153911,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_TF.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,0.25,"['Majority Class', 'TF + SVM']",../artifacts/reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\quick_20260504_153911,0.8791666666666667,0.31189948263118994
quick,quick_20260504_153911,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,1.0,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\quick_20260504_153911,0.8791666666666667,0.31189948263118994
quick,quick_20260504_153911,civil_win_lose_mixed,civil_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\civil_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",1000,1.0,"['Majority Class', 'BOW + SVM']",../artifacts/reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\quick_20260504_153911,0.6541666666666667,0.31369276850663247
quick,quick_20260504_153911,civil_win_lose_mixed,civil_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\civil_win_lose_mixed\with_leakage\dtm_csr_TF.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,1.0,"['Majority Class', 'TF + SVM']",../artifacts/reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\quick_20260504_153911,0.6666666666666666,0.34289127837514927
quick,quick_20260504_153911,civil_win_lose_mixed,civil_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\civil_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",500,0.25,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911,0.6625,0.3417037770080818
quick,quick_20260504_153911,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,1200,0.7,0.1,0.2,42,"[500, 1000]","[0.25, 1.0]",1000,0.25,"['Majority Class', 'BOW + SVM']",../artifacts/reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\quick_20260504_153911,0.65,0.31231081291933216
