dataset,leakage,feature,run_mode,best_chi2_k,best_svm_c,test_accuracy,test_macro_f1,Majority Class F1,Majority Class Acc,BOW + SVM F1,BOW + SVM Acc,Proposed MNIR + SVM F1,Proposed MNIR + SVM Acc,TF + SVM F1,TF + SVM Acc,TFIDF + SVM F1,TFIDF + SVM Acc
administrative_win_lose_mixed,no_leakage,bow,full,5000,0.0625,0.8753866548828988,0.3183707292197858,0.3113518605746585,0.8762704374723818,0.385442049689318,0.828104286345559,0.3183707292197858,0.8753866548828988,,,,
administrative_win_lose_mixed,no_leakage,tf,full,1000,0.0625,0.8762704374723818,0.3113518605746585,0.3113518605746585,0.8762704374723818,,,0.3113518605746585,0.8762704374723818,0.3381919966825626,0.8780380026513478,,
administrative_win_lose_mixed,no_leakage,tfidf,full,5000,2.0,0.8736190897039329,0.3109223873555083,0.3113518605746585,0.8762704374723818,,,0.3109223873555083,0.8736190897039329,,,0.3762044258203028,0.8674326115775519
administrative_win_lose_mixed,with_leakage,bow,full,3000,0.0625,0.8753866548828988,0.3148169617898558,0.3113518605746585,0.8762704374723818,0.3833852531941755,0.828104286345559,0.3148169617898558,0.8753866548828988,,,,
administrative_win_lose_mixed,with_leakage,tf,full,1000,0.0625,0.8762704374723818,0.3113518605746585,0.3113518605746585,0.8762704374723818,,,0.3113518605746585,0.8762704374723818,0.3379250929144772,0.8775961113566063,,
administrative_win_lose_mixed,with_leakage,tfidf,full,10000,1.0,0.8731771984091914,0.3109118086696562,0.3113518605746585,0.8762704374723818,,,0.3109118086696562,0.8731771984091914,,,0.3802988245032696,0.8577110030932391
civil_win_lose_mixed,no_leakage,bow,full,10000,0.5,0.677846425419241,0.3357685441674361,0.2689134632262594,0.676081200353045,0.4027542772668971,0.6372462488967343,0.3357685441674361,0.677846425419241,,,,
civil_win_lose_mixed,no_leakage,tf,full,1000,0.25,0.6866725507502206,0.320197030920064,0.2689134632262594,0.676081200353045,,,0.320197030920064,0.6866725507502206,0.3972540531364061,0.6937334510150044,,
civil_win_lose_mixed,no_leakage,tfidf,full,1000,0.125,0.6954986760812003,0.3525234025234025,0.2689134632262594,0.676081200353045,,,0.3525234025234025,0.6954986760812003,,,0.3897528508539616,0.676081200353045
civil_win_lose_mixed,with_leakage,bow,full,10000,0.0625,0.6813768755516328,0.3387493259745615,0.2689134632262594,0.676081200353045,0.418643628094372,0.6557811120917917,0.3387493259745615,0.6813768755516328,,,,
civil_win_lose_mixed,with_leakage,tf,full,3000,4.0,0.6928508384819064,0.3369742921454803,0.2689134632262594,0.676081200353045,,,0.3369742921454803,0.6928508384819064,0.4133860734964376,0.6822594880847308,,
civil_win_lose_mixed,with_leakage,tfidf,full,3000,0.5,0.6946160635481023,0.3643839911249382,0.2689134632262594,0.676081200353045,,,0.3643839911249382,0.6946160635481023,,,0.39861693977426,0.6822594880847308
criminal_win_lose_mixed,no_leakage,bow,full,10000,0.125,0.9251960971876794,0.3635510051993495,0.3220255167639205,0.9343791850009566,0.58389261508305,0.9470059307442128,0.3635510051993495,0.9251960971876794,,,,
criminal_win_lose_mixed,no_leakage,tf,full,1000,0.0625,0.9338052420126268,0.3702189031543745,0.3220255167639205,0.9343791850009566,,,0.3702189031543745,0.9338052420126268,0.5126722437359954,0.9494930170269752,,
criminal_win_lose_mixed,no_leakage,tfidf,full,5000,0.125,0.927683183470442,0.3902188337587152,0.3220255167639205,0.9343791850009566,,,0.3902188337587152,0.927683183470442,,,0.4973972283192302,0.9466233020853262
criminal_win_lose_mixed,with_leakage,bow,full,10000,0.0625,0.9244308398699064,0.3603313320649586,0.3220255167639205,0.9343791850009566,0.5870958195781626,0.9468146164147696,0.3603313320649586,0.9244308398699064,,,,
criminal_win_lose_mixed,with_leakage,tf,full,5000,0.5,0.9334226133537402,0.366934525782994,0.3220255167639205,0.9343791850009566,,,0.366934525782994,0.9334226133537402,0.5263386753614343,0.951980103309738,,
criminal_win_lose_mixed,with_leakage,tfidf,full,3000,0.25,0.925578725846566,0.382484774425432,0.3220255167639205,0.9343791850009566,,,0.382484774425432,0.925578725846566,,,0.5670715249662618,0.9439449014731204
cwc_win_lose_mixed,no_leakage,bow,full,3000,0.0625,0.8149171270718232,0.542013683957418,0.2447552447552447,0.580110497237569,0.6541390103070531,0.8535911602209945,0.542013683957418,0.8149171270718232,,,,
cwc_win_lose_mixed,no_leakage,tf,full,1000,0.125,0.8232044198895028,0.5453635934281825,0.2447552447552447,0.580110497237569,,,0.5453635934281825,0.8232044198895028,0.5783475783475783,0.8646408839779005,,
cwc_win_lose_mixed,no_leakage,tfidf,full,3000,0.125,0.8121546961325967,0.5372879451746995,0.2447552447552447,0.580110497237569,,,0.5372879451746995,0.8121546961325967,,,0.5775452365380422,0.8646408839779005
cwc_win_lose_mixed,with_leakage,bow,full,3000,0.0625,0.8535911602209945,0.5705991539324873,0.2447552447552447,0.580110497237569,0.6460228950989504,0.8535911602209945,0.5705991539324873,0.8535911602209945,,,,
cwc_win_lose_mixed,with_leakage,tf,full,1000,0.0625,0.8425414364640884,0.5608024691358025,0.2447552447552447,0.580110497237569,,,0.5608024691358025,0.8425414364640884,0.5777560339204175,0.8646408839779005,,
cwc_win_lose_mixed,with_leakage,tfidf,full,3000,0.0625,0.8453038674033149,0.5623458481775829,0.2447552447552447,0.580110497237569,,,0.5623458481775829,0.8453038674033149,,,0.5840400086975429,0.8729281767955801
