Unnamed: 0,run_mode,run_tag,dataset_name,dataset_slug,remove_leakage,leakage_variant,representation,dtm_path,max_rows,train_size,val_size,test_size,random_state,chi2_k_grid,svm_c_grid,best_chi2_k,best_svm_c,baseline_models,direct_svm_tuning,best_direct_chi2_k,best_direct_svm_c,direct_svm_patch_run_mode,direct_svm_patch_run_tag,direct_svm_patch_max_rows,output_dir,Direct SVM Independent Accuracy,Direct SVM Independent Macro F1
0,full,full_20260504_154912,administrative_win_lose_mixed,administrative_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\administrative_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.0625,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,10000,0.25,full,full_20260504_154912,,../artifacts/reports\administrative_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912,0.8448961555457357,0.4023056826271634
0,full,full_20260504_154912,administrative_win_lose_mixed,administrative_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\administrative_win_lose_mixed\with_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.0625,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,5000,2.0,full,full_20260504_154912,,../artifacts/reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912,0.8775961113566063,0.33447574906673866
0,full,full_20260504_154912,administrative_win_lose_mixed,administrative_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\administrative_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,1.0,"['Majority Class', 'TFIDF + SVM']",independent_validation_macro_f1,10000,4.0,full,full_20260504_154912,,../artifacts/reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912,0.8577110030932391,0.38029882450326963
0,full,full_20260504_154912,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",5000,0.0625,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,3000,4.0,full,full_20260504_154912,,../artifacts/reports\administrative_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912,0.830755634114008,0.3804593546882425
0,full,full_20260504_154912,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.0625,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,3000,4.0,full,full_20260504_154912,,../artifacts/reports\administrative_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912,0.8771542200618648,0.3411948394466689
0,full,full_20260504_154912,administrative_win_lose_mixed,administrative_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\administrative_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",5000,2.0,"['Majority Class', 'TFIDF + SVM']",independent_validation_macro_f1,3000,4.0,full,full_20260504_154912,,../artifacts/reports\administrative_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912,0.869200176756518,0.3753317519174349
0,full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\civil_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,0.0625,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,5000,0.5,full,full_20260504_154912,,../artifacts/reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912,0.6390114739629302,0.4077692708772442
0,full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\civil_win_lose_mixed\with_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,4.0,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,10000,2.0,full,full_20260504_154912,,../artifacts/reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912,0.6804942630185349,0.4047312896632744
0,full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\civil_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.5,"['Majority Class', 'TFIDF + SVM']",independent_validation_macro_f1,10000,4.0,full,full_20260504_154912,,../artifacts/reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912,0.6707855251544572,0.4248405103668261
0,full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,0.5,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,10000,0.25,full,full_20260504_154912,,../artifacts/reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912,0.6372462488967343,0.4027542772668971
