dataset,leakage,feature,BOW + SVM,Majority Class,Proposed MNIR + SVM,TF + SVM,TFIDF + SVM
administrative_win_lose_mixed,no_leakage,bow,0.3804593546882425,0.3113518605746585,0.3183707292197858,,
administrative_win_lose_mixed,no_leakage,tf,,0.3113518605746585,0.3113518605746585,0.3411948394466689,
administrative_win_lose_mixed,no_leakage,tfidf,,0.3113518605746585,0.3109223873555083,,0.3753317519174349
administrative_win_lose_mixed,with_leakage,bow,0.4023056826271634,0.3113518605746585,0.3148169617898558,,
administrative_win_lose_mixed,with_leakage,tf,,0.3113518605746585,0.3113518605746585,0.3344757490667386,
administrative_win_lose_mixed,with_leakage,tfidf,,0.3113518605746585,0.3109118086696562,,0.3802988245032696
civil_win_lose_mixed,no_leakage,bow,0.4027542772668971,0.2689134632262594,0.3357685441674361,,
civil_win_lose_mixed,no_leakage,tf,,0.2689134632262594,0.320197030920064,0.4170977294599078,
civil_win_lose_mixed,no_leakage,tfidf,,0.2689134632262594,0.3525234025234025,,0.4277972992985715
civil_win_lose_mixed,with_leakage,bow,0.4077692708772442,0.2689134632262594,0.3387493259745615,,
civil_win_lose_mixed,with_leakage,tf,,0.2689134632262594,0.3369742921454803,0.4047312896632744,
civil_win_lose_mixed,with_leakage,tfidf,,0.2689134632262594,0.3643839911249382,,0.4248405103668261
criminal_win_lose_mixed,no_leakage,bow,0.5636816959952469,0.3220255167639205,0.3635510051993495,,
criminal_win_lose_mixed,no_leakage,tf,,0.3220255167639205,0.3702189031543745,0.5772699607148786,
criminal_win_lose_mixed,no_leakage,tfidf,,0.3220255167639205,0.3902188337587152,,0.5621741483872863
criminal_win_lose_mixed,with_leakage,bow,0.5641998644505914,0.3220255167639205,0.3603313320649586,,
criminal_win_lose_mixed,with_leakage,tf,,0.3220255167639205,0.366934525782994,0.5263386753614343,
criminal_win_lose_mixed,with_leakage,tfidf,,0.3220255167639205,0.382484774425432,,0.5598267680067295
cwc_win_lose_mixed,no_leakage,bow,0.6541390103070531,0.2447552447552447,0.542013683957418,,
cwc_win_lose_mixed,no_leakage,tf,,0.2447552447552447,0.5453635934281825,0.5796932130416911,
cwc_win_lose_mixed,no_leakage,tfidf,,0.2447552447552447,0.5372879451746995,,0.5715595504146304
cwc_win_lose_mixed,with_leakage,bow,0.6460228950989504,0.2447552447552447,0.5705991539324873,,
cwc_win_lose_mixed,with_leakage,tf,,0.2447552447552447,0.5608024691358025,0.5818530808770902,
cwc_win_lose_mixed,with_leakage,tfidf,,0.2447552447552447,0.5623458481775829,,0.5898112088133397
