JID,VERDICT,own_verdict,JTYPE
"KLDM,101,智易,4,20130218,1",Lose,Other,CRIMINAL
"KSDM,105,智簡,22,20161011,1",Win,Other,CRIMINAL
"TPDM,93,簡,792,20040427,1",Win,Other,CRIMINAL
"TCDM,110,智簡,25,20210830,1",Win,Other,CRIMINAL
"SLEM,98,士簡,1066,20091221,1",Win,Other,CRIMINAL
"KSDM,89,訴,1740,20000831",Win,Other,CRIMINAL
"TPDM,91,簡,3360,20030305,1",Win,Other,CRIMINAL
"TPSV,100,台上,876,20110602",Other,Remand,CIVIL
"PCDM,110,智簡,66,20211029,1",Win,Other,CRIMINAL
"TYDM,99,審智簡,4,20100625,1",Win,Other,CRIMINAL
"PCDM,95,簡,5319,20061229,1",Win,Other,CRIMINAL
"TPDM,104,智簡,9,20150209,1",Win,Other,CRIMINAL
"IPCA,105,行專訴,58,20161229,3",Win,Mixed,ADMINISTRATIVE
"KSDM,90,訴,1708,20020227,1",Win,Other,CRIMINAL
"KSDM,107,智簡,44,20180920,1",Win,Other,CRIMINAL
"TYDM,105,審智簡,6,20160825,1",Win,Other,CRIMINAL
"KSDM,112,智簡,47,20231225,1",Win,Other,CRIMINAL
"PCDM,92,易,1971,20030722,1",Win,Other,CRIMINAL
"HLDM,107,花簡,97,20180223,1",Win,Other,CRIMINAL
"SLDM,105,審智簡,12,20160907,1",Win,Other,CRIMINAL
"PCDM,112,智簡,40,20231110,1",Win,Other,CRIMINAL
"IPCM,102,附民上,28,20140417,3",Lose,Mixed,CWC
"TCDM,97,中簡,2060,20080627,1",Win,Other,CRIMINAL
"TCDM,92,易,1154,20030606,1",Win,Other,CRIMINAL
"SLEM,112,士簡,846,20231130,1",Win,Other,CRIMINAL
"TYDM,92,易,647,20030829,1",Win,Other,CRIMINAL
"TPDM,96,易,1165,20070712,1",Win,Other,CRIMINAL
"TPDM,111,智易,52,20221103,1",Win,Other,CRIMINAL
"KSDM,103,智簡,24,20140430,1",Win,Other,CRIMINAL
"IPCA,104,行專更(一),8,20160407,2",Win,Other,ADMINISTRATIVE
"PTDM,98,簡,1728,20091030,1",Win,Other,CRIMINAL
"TCDM,96,中簡,2253,20080529,1",Win,Other,CRIMINAL
"KSDM,90,訴,1177,20020819,2",Win,Other,CRIMINAL
"KSDM,102,智簡,142,20131016,1",Win,Other,CRIMINAL
"TPDM,94,易,1103,20060427,1",Win,Other,CRIMINAL
"NTDM,98,審投刑簡,357,20090824,1",Win,Other,CRIMINAL
"CHDM,96,易,638,20071203,1",Win,Other,CRIMINAL
"TPDM,102,智易,14,20130709,1",Win,Other,CRIMINAL
"KSDM,103,智簡,94,20140709,1",Win,Other,CRIMINAL
"KSDM,109,智簡,65,20201221,1",Win,Other,CRIMINAL
"KSDM,104,智簡,47,20150727,1",Win,Other,CRIMINAL
"PCDM,99,智簡,33,20100318,1",Win,Other,CRIMINAL
"TPSM,93,台非,163,20040715",Lose,Other,CRIMINAL
"TNDM,100,智簡附民,7,20111223,1",Win,Mixed,CWC
"PCDM,95,簡,7610,20070305,1",Win,Other,CRIMINAL
"CYDM,101,智簡,22,20120628,1",Win,Other,CRIMINAL
"KSDM,107,智簡,26,20180731,1",Win,Other,CRIMINAL
"TPDM,97,易,1617,20080925,1",Win,Other,CRIMINAL
"TCDM,112,中智簡,42,20230803,1",Win,Other,CRIMINAL
"MLDM,96,苗簡,657,20070817,1",Win,Other,CRIMINAL
"TPBA,90,訴,3510,20020604,2",Win,Other,ADMINISTRATIVE
"TYDM,96,壢簡,2049,20061108,1",Win,Other,CRIMINAL
"PCDM,110,智簡,71,20211230,1",Win,Other,CRIMINAL
"TPDM,89,易,1665,20000915",Win,Other,CRIMINAL
"KSHM,92,上易,1202,20031028,1",Win,Other,CRIMINAL
"IPCV,108,民商訴,55,20200724,1",Win,Lose,CIVIL
"KSEM,91,雄簡,1137,20020822",Win,Other,CRIMINAL
"KLDM,95,基簡,424,20060510,1",Win,Other,CRIMINAL
"KSDM,97,簡,530,20080331,1",Win,Other,CRIMINAL
"IPCM,106,刑智上易,28,20170629,1",Lose,Other,CRIMINAL
"SLDM,104,審智簡,8,20150616,1",Win,Other,CRIMINAL
"TTDM,94,東簡,33,20050125,1",Win,Other,CRIMINAL
"CYDM,112,智簡,12,20230615,1",Win,Other,CRIMINAL
"PTDM,97,簡,789,20080530,1",Win,Other,CRIMINAL
"TCHM,95,上訴,396,20060420,1",Win,Other,CRIMINAL
"CHDM,101,智簡,40,20121224,1",Win,Other,CRIMINAL
"TYDM,94,簡上,109,20050524,1",Win,Other,CRIMINAL
"IPCM,108,刑智上訴,51,20191226,1",Lose,Remand,CRIMINAL
"IPCM,97,刑智上訴,43,20090108,1",Win,Other,CRIMINAL
"KLDM,100,智簡上,1,20110803,2",Win,Other,CRIMINAL
"KLDM,98,基簡,865,20091130,1",Win,Other,CRIMINAL
"PTDM,111,原智簡,1,20230130,1",Win,Other,CRIMINAL
"PCDM,107,智簡,52,20180914,1",Win,Other,CRIMINAL
"PCDM,106,智簡,72,20171206,1",Win,Other,CRIMINAL
"TPDM,91,簡上,196,20030227,1",Lose,Other,CRIMINAL
"TPDM,110,智簡,74,20220122,1",Win,Other,CRIMINAL
"KSDM,105,智簡,109,20170203,1",Win,Other,CRIMINAL
"PCDM,104,智簡,33,20150617,1",Win,Other,CRIMINAL
"TPSV,112,台上,2702,20241114,1",Other,Remand,CIVIL
"SLDM,90,易,149,20020813,3",Win,Other,CRIMINAL
"TNDM,102,智易,21,20140604,1",Win,Other,CRIMINAL
"SCDM,102,智簡,52,20131210,1",Win,Other,CRIMINAL
"TPDM,103,智簡,9,20140425,1",Win,Other,CRIMINAL
"MLDM,99,苗簡,106,20100226,1",Win,Other,CRIMINAL
"CYDM,104,智簡,39,20151130,1",Win,Other,CRIMINAL
"KLDM,101,基智簡,8,20130227,1",Win,Other,CRIMINAL
"TCDM,111,智簡,16,20220729,1",Win,Other,CRIMINAL
"TPBA,90,訴,2605,20020808,1",Win,Mixed,ADMINISTRATIVE
"IPCV,109,民專訴,21,20200817,2",Win,Mixed,CIVIL
"TPHM,89,上易,4570,20001020,1",Win,Other,CRIMINAL
"TCDM,88,訴,1933,20010105",Win,Other,CRIMINAL
"ILDM,106,智簡,6,20171206,1",Win,Other,CRIMINAL
"SCDM,98,審竹簡,1315,20091130,1",Win,Other,CRIMINAL
"PTDM,94,簡,1399,20051031,1",Win,Other,CRIMINAL
"TPBA,95,訴,850,20070315,1",Win,Mixed,ADMINISTRATIVE
"IPCV,107,民營訴,7,20230207,5",Win,Mixed,CIVIL
"TCDM,102,中智簡,17,20130401,1",Win,Other,CRIMINAL
"KSDM,96,訴,2486,20070731,1",Win,Other,CRIMINAL
"HLDM,90,易,610,20020425,1",Win,Other,CRIMINAL
"TCDM,102,中智簡,39,20130723,1",Win,Other,CRIMINAL
"IPCM,107,刑智上訴,20,20181011,1",Win,Other,CRIMINAL
"KLDM,97,基簡,857,20080725,1",Win,Other,CRIMINAL
"CYDM,94,朴簡,206,20051209,1",Win,Other,CRIMINAL
"CHDM,101,智簡,13,20120229,1",Win,Other,CRIMINAL
"TYDM,97,桃簡,781,20080403,1",Win,Other,CRIMINAL
"IPCV,97,民商上易,1,20090122,1",Win,Other,CIVIL
"MLDM,96,苗簡,414,20070522,1",Win,Other,CRIMINAL
"KSDM,110,智簡,13,20210510,1",Win,Other,CRIMINAL
"NTDM,102,投智簡,3,20140225,1",Win,Other,CRIMINAL
"TYDM,105,智訴,9,20170720,1",Win,Other,CRIMINAL
"FYEM,113,豐智簡,5,20240618,1",Win,Other,CRIMINAL
"KSDM,90,訴,2293,20011129,1",Win,Other,CRIMINAL
"TPDM,103,智簡,89,20141226,1",Win,Other,CRIMINAL
"IPCM,109,刑智上易,39,20201029,1",Win,Other,CRIMINAL
"IPCV,107,民專上更(一),4,20200514,2",Lose,Remand,CIVIL
"SCDM,93,竹簡,315,20040609,1",Win,Other,CRIMINAL
"TPDM,89,重附民,45,20001003",Win,Mixed,CWC
"TNDM,111,智簡,10,20220630,1",Win,Other,CRIMINAL
"TNDM,100,智簡,64,20111219,1",Win,Other,CRIMINAL
"TYDM,95,桃簡,2346,20061122,1",Win,Other,CRIMINAL
"PCDM,88,訴,1950,20000320",Win,Other,CRIMINAL
"IPCM,107,刑智上更(一),1,20181019,1",Win,Other,CRIMINAL
"TCDM,111,中智簡,70,20221115,1",Win,Other,CRIMINAL
"TCDM,102,智簡,3,20130128,1",Win,Other,CRIMINAL
"TYDM,101,壢智簡,6,20120629,1",Win,Other,CRIMINAL
"SLEM,105,士簡,329,20160613,1",Win,Other,CRIMINAL
"KSDM,90,易,4795,20020206,1",Win,Other,CRIMINAL
"PCDM,101,智簡,17,20120229,1",Win,Other,CRIMINAL
"TCDM,100,智簡,34,20120102,1",Win,Other,CRIMINAL
"TCDM,97,易,4007,20081114,1",Win,Other,CRIMINAL
