TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
權利告知,訊（詢）問被告前，除需告知「犯罪嫌疑及所犯所有罪名」外，應再告知三件事，一為「得保持緘默，無須違背自己之意思而為陳述」、二為「得選任辯護人」、三為「得請求調查有利之證據」，此即所謂「米蘭達原則」，除依刑事訴訟法訊（詢）問被告之情形外，於執行拘提或逮捕時，亦有適用，目的在於保障被告受憲法保障之訴訟防禦權。,M             
抗告狀,抗告的書狀，請參考「抗告」的解釋。,F             
於法尚無不合,符合法律的規定、符合法律規定,G             
優先債權,係指優先於一般債權而受清償的債權，例如稅捐債權、抵押債權等。,V             
實質課稅主義,"政府若想要對人民徵收稅款，應該依據經營活動的實質、而非表面形式予以徵稅的準則。也就是有關租稅法律之解釋不可以拘泥於所用的辭句，而應該就租稅法律的實質意義及經濟上意義為必要的考察。
例如：甲乙之間雖然簽訂1份「買賣契約」，但不應該只依契約名稱就認定為「買賣關係」，而應該依據整體事實關係，實質上去判斷究竟是買賣關係、贈與關係或是其他原因關係，才能依據它去認定是否有應該課徵的稅捐。",A             
公告地價,公告地價係指政府辦理規定地價或重新規定地價時於當年一月一日所公布之土地價格，以供土地所有權人申報地價之參考。規定地價後，每二年重新規定地價一次，必要時得延長之（平均地權條例第14條參照）。土地所有權人未於公告期間申報地價者，以公告地價百分之八十為其申報地價（平均地權條例第16條參照）。關於申報地價，可另參法律名詞「申報地價」。,A             
權能分立制衡原則,國家的行政、立法、司法三種權力互相分離不依附，並且在各自的權利範圍內相互牽制，不讓其他方獨大，破壞體制的均衡形成獨裁。,M             
裁量濫用,"行政機關行使裁量權時，違反法律授予裁量的目的、漏未審酌應加考量的觀點、摻雜與事件無關的動機、違反平等原則、比例原則、信賴保護原則等一般法律原則或憲法保障基本權利的意旨等。
例如：對違反行政法上義務的人，行政機關只基於充實國庫的財政目的，就直接裁處法律所規定罰鍰額度中的最高額，這樣的處分就有裁量濫用的情形。",A             
繕本,依據正本繕制的文件，以現代科技制作的影本，也是屬繕本的一種。,G             
毀越門窗,毀越門窗的門、窗，指門戶及窗戶，而毀、越則指毀損（例如打破大門）及踰越（例如爬過窗戶），用鑰匙開鎖啟門入室，則非毀越。又毀損與踰越不必兩者兼具，毀而不越，或越而不毀，只要能使他人門窗失去防閑作用，即該當刑法第321條第1項第2款之毀越門窗。,M             
溯及禁止,刑法的效力只能及於法律生效後發生之行為，而不得追溯處罰法律生效前業已發生之行為。,M             
直接強制,"行政執行的一種方式，依行政執行法第28條第2項規定，直接強制方法如下：一、扣留、收取交付、解除占有、處置、使用或限制使用動產、不動產。二、進入、封閉、拆除住宅、建築物或其他處所。三、收繳、註銷證照。四、斷絕營業所必須之自來水、電力或其他能源。五、其他以實力直接實現與履行義務同一內容狀態之方法。
",A             
妨害風化罪章,為刑法之罪章，包含刑法第230條血親為性交罪、第231條圖利使人為性交或猥褻罪、第231條之1圖利強制使人為性交猥褻罪、第232條利用權勢或圖利使人性交之加重其刑、第233條使未滿十六歲之男女為性交或猥褻罪、第234條公然猥褻罪及第235條散布、販賣猥褻物品及製造持有罪。,M             
適法性,合法性（行政行為是不是合法的）。,A             
撤回自訴,有權提起自訴的人（犯罪被害人或與犯罪被害人有一定關係之人）合法向法院對於被告提起自訴後，又向法院表示要取消提起自訴的意思。依法律規定，當自訴的罪名是屬於「告訴或請求乃論之罪」，而且在第一審言詞辯論終結前，提起自訴的人才可以撤回自訴。,M             
社會法益,與整體社會共同生活秩序相牽涉的公共利益。,A             
核課期間,所謂核課期間，就是稅捐稽徵機關可以行使核課權，核定應納稅額的期間。例如，我國稅捐稽徵法第21條第1項，就不同情形分別定有5年或7年的核課期間。在核課期間內，稅捐稽徵機關得依法核定應納稅額徵收稅捐，超過此期間就不得再行核課。又倘若在核課期間內，稅捐稽徵機關另發現尚有應徵收的稅捐時，依稅捐稽徵法第21條第2項規定，稅捐稽徵機關仍應依法補徵稅捐或並予處罰；如果在核課期間內未經發現，稅捐稽徵機關以後不得再補稅處罰。,A             
攻擊防禦方法相牽連,訴訟上兩方當事人的攻擊、防禦，會提出許多論證及證據資料，有時候這些論證和證據資料在不同的案件中是可以共用的。這就稱為這些案子的「攻擊防禦方法相牽連」，法院可以把這些家事事件合併起來審理。,F             
占有請求權,占有人為維持占有的原狀，對於妨害其占有狀態者，請求返還、除去或防止妨害的權利（民法第962條）。例如：承租人是租賃物的直接占有人，除非其違反租賃契約，出租人不得妨害承租人使用租賃物，否則承租人可對出租人主張占有請求權。,V             
惟,但是,V             
加工自殺, 教唆或幫助他人使之自殺，或受其囑託或得其承諾而殺之者。,M             
於法有據,與法律規定相符、符合法律規定,G             
危險犯,雖然尚未發生實際的犯罪結果，但仍然成立犯罪，例如酒駕，雖然沒有車禍發生，但酒後開車是非常危險的行為，立法院審議定訂法律明文規定喝酒超過一定標準時，也構成犯罪。,M             
營利事業所得稅,在中華民國境內經營的營利事業，應依法課徵營利事業所得稅。如果營利事業總機構設於中華民國，須合併中華民國境內、外營利事業所得，政府會進行課稅（但其來自中華民國境外的所得，已依所得來源國稅法規定繳納的所得稅，得由納稅義務人提出所得來源國稅務機關發給的同一年度納稅憑證，並取得所在地中華民國使領館或其他經中華民國政府認許機構的簽證後，自其全部營利事業所得結算應納稅額中扣抵。扣抵之數，不得超過因加計其國外所得，而依國內適用稅率計算增加之結算應納稅額）。反之，如果營利事業總機構不設於中華民國，而有中華民國來源所得者，就其中華民國境內的營利事業所得，也須課徵營利事業所得稅。(所得稅法第3條參照)。,A             
偵查不公開,刑事訴訟法第245條第1項規定：偵查，不公開之。這除了為避免犯罪嫌疑人逃匿、串證或滅證等偵查利益以外，更是為了保護犯罪被害人、犯罪嫌疑人和相關人士的名譽、隱私等人格權及人身安全等。,M             
司法權,司法權、立法權和行政權，是憲法上相互制衡的國家權力。司法權的功能在於以超然第三者的地位，專司審判，解決人民或人民與國家機關間的糾紛，具體類型為：民事訴訟、刑事訴訟、行政訴訟、公務員懲戒、解釋憲法及統一解釋法令等，並由法官（或大法官）公正、獨立地執行職務。,A             
強制險,強制險是政府為了保障車禍事故的受害者能迅速獲得理賠，制定法律強制規定汽、機車所有權人與保險人應訂立一定內容之保險契約。前述契約不論肇事者有無過失，亦不需要經過肇事者同意，只要車禍造成受害人受傷、殘障或死亡，都可以申請理賠，但單純車輛受損並不理賠。目前保障內容，每人死亡、殘廢最高200萬元、醫療最高20萬元。如果受害者係因故意行為或從事犯罪所造成的車禍傷害者，則保險公司不理賠。,V             
裁判,法院做成的決定，就是裁判。可以分為「判決」與「裁定」兩種，合稱為裁判。,F             
意圖犯,是指行為人的故意行為必須出於特定的不法意圖，才能成立的故意犯。,M             
非,「不是」的意思。否定的意思。,F             
他律法人,財團法人是財產的集合體，以從事公益為目的，必須得到主管機關許可並辦理登記，才能完成設立。其捐助章程(內容應訂明法人目的及所捐財產)一經辦理登記，就不可以任意修改，目的在使財團法人的董事僅得依章程所載的捐助目的忠實管理財產。如果捐助章程有規定不完全、不完備的地方，必須由法院依捐助人、董事、主管機關、檢察官或利害關係人的聲請，作成必要的處分或變更其組織。因此，財團法人本質上是屬於他律法人。,V             
婚姻破綻,婚姻破裂,G             
毀損屍體,刑法第247條的侵害屍體罪，係指損壞、遺棄、污辱或盜取屍體者。本罪的行為客體為「屍體」，行為人的毀損行為必須在被害人死亡後發生，才成立本罪。如果行為人的毀損行為屬於殺害被害人過程的一部分，就只成立殺人罪，不構成本罪。,M             
期待可能性,謂在行為之當時，得期待行為人不為該犯罪行為，而為其他適法行為之可能情形。,M             
停職,指公務人員因具有法定事由，經暫時停止職務之執行，但未喪失公務人員的身分而言。,A             
自無比附援引之餘地,當然沒有互相對照和引用的空間。,A             
繼受法,受外國文化及法制思想的影響，而參酌制定作為本國之法律。例如我國民法就是以德國、日本的民法為藍本而繼受過來的。,M             
民間公證人,司法院依公證法規定遴任，得執行公證、認證業務之人（公證法第24條）。民間公證人雖非正式的公務員，但因其辦理公證、認證文書效果與法院公證人相同，且與法院公證人都同樣受司法院監督、管理，故具有準公務員性質。,V             
洵屬,應屬,G             
拒卻,所謂「拒卻」，是指訴訟當事人得依法定的原因，向法院聲請排除特定人參與訴訟。舉例而言，法院審理案件，常需要專業人士（如鑑定人）協助判斷事實，鑑定人作成的鑑定報告內容，對於判決結果具有影響性，為避免鑑定報告不當影響判決結果，當事人可以用書狀或當庭聲請的方式，釋明原因及理由，拒卻法院所選任的鑑定人。,"A,G           "
主詰問,行交互詰問時，證人或鑑定人先由聲請傳喚之當事人、代理人或辯護人詢問，叫做「主詰問」。主詰問應就待證事項及其相關事項行之。而為辯明證人、鑑定人記憶及陳述之正確性，或證人、鑑定人的可信性等﹐也可以就必要事項為主詰問。另外，就實務經驗而言，由當事人、代理人、辯護人或輔佐人聲請傳喚的證人、鑑定人，一般是有利於該造當事人之友性證人。因此，若行主詰問者為誘導詰問，證人很有可能迎合主詰問者的意思，而做非真實的陳述。因此，原則上在行主詰問時不得為誘導詰問，但是為發見真實之必要或無導出虛偽供述之危險 時，則例外允許於行主詰時，為誘導詰問。,M             
破產程序,債務人不能清償債務時，法院依破產法宣告破產及清理其債務之程序。除破產人有因犯詐欺破產罪而受刑之宣告者外，破產債權人如依破產法所定程序已受清償時，於破產程序終結後，其債權未能受清償之部分，請求權視為消滅（破產法第149條）。,V             
動力交通工具,刑法所稱之「動力交通工具」，是指藉由汽油、柴油等引擎或電力來推動的交通工具，例如汽車、機車、電動車等；反之，若是單純藉由人力或獸力來推動的交通工具，例如馬車、牛車、一般的自行車等，即非「動力交通工具」。相關條文，例如刑法第185條之3第1項：「駕駛動力交通工具而有下列情形之一者，處二年以下有期徒刑，得併科二十萬元以下罰金：一、吐氣所含酒精濃度達每公升零點二五毫克或血液中酒精濃度達百分之零點零五以上。二、有前款以外之其他情事足認服用酒類或其他相類之物，致不能安全駕駛。三、服用毒品、麻醉藥品或其他相類之物，致不能安全駕駛。」及第185條之4：「駕駛動力交通工具肇事，致人死傷而逃逸者，處一年以上七年以下有期徒刑。」。,M             
