,Title,Count
0,違反商標法,14684
1,違反著作權法,6923
2,商標異議,4926
3,新型專利舉發,3395
4,商標評定,2823
5,損害賠償,2786
6,新型專利異議,2431
7,侵害專利權有關財產權爭議等,2160
8,聲請單獨宣告沒收,2097
9,商標註冊,1955
10,商標法,1944
11,發明專利舉發,1853
12,違反著作權法等,1572
13,侵權行為損害賠償,1157
14,侵害專利權有關財產權爭議,1127
15,偽造文書等,975
16,著作權法,961
17,發明專利申請,959
18,侵害著作權有關財產權爭議,842
19,聲請交付審判,799
20,聲請沒收,797
21,侵害著作權有關財產權爭議等,737
22,詐欺等,677
23,聲請秘密保持命令,675
24,聲請單獨宣告沒收（智慧財產案件）,671
25,服務標章,619
26,損害賠償等,581
27,訴訟救助,553
28,保全證據,547
29,宣告沒收,520
30,違反藥事法等,503
31,發明專利異議,500
32,專科沒收,491
33,聲請沒收（智慧財產案件）,472
34,聲請單獨宣告沒收扣押物,450
35,請求損害賠償,443
36,聲請單獨宣告沒收扣押物（智慧財產案件）,443
37,侵害商標權有關財產權爭議等,423
38,營利事業所得稅,396
39,商標廢止註冊,394
40,違反商標法等,375
41,聲請宣告沒收,341
42,排除侵害專利權等,335
43,排除侵害商標權行為等,324
44,聲請定暫時狀態之處分,314
45,專科沒收(智慧財產案件),310
46,違反專利法,297
47,商標廢止,272
48,侵害商標權有關財產權爭議,264
49,新型專利申請,261
50,偽造文書,261
51,聲請裁定沒收違禁物,243
52,假扣押,234
53,著作權法等,234
54,給付違約金,228
55,請求賠償損害,224
56,聲請定應執行刑,222
57,詐欺,219
58,新式樣專利舉發,200
59,違反營業秘密法等,197
60,宣告沒收(智慧財產案件),195
61,有關專利事務,194
62,違反藥事法,193
63,聲請再審,192
64,返還不當得利,191
65,公平交易法,187
66,進口貨物核定完稅價格,173
67,聲明異議,165
68,聲請確定訴訟費用額,160
69,新式樣專利異議,159
70,假處分,151
71,聲請單獨宣告沒收（智慧財產案,150
72,服務標章異議,146
73,宣告沒收（智慧財產案件）,146
74,單獨宣告沒收,144
75,排除侵害等,139
76,聲請單獨宣告沒收扣押物（智慧,138
77,聲請核發秘密保持命令,135
78,聲請迴避,133
79,清償債務,129
80,交付法庭錄音光碟,125
81,違反商標法附帶民訴,124
82,違反海關緝私條例,118
83,公平交易法損害賠償等,115
84,侵權行為損害賠償等,111
85,損害賠償（專利權）,111
86,專利權損害賠償,110
87,毒品危害防制條例,108
88,商標撤銷,106
89,營業秘密損害賠償等,106
90,宣告沒收物,105
91,因違反著作權法案附帶民訴,103
92,排除侵害,99
93,排除侵害專利權,98
94,排除侵害著作權行為等,96
95,著作權集體管理團體條例,95
96,誣告,94
97,給付違約金等,94
98,給付貨款,92
99,背信等,92
100,聲請撤銷緩刑,91
101,聲請返還擔保金,89
102,聲請交付保護管束,87
103,公平交易法除去侵害等,87
104,國家賠償,86
105,排除侵害商標權行為,84
106,履行契約,84
107,妨害名譽,84
108,新式樣專利申請,83
109,設計專利舉發,81
110,支付命令,79
111,背信,78
112,營業秘密限制閱覽,78
113,違反營業秘密法,77
114,所得稅法,76
115,返還不當得利等,75
116,證券交易法等,73
117,確認專利權等,73
118,毒品危害防制條例等,72
119,聲請裁定單獨宣告沒收,72
120,商標法等,70
121,返還提存物,69
122,聲請限制閱覽,67
123,營業秘密損害賠償等（勞動）,66
124,公共危險,66
125,菸酒管理法等,66
126,綜合所得稅,65
127,藥事法等,64
128,定暫時狀態之處分,62
129,確認僱傭關係存在等,61
130,損害賠償（智慧財產權）,61
131,專利權授權契約事件,58
132,給付報酬,58
133,定應執行刑,57
134,其他智慧財產權事件,56
135,聲請宣告沒收違禁物,54
136,,53
137,聲請宣告沒收(智慧財產案件),52
138,專利權移轉登記,51
139,給付工程款,51
140,聲請撤銷秘密保持命令,49
141,有關著作權事務,49
142,聲請准許提起自訴,48
143,返還價金,46
144,專利權其他契約爭議事件,46
145,聲請單獨宣告沒收違禁物,46
146,聲請定其應執行刑,46
147,履行契約等,45
148,有關商標事務,45
149,聲請返還提存物,43
150,專利法,43
151,營業秘密損害賠償,42
152,裁定股票收買價格,42
153,債務不履行損害賠償,41
154,違反著作權法等罪,41
155,著作利用強制授權申請,40
156,菸酒管理法,40
157,俸給,39
158,給付資遣費等,39
159,竊盜,39
160,著作權授權契約事件,39
161,確定訴訟費用額,38
162,政府採購法,38
163,債務人異議之訴,38
164,違反菸酒管理法,37
165,違反菸酒管理法等,37
166,證券交易法,37
167,商標權移轉登記,37
168,解任董事職務,37
169,使用專利權權利金,36
170,聲請裁定單獨宣告沒收(智慧財產案件),36
171,違反證券交易法等,36
172,變換提存物,36
173,第三人異議之訴,35
174,確認請求權不存在,35
175,聲請閱卷,34
176,考試,34
177,返還擔保金,34
178,有關核發證明事務,33
179,撤銷緩刑,33
180,排除侵害商標專用權行為等,32
181,營業秘密法等,32
182,給付價金,32
183,有關教育事務,31
184,侵害著作權有關人格權爭議等,31
185,聲請假扣押,30
186,貪污治罪條例等,30
187,違反公平交易法等,30
188,妨害農工商,30
189,公平交易法損害賠償,30
190,返還價金等,29
191,損害賠償（商標專用權）,29
192,聲請秘密保持令,28
193,發明專利申請延長專利權期間,28
194,著作權團體集體管理條例,28
195,不當行使專利權所生損害賠償爭議,28
196,偽造文書等罪,27
197,妨害秘密罪,27
198,給付買賣價金,27
199,違反藥事法等罪,26
200,請求排除侵害商標權行為等,26
201,誣告等,26
202,聲請發還扣押物,26
203,妨害電腦使用等,26
204,著作權其他契約爭議事件,26
205,侵占,26
206,解除契約等,25
207,專利權權利歸屬,25
208,營業秘密損害賠償（勞動）,25
209,提供行政資訊,25
210,損害賠償等（專利權）,25
211,確認本票債權不存在,25
212,貪污等,24
213,違反證券交易法,24
214,侵權行為損害賠償（專利權）,24
215,妨害秘密,24
216,聲請回復原狀,24
217,業務侵占等,24
218,再審之訴,24
219,營業秘密排除侵害等,23
220,給付票款,23
221,給付報酬等,23
222,排除侵害著作權行為,23
223,停止執行,23
224,勞工退休金條例,23
225,聲請停止執行,23
226,發明專利申請案主張優先權,22
227,給付貨款等,22
228,回復原狀等,22
229,違反毒品危害防制條例,22
230,侵占等,22
231,聲請強制執行,21
232,著作權損害賠償,21
233,商標權權利歸屬等,21
234,著作權其他契約爭議事件等,21
235,確認著作權不存在,21
236,有關公平交易事件,21
237,加重詐欺等,21
238,專利權申請權歸屬,21
239,虛報進口貨物,20
240,聲請解除保全證據,20
241,聲請保全證據,20
242,侵害專利權損害賠償,20
243,給付服務費,20
244,聲請撤銷假扣押裁定,20
245,確認著作權等,20
246,排除侵害商標專用權行為,20
247,聲請限期起訴,20
248,專利年費,20
