Date,00679B
2022-01-03,41.57
2022-01-04,40.78
2022-01-05,40.43
2022-01-06,40.04
2022-01-07,40.2
2022-01-10,39.9
2022-01-11,40.34
2022-01-12,40.33
2022-01-13,40.18
2022-01-14,40.35
2022-01-17,39.75
2022-01-18,39.7
2022-01-19,39.31
2022-01-20,39.5
2022-01-21,40.1
2022-01-24,40.1
2022-01-25,40.05
2022-01-26,40.05
2022-02-07,39.56
2022-02-08,39.25
2022-02-09,39.28
2022-02-10,39.3
2022-02-11,38.82
2022-02-14,38.94
2022-02-15,38.91
2022-02-16,38.39
2022-02-17,38.61
2022-02-18,38.59
2022-02-21,38.83
2022-02-22,39.15
2022-02-23,38.86
2022-02-24,39.16
2022-02-25,38.87
2022-03-01,39.29
2022-03-02,39.76
2022-03-03,38.99
2022-03-04,39.45
2022-03-07,40.0
2022-03-08,39.69
2022-03-09,39.48
2022-03-10,38.9
2022-03-11,38.73
2022-03-14,38.6
2022-03-15,38.14
2022-03-16,38.1
2022-03-17,38.43
2022-03-18,37.83
2022-03-21,38.23
2022-03-22,37.49
2022-03-23,36.98
2022-03-24,37.7
2022-03-25,37.71
2022-03-28,37.15
2022-03-29,37.6
2022-03-30,37.99
2022-03-31,38.0
2022-04-01,38.03
2022-04-06,37.16
2022-04-07,37.22
2022-04-08,37.01
2022-04-11,36.5
2022-04-12,36.08
2022-04-13,36.02
2022-04-14,36.24
2022-04-15,35.84
2022-04-18,35.56
2022-04-19,35.58
2022-04-20,35.27
2022-04-21,35.77
2022-04-22,35.56
2022-04-25,35.79
2022-04-26,35.78
2022-04-27,36.22
2022-04-28,36.03
2022-04-29,35.98
2022-05-03,35.3
2022-05-04,35.37
2022-05-05,35.23
2022-05-06,34.73
2022-05-09,34.12
2022-05-10,34.52
2022-05-11,34.91
2022-05-12,35.48
2022-05-13,35.3
2022-05-16,35.2
2022-05-17,34.79
2022-05-18,34.19
2022-05-19,34.76
2022-05-20,34.99
2022-05-23,35.14
2022-05-24,34.91
2022-05-25,35.29
2022-05-26,35.4
2022-05-27,35.09
2022-05-30,34.8
2022-05-31,34.37
2022-06-01,34.23
2022-06-02,34.49
2022-06-06,34.29
2022-06-07,33.92
2022-06-08,34.13
2022-06-09,33.99
2022-06-10,34.04
2022-06-13,34.0
2022-06-14,33.3
2022-06-15,32.81
2022-06-16,33.14
2022-06-17,33.49
2022-06-20,33.51
2022-06-21,33.17
2022-06-22,33.26
2022-06-23,33.89
2022-06-24,34.13
2022-06-27,33.37
2022-06-28,33.43
2022-06-29,33.67
2022-06-30,33.95
2022-07-01,34.45
2022-07-04,34.55
2022-07-05,34.34
